rank	username	minecraft:crafted/minecraft:cod_bucket
1	thewindmillman	89
2	beeperbeeper5	57
3	BobDeBouwer1337	55
4	Manaateee	46
5	Werbe	35
6	Snowflowe	31
7	starbits140	21
8	PhantomsGhost_	20
9	Kakolbus	16
9	miramyu	16
9	Skippeh	16
12	Nicserso	13
13	Skylord_Luke	11
14	Merv__	10
14	Historical_Sand	10
16	Mattesco	7
17	Winston_Ingram	5
17	Yamdalorian	5
19	luseis	4
20	Mahoose	2
21	H0UNDFRMH3LL	1
21	rarrq	1
21	Vizzoid	1
21	500am	1
21	shadowthemonkey	1
21	Spacewardharpy7	1
21	SvenskaHugo	1
21	Jimb0nat0r	1
