rank	username	minecraft:crafted/minecraft:pink_bed
1	Alteriity	217
2	Racengan	147
3	AlexxO_o	96
4	4774	85
5	Werbe	70
6	Hpdinosaur	64
6	Boboczus	64
6	Blu3beast	64
9	HellsSponge	62
10	ShedJr_	53
10	Sheldor097	53
12	RadarHz	50
13	lordpipe	46
14	Manaateee	25
15	AdmiralSmoke	19
16	Tyrannosplart	18
17	joethahobo	13
18	whoaluv	10
18	NarwhalTaco	10
18	Myntsys	10
21	EveryonesUncle	8
22	_Dean_123	7
22	luseis	7
24	pintsizedrogue	6
24	legal_tax_evader	6
26	500am	5
26	monky_irl	5
26	SammiWolfGirl	5
26	xolstoi	5
30	beeperbeeper5	3
30	kekhon	3
30	AnnieBathory	3
30	UCP_TheKingK	3
30	Iamthejo	3
30	AltnumberF4	3
30	mountaingirl311	3
37	lorywithay	2
37	Huwulling	2
37	lunathelemon	2
37	ProfessorBee	2
37	Xalithia	2
37	PaperCanvas	2
37	Maenara	2
37	Lord_Jord	2
37	LordAurum	2
37	AvaRosey	2
37	djancak	2
37	CalebDHawk	2
37	Legendosh	2
50	Lisa_Katrina_17	1
50	NatalieTW	1
50	Apollo_993	1
50	Jalvajar	1
50	Caddiii	1
50	Ozixar	1
50	CliffEmAll	1
50	gilesmcriles	1
50	GingerNeutron	1
50	Pelbo	1
50	BilboBaggins23	1
50	CrookedKaptain	1
50	Scathra	1
50	Motsaro	1
50	xxPipperDipperxx	1
50	noam464	1
50	UncleDanDan	1
50	ehunt54	1
50	TakeThis2UrGrave	1
50	Arceus1975	1
50	LilLizardWizard	1
50	duqboy	1
50	Russiancat1	1
50	Lutres_	1
50	MustaLoordi	1
50	Nycteus_	1
50	sp00ky_ghost977	1
50	babyjimmyneutron	1
50	LordSpeed37	1
50	KayleeGrace58	1
50	MineMaster0012	1
50	stellarjay	1
50	ZoomieZoomie	1
50	mobunni	1
50	TheOnlyRake	1
50	anbbang	1
50	Ezekson	1
50	Kiki_Majiki	1
50	Jimb0nat0r	1
