rank	username	minecraft:crafted/minecraft:tripwire_hook
1	Di_infiri	1554
2	noam464	426
3	El_Jalapeno	304
4	mwrty	258
5	pintsizedrogue	214
6	EveryonesUncle	198
7	m_be9	190
8	thescout7	188
9	Jackattack53	150
10	500am	148
11	eitanzaki	142
12	HellsSponge	131
13	eiC_	128
14	Smoke____	126
15	Hyp3rion_	124
16	Skylord_Luke	114
17	PigDab	92
18	Frozil12	76
19	beeperbeeper5	72
19	Inchef	72
21	Historical_Sand	66
22	Blackberry1310	64
22	benediktine1	64
24	rarrq	62
25	_Dean_123	50
26	TheThomas69	44
27	MattieHD	43
28	DanTheBuilderino	42
28	Soplight	42
30	Dedalus36	40
31	CollinMH06	38
31	Jiminie	38
33	Merv__	36
34	sp00ky_ghost977	35
35	teslawolf38	34
35	TheSecondLord	34
35	Spacewardharpy7	34
38	KarlKaek	26
39	Maenara	24
40	PhantomsGhost_	22
40	Lord_Jord	22
40	jnp_gaming	22
43	T045RTY	18
43	Groundler	18
45	titanlax	16
45	MinttyFressh	16
45	Fullut	16
45	LeauVox4921	16
49	joethahobo	14
49	Cryptacity	14
49	xxPipperDipperxx	14
52	Mahoose	12
52	SellyZ	12
52	thewindmillman	12
52	ApophisNova	12
52	proxivitoid	12
52	fluddd	12
52	MyNamaSheff	12
52	Enderslayerxz3	12
60	jacxhadow	10
60	claivin	10
62	DinoDoctor_	8
62	Reamdin	8
62	Rich_Kat	8
62	Winklepicker279	8
62	Fuhrer_Teemo	8
62	Dusk_95	8
62	YungMaki	8
69	Euclidoris	7
70	Ssor69	6
70	dopplexd	6
70	bloodbiter	6
70	Smashic	6
70	Awyrlas	6
70	SuperPooch06	6
70	MangoTheFish	6
70	RobotMinion101	6
70	epiksk8erduck	6
70	RodSerlingCringe	6
70	Wowful	6
70	Deathkob	6
70	Xclax101	6
70	Optiprimus	6
70	Eczbek	6
70	laron58	6
70	JayToe	6
87	nataliecool	4
87	xXTheWolfmanXx	4
87	livingdaydreams	4
87	Jackster03	4
87	Myszoaz	4
87	Zedducius	4
87	12Magner05	4
87	M_Patata	4
87	valiSW	4
87	AlexStrange	4
87	Onennon	4
87	audiocracked	4
87	Inbefour	4
87	XxCookiequeenxX	4
87	chipklip	4
87	Meatlaugh	4
87	QueenShuvi	4
87	RedcatVII	4
87	MasterNueve	4
87	UCP_TheKingK	4
87	__tomato	4
87	lcvezra	4
87	Luigipunch989	4
87	obzii	4
87	TheOnlyRake	4
87	oxfordschool	4
87	TechnoNinja64	4
87	PlasticOtari	4
87	MelodyGaysharks	4
87	diggydog67	4
117	Jovaphobic	2
117	weezygator	2
117	Groovy_MoonBird	2
117	Mr_Byzantine	2
117	Drlzyy	2
117	AuroraValkyrie	2
117	DepressedCubic	2
117	Sleek_Storm_721	2
117	error10101	2
117	ExtraDumb	2
117	ImpavidArcher	2
117	BlancoFlaco	2
117	Tolhart	2
117	Prismyst	2
117	Da_Boss_Rani	2
117	NanoShot	2
117	Stynxy	2
117	Ozixar	2
117	Sparky_KT	2
117	Auseawesome	2
117	ratglock	2
117	gilesmcriles	2
117	jushykins	2
117	MrExplorer	2
117	Ardennes	2
117	ProfessorBee	2
117	zorin123	2
117	TheDiamondCG	2
117	Jokerman369	2
117	BreadFruggis	2
117	Kamflame10	2
117	MindyDooWho	2
117	set67	2
117	Scathra	2
117	himak1	2
117	2Stout	2
117	IceYoung	2
117	Kubelz	2
117	mimbo1211	2
117	ehunt54	2
117	prizm_	2
117	moist_jellyfish	2
117	ImDisconnected_	2
117	BigMoneyH	2
117	Marbz_	2
117	CarltheCuck	2
117	Rumpletaezer	2
117	WET_WET_WET	2
117	Zythose	2
117	LAVA129	2
117	_8man	2
117	impossibleteapot	2
117	Rocco_Lane	2
117	domagawha	2
117	SokaOtaku	2
117	Donutt	2
117	Bumpy419	2
117	MustardDrinker	2
117	Rebytre	2
117	Hiryu27	2
117	Chuvacevedo	2
117	selectrix	2
117	DeeDeeThonk	2
117	seramalen	2
117	Kynigito	2
117	wrinkledpiglet	2
117	_naturell	2
117	KeruNatsema	2
117	Rasmanden	2
117	Akoot_	2
117	Tergandius	2
117	Pootis11	2
117	ILoveCarrot	2
117	masskedman	2
117	ese_wn_po	2
117	Mister3z	2
117	privatemeekly	2
117	balin55	2
117	GoofyBread	2
117	GlitchMixed	2
117	_Karmaa	2
117	StinkyDiplomat	2
117	Quaintster	2
117	MAns_44	2
117	Freak_Genius	2
117	501g	2
117	MustaLoordi	2
117	OreoPenguin_	2
117	Blu3beast	2
117	Nycteus_	2
117	censorsheep	2
117	Bloo2406	2
117	Blaiku	2
117	BumbleBeever	2
117	SingedBread	2
117	ProfessorDiaper	2
117	SkateboardR6	2
117	Hisiste	2
117	IAmTheWalrus910	2
117	MakeHistory157	2
117	Cocoamallows	2
117	Razzgriz	2
117	33sudo	2
117	Soul_Atreus	2
117	Eraxa	2
117	_Tilariel_	2
117	brofrickcheaters	2
117	SSytex_X	2
117	stellarjay	2
117	CoryJJ	2
117	Western_1	2
117	Glumb0	2
117	Deguns123	2
117	Soffbord	2
117	Dreamdbr14	2
117	Njensen7	2
117	Kubeusz2010	2
117	MissCeleste7	2
117	tartanboy	2
117	HuangMeiHua	2
117	Lowjinx	2
117	HesDemonPants	2
117	momis24	2
117	MusicMe1005	2
117	Sral7	2
117	Jordan_R	2
243	jewbacaman	1
