rank	username	minecraft:crafted/minecraft:rib_armor_trim_smithing_template
1	MattieHD	140
2	hanaryheatwave	16
3	U_Mos_	14
4	Juansinmiedo18	12
5	beeperbeeper5	10
5	Hyp3rion_	10
5	Moss_2006	10
8	Enderxz3	8
9	Kowcio_	6
10	Secret_Canary	4
10	Mattesco	4
10	Jimb0nat0r	4
13	k_ce	2
13	CLG_Kata	2
13	Apollo_993	2
13	ECstardust	2
13	Huwulling	2
13	TheSecondLord	2
13	noam464	2
13	Jackattack53	2
13	oscminus	2
13	Pumpkin_P_Patch	2
13	Legendosh	2
