rank	username	minecraft:crafted/minecraft:iron_boots
1	Smoke____	107
2	beeperbeeper5	77
3	Blaiku	71
4	noam464	70
5	joethahobo	60
6	rarrq	45
7	Di_infiri	39
8	teslawolf38	38
9	lordpipe	35
10	Frozil12	34
11	TheSecondLord	29
11	Lord_Jord	29
13	Awyrlas	28
14	Quotary	24
15	Spacewardharpy7	22
16	fred870d	20
17	stahouo	19
17	oxfordschool	19
19	Ardennes	18
19	OtariCharlie	18
21	YungMaki	17
22	diamondgolem35	15
23	TheShyPig	14
23	EveryonesUncle	14
25	Skylord_Luke	13
25	__tomato	13
27	bigstankyy	12
27	Kubelz	12
27	ooga47	12
27	Akoot_	12
27	monky_irl	12
27	djancak	12
33	Jackattack53	11
33	yulgur1	11
33	fluddd	11
33	Cocoamallows	11
33	Njensen7	11
38	pintsizedrogue	10
38	bloodbiter	10
38	12Magner05	10
38	emrekn	10
38	chipklip	10
38	IvarEXE	10
38	Ezekson	10
45	Mahoose	9
45	Fuhrer_Teemo	9
45	ediballbearings	9
45	Luigipunch989	9
49	KarlKaek	8
49	awesomeoneme	8
49	himak1	8
49	Inchef	8
49	whoaluv	8
49	gaming4Naming	8
55	set67	7
55	cedric72	7
55	sufjanlover	7
55	HellsSponge	7
55	DanTheBuilderino	7
55	Freak_Genius	7
55	Kowcio_	7
55	Legendosh	7
55	jnp_gaming	7
64	Drlzyy	6
64	ImpavidArcher	6
64	Incinere	6
64	Blackberry1310	6
64	Lumien_	6
64	mwrty	6
64	thescout7	6
64	egglapras	6
64	Rumpletaezer	6
64	Hyp3rion_	6
64	Maenara	6
64	Meatlaugh	6
64	C0oOK13M0N5T3R	6
64	Groundler	6
64	Soplight	6
64	Skippeh	6
64	JayToe	6
81	6king6colt6	5
81	ExtraDumb	5
81	eitanzaki	5
81	livingdaydreams	5
81	T045RTY	5
81	cowgirlkasia	5
81	_Dean_123	5
81	Jokerman369	5
81	PeteO1995	5
81	_Cloverbelle_	5
81	Katsuragi0243218	5
81	Deathkob	5
81	RedcatVII	5
81	NotMeowMix	5
81	bloomkieren	5
81	Chuglyfe	5
81	SammiWolfGirl	5
81	h2p_emrld	5
99	heysushii	4
99	dabloons	4
99	BlancoFlaco	4
99	Natty	4
99	CoffeeNoir	4
99	H72l9w	4
99	Euclidoris	4
99	picardred	4
99	Malorn_Aetherius	4
99	MattieHD	4
99	Paintz	4
99	Kakolbus	4
99	AJplaysMC_	4
99	Arceus1975	4
99	AlexStrange	4
99	MustardDrinker	4
99	Hiryu27	4
99	Werbe	4
99	The11thDoctor	4
99	TTNG	4
99	XeroByMyth	4
99	RodSerlingCringe	4
99	420BreadLizard	4
99	NYJ	4
99	wobn	4
99	Jaka_Saurus_715	4
99	claivin	4
99	Deerfoot	4
99	AssEatrAndLicker	4
99	censorsheep	4
99	ComplexSquirrel	4
99	Moetis	4
99	Dreamdbr14	4
99	laron58	4
99	cichy096	4
99	RadarHz	4
99	Enderslayerxz3	4
99	EcksDofficial	4
137	weezygator	3
137	SyK7	3
137	PhantomsGhost_	3
137	Jalvajar	3
137	Merv__	3
137	Slinkyy7071	3
137	SaucyDark	3
137	Tolhart	3
137	Paleshield	3
137	HollieDaNugget	3
137	RebelAndroid	3
137	openatheclose	3
137	Caystelly	3
137	Batman922	3
137	MOSS000	3
137	tsohomie	3
137	IWorkAtIkea	3
137	dopplexd	3
137	Notta	3
137	Auseawesome	3
137	ratglock	3
137	jacxhadow	3
137	m_be9	3
137	Cortexia	3
137	eclipseboi	3
137	Fullut	3
137	AngalexikCZ	3
137	intropass	3
137	xxPipperDipperxx	3
137	XboxPanda	3
137	ImDisconnected_	3
137	mariominejedi	3
137	Chromary	3
137	DaviusMaximoose	3
137	RyuNeko932000	3
137	pappaberg	3
137	Bumpy419	3
137	ItsAki_	3
137	RobotMinion101	3
137	Kouridragon	3
137	PigDab	3
137	Project_MKBRD	3
137	thgrocks	3
137	Sky_light_KING	3
137	wezzzi	3
137	proxivitoid	3
137	DemTechAlpha	3
137	JESS_THE_RERE	3
137	FlashMigma	3
137	Racengan	3
137	DeGodz4life	3
137	DarkLawD	3
137	silverpopcorn	3
137	WyngGoy	3
137	Razzgriz	3
137	Soul_Atreus	3
137	Decaying_Lotus	3
137	Kyrum2169	3
137	NeoJordache	3
137	Nekomin0	3
137	DennyKai	3
137	Catharsist	3
137	TheOnlyRake	3
137	anbbang	3
137	EcksD	3
137	Lowjinx	3
137	WYFYoyo	3
204	Gary_	2
204	Alexanderjac	2
204	SaltineDream	2
204	Mr_Worthless	2
204	Groovy_MoonBird	2
204	seanitoo	2
204	Bandito_Roamer	2
204	dudcreeper	2
204	abramgray	2
204	Mowelan	2
204	fanofbands101	2
204	Cowison	2
204	strongman951753	2
204	FroggoTheDoggo	2
204	hollowww	2
204	jspwn	2
204	BigBootyHudge	2
204	Ilinca_Io	2
204	DepressedCubic	2
204	xXTheWolfmanXx	2
204	Hyugo	2
204	error10101	2
204	Dedalus36	2
204	TooManyDuck	2
204	Flores991	2
204	Horizons86	2
204	Wooptey	2
204	ewsophie	2
204	Seyaboy	2
204	Reamdin	2
204	Jackster03	2
204	elleparo	2
204	sejekasper1	2
204	TheMaster972	2
204	Unitas_isa	2
204	Vizzoid	2
204	Stynxy	2
204	DarkFisto	2
204	jiggywraps	2
204	kekhon	2
204	DarkDescent2392	2
204	zorin123	2
204	500am	2
204	boog4loo	2
204	ConcretePirate	2
204	crying_wolf_13	2
204	Kamflame10	2
204	MindyDooWho	2
204	kapono209	2
204	orxngejuice	2
204	Xalithia	2
204	gcaisawesome	2
204	r123moore	2
204	NoxxxxiS	2
204	ItzYaBoiPicard	2
204	platinumzero	2
204	Bolete	2
204	Gamergirl420628	2
204	ehunt54	2
204	DermeinUser	2
204	M_Patata	2
204	_Gabae	2
204	MitexFTW	2
204	Ecplosive	2
204	FetteMutter	2
204	Orcus113	2
204	Windo_licker	2
204	nitram49b	2
204	gabriels543	2
204	Snowflowe	2
204	Nyxiom_	2
204	MangoTheFish	2
204	The_Fulgurator	2
204	tobinwilliams	2
204	Will_Bee	2
204	out1s	2
204	ApophisNova	2
204	DeeDeeThonk	2
204	Kynigito	2
204	epiksk8erduck	2
204	skelctal	2
204	Vetral1	2
204	Kokeech	2
204	FishyBoy3811	2
204	LilLizardWizard	2
204	Kim_Jong_eel	2
204	Leyna3	2
204	KliBeast21	2
204	ADEXTV	2
204	TheTrueClipse	2
204	Choco_Spy	2
204	ogoa	2
204	_Crimson_Legate	2
204	natajimi	2
204	TheSeismicDuck	2
204	AlexChristian	2
204	Captain_Nasty	2
