rank	username	minecraft:crafted/minecraft:green_stained_glass
1	Hyp3rion_	20928
2	beeperbeeper5	9000
3	lordpipe	5912
4	Snowflowe	2728
5	Werbe	1920
6	Lez_	1592
7	Spacewardharpy7	1040
8	noam464	928
9	El_Jalapeno	792
10	MakeHistory157	512
11	TechnoNinja64	488
12	pintsizedrogue	480
12	TheShyPig	480
14	ImpavidArcher	400
15	Steelynan	368
16	Kowcio_	304
17	_Virify_	280
18	luseis	224
19	Mattesco	216
20	Quotary	200
21	mwrty	184
22	Kakolbus	168
23	SolicitedPuma101	136
23	EcksD	136
25	EMC_	128
25	fragrantmonke444	128
25	txxskx	128
28	blackeemperor	96
28	Groundler	96
30	eitanzaki	88
31	Mr_Byzantine	80
32	Jackattack53	72
32	DTwenty	72
32	Blaiku	72
35	PazinGaming	64
35	Wooptey	64
35	heckface	64
35	500am	64
35	Marbz_	64
35	Maenara	64
35	EveryonesUncle	64
35	Barlycorn	64
35	ConnorDanky_	64
44	Blackberry1310	56
44	Comma__	56
44	Enderxz3	56
47	hanaryheatwave	48
47	Jimb0nat0r	48
47	Yamdalorian	48
50	TheSecondLord	40
50	Chromary	40
50	Inbefour	40
50	miramyu	40
54	Merv__	32
54	Huwulling	32
54	joethahobo	32
54	skroobiez	32
54	oreee	32
54	xxPipperDipperxx	32
54	thewindmillman	32
54	jnp_gaming	32
62	Saucepeh	24
62	Touched_Bread	24
62	ApophisNova	24
62	GooseWithin	24
62	fluddd	24
62	MyNamaSheff	24
62	tompup	24
62	Sral7	24
62	TheWickedBird	24
71	HellsSponge	20
72	RoskobiOne	16
72	6king6colt6	16
72	AspenLightVT	16
75	Groovy_MoonBird	8
75	CLG_Kata	8
75	AuroraValkyrie	8
75	SaucyDark	8
75	MoistMicrowave	8
75	Prismyst	8
75	MSK__	8
75	Historical_Sand	8
75	Pofen	8
75	rarrq	8
75	titanlax	8
75	jacxhadow	8
75	MyNameIsJobo	8
75	Onennon	8
75	Manaateee	8
75	MAns_44	8
75	Druid95	8
75	pixelviolin	8
75	yatsuta	8
75	Kubeusz2010	8
75	Nicserso	8
75	Legendosh	8
75	skitzxo	8
