rank	username	minecraft:crafted/minecraft:cherry_stairs
1	Lez_	2192
2	StarCookiees_	704
3	U_Mos_	236
3	Mattesco	236
5	Werbe	206
6	Mr_Byzantine	184
7	Apollo_993	144
8	skitzxo	128
9	fragrantmonke444	88
10	OreTheBear	72
11	Napoleonpancake	68
11	Reneedium	68
13	KarlKaek	52
14	oscminus	40
15	pretty_pink_reno	38
16	TheWickedBird	36
17	pintsizedrogue	32
17	k_ce	32
17	TheSecondLord	32
17	Moofyman	32
17	XxCookiequeenxX	32
17	Myrulfan3	32
23	Steelynan	24
24	Alteriity	20
25	_Huge_Male_	16
25	MattieHD	16
27	Merv__	12
27	Archsam	12
27	Tersea_	12
27	Krowuss	12
31	PazinGaming	8
31	noam464	8
33	shineh10	4
33	Huwulling	4
33	beeperbeeper5	4
33	luseis	4
33	Manaateee	4
33	pixelviolin	4
33	Jimb0nat0r	4
