rank	username	minecraft:crafted/minecraft:cut_copper_slab
1	Mr_Byzantine	570
2	Nicserso	352
3	EMC_	230
4	Lez_	198
5	hanaryheatwave	176
6	Soplight	122
7	SpacesickPrism	120
8	thewindmillman	86
9	QuiCreans	84
9	bl1ss0	84
11	Lord_Jord	76
12	Mr_Sun15	48
13	Hyp3rion_	38
14	Merv__	36
14	shineh10	36
16	Enderxz3	32
16	Yamdalorian	32
18	Kubelz	30
18	DJzombiehunter	30
18	Gus2005	30
21	EnigmaTheYeen	24
21	_witch_craft_	24
21	thebaddruid	24
21	JETrotter	24
25	_Huge_Male_	12
25	MattieHD	12
27	PlasticOtari	10
28	pintsizedrogue	8
28	Jekyll	8
28	pixelviolin	8
28	00000000-0000-0000-0009-01f570995a20	8
32	k_ce	6
32	SuperPooch06	6
32	GooseWithin	6
32	Vegvisir	6
36	500am	2
36	StinkyDiplomat	2
38	TheWickedBird	1
