rank	username	minecraft:crafted/minecraft:netherite_chestplate
1	Hyp3rion_	9
2	TheBananaKat	8
3	Ryan_GEMS	7
4	500am	6
5	Lez_	5
6	pintsizedrogue	2
6	hm947	2
6	Alteriity	2
6	luseis	2
6	HellsSponge	2
6	SingedBread	2
6	THEKINGLyric10	2
6	LazySupport00	2
6	iSammael	2
15	CLG_Kata	1
15	chipklip	1
15	Apollo_993	1
15	ganyuganyu	1
15	RoskobiOne	1
15	CloroxBleach385	1
15	SmashingPump	1
15	AuroraValkyrie	1
15	Sleek_Storm_721	1
15	itburb	1
15	ImpavidArcher	1
15	_Razaria	1
15	tuckerdoodle	1
15	Wooptey	1
15	RebelAndroid	1
15	SyntheticSurgeon	1
15	Huwulling	1
15	NinjaKnifeKill	1
15	ITDV	1
15	ccwildfire1	1
15	beeperbeeper5	1
15	xPixelRainx	1
15	CliffEmAll	1
15	mattybeewrapss	1
15	bloodbiter	1
15	Secret_Canary	1
15	excelsionprime	1
15	Kkanot	1
15	4774	1
15	Flapjacker687	1
15	Nach0Bear	1
15	lorpus	1
15	Awyrlas	1
15	Trixididntdie	1
15	Xalithia	1
15	__TheNorseMan__	1
15	Covalents	1
15	CharlieButt	1
15	mimbo1211	1
15	Mobstr	1
15	Winklepicker279	1
15	CollinMH06	1
15	Marbz_	1
15	SuperPooch06	1
15	Chromary	1
15	thewindmillman	1
15	JitteryJared2	1
15	Eczbox	1
15	pappaberg	1
15	Krowuss	1
15	Rebytre	1
15	HAIRYCLOUD626	1
15	ApophisNova	1
15	Afinnity	1
15	PigDab	1
15	AlexxO_o	1
15	spellmre	1
15	HeraclesOGU	1
15	sammidk	1
15	KeruNatsema	1
15	zToasty69z	1
15	Luminad3	1
15	TJawesome09	1
15	MrQuanQuan	1
15	AuroraSkies	1
15	Wowful	1
15	ReSynced	1
15	LeonelSalamanca	1
15	XxCookiequeenxX	1
15	EveryonesUncle	1
15	Deodorante	1
15	Lutres_	1
15	DarkS0L	1
15	Fuad_R	1
15	_Karmaa	1
15	Quaintster	1
15	MAns_44	1
15	FreakGenius	1
15	EfficientC52	1
15	Not_Insom	1
15	El_Jalapeno	1
15	Nycteus_	1
15	fluddd	1
15	MightyWertu	1
15	OffWithTheirHead	1
15	SkateboardR6	1
15	Yahir091	1
15	monky_irl	1
15	Druid95	1
15	ItsDeltaMC	1
15	Kura2218	1
15	Strangemonkey71	1
15	TheEnderMan548	1
15	hdtpm	1
15	Kowcio_	1
15	YungMaki	1
15	Segotep999	1
15	djancak	1
15	Soplight	1
15	Spenduh	1
15	LeEricc	1
15	PortlyPete69	1
15	_Yonk_	1
15	fffMike	1
15	Winston_Ingram	1
15	Njensen7	1
15	Eczbek	1
15	Kubeusz2010	1
15	TheOuterCore	1
15	MissCeleste7	1
15	RadarHz	1
15	MyNamaSheff	1
15	FelixPSY375	1
15	Jimb0nat0r	1
15	AdmiralSmoke	1
15	remmisrat	1
15	00000000-0000-0000-0009-01ff0c3e5e4f	1
