rank	username	minecraft:crafted/minecraft:filled_map
1	EcksD	880
2	Zythose	720
3	oxfordschool	600
4	joethahobo	594
5	beeperbeeper5	553
6	YungMaki	539
7	Jackattack53	494
8	Mahoose	392
9	Merv__	366
10	thewindmillman	360
11	SSytex_X	239
12	Hyp3rion_	235
13	EcksDofficial	227
14	rarrq	155
15	noam464	139
16	Blackberry1310	136
16	fluddd	136
18	Hermanni__	120
18	Legendosh	120
20	Freak_Genius	88
21	_Dean_123	80
22	KarlKaek	64
23	kekhon	60
24	EveryonesUncle	52
25	Fullut	51
26	Ezekson	48
27	lordpipe	44
28	Smashic	43
29	NameGenerat0r	42
30	Akoot_	41
31	Lord_Jord	38
32	Marbz_	33
33	heckface	32
33	claivin	32
35	mwrty	27
36	Steelynan	26
37	SvenskaHugo	24
38	Skylord_Luke	19
39	Arceus1975	18
39	iSammael	18
39	SexcMf	18
42	LilyNova	17
43	ShedJr_	16
43	Jiminie	16
45	Mr_Byzantine	15
46	MattieHD	14
46	epiksk8erduck	14
46	NomadicRobin_	14
46	HellsSponge	14
50	Blu3beast	13
51	pintsizedrogue	12
51	EMC_	12
53	Spacewardharpy7	10
54	SlowMoNinja1994	9
55	Hpdinosaur	8
56	Drlzyy	7
56	Maenara	7
58	Malorn_Aetherius	6
58	xxPipperDipperxx	6
58	CaptainBadKid	6
58	binman420	6
58	XxCookiequeenxX	6
58	LetsDoItLive	6
64	eitanzaki	5
64	301851	5
64	diggydog67	5
67	ImpavidArcher	4
67	livingdaydreams	4
67	KomputerDude	4
67	H72l9w	4
67	SteveCraftBlocks	4
67	TylerDupree	4
67	Zaridey	4
67	The_slideV3	4
67	_Karmaa	4
67	Blaiku	4
77	Tolhart	3
77	TheDankPlatypus	3
77	impossibleteapot	3
77	JustAWill_	3
77	TheShyPig	3
77	Jij0	3
77	Dogcorn69420	3
84	Ganongeek	2
84	PhantomsGhost_	2
84	RebelAndroid	2
84	Ryker	2
84	Vizzoid	2
84	TheSecondLord	2
84	Boboczus	2
84	slkiey	2
84	Noah_Bez	2
84	SHAOBADMAN	2
84	Bumpy419	2
84	Werbe	2
84	Onennon	2
84	TTNG	2
84	Kim_Jong_eel	2
84	Xclax101	2
84	sp00ky_ghost977	2
84	pixelviolin	2
84	Soplight	2
84	lcvezra	2
84	KingMatthew506	2
84	Skippeh	2
84	FelixPSY375	2
84	Lowjinx	2
84	JayToe	2
109	rats_life	1
109	Bandito_Roamer	1
109	ExtraDumb	1
109	youhjjhhhjj	1
109	Historical_Sand	1
109	nocturne78	1
109	FirsTimeGamingTV	1
109	Euclidoris	1
109	Comma__	1
109	ThePoliteG	1
109	Ardennes	1
109	ROY4LE	1
109	theonlymagikarp	1
109	r123moore	1
109	Winklepicker279	1
109	mariominejedi	1
109	RefluxRatio	1
109	ApophisNova	1
109	RobotMinion101	1
109	ADEXTV	1
109	PartyPhoenix	1
109	El_Jalapeno	1
109	censorsheep	1
109	MovingFish7	1
109	TheTommyGun63	1
109	33sudo	1
109	LordSpeed37	1
109	stellarjay	1
109	OfficerAnvil	1
109	MyNamaSheff	1
109	Enderslayerxz3	1
