rank	username	minecraft:crafted/minecraft:white_candle
1	EMC_	64
2	Freak_Genius	31
3	pintsizedrogue	10
4	Soplight	6
5	Merv__	5
6	beeperbeeper5	4
7	Blackberry1310	3
8	thewindmillman	1
