rank	username	minecraft:crafted/minecraft:quartz_pillar
1	joethahobo	16903
2	beeperbeeper5	6276
3	EveryonesUncle	2946
4	Frozil12	2768
5	Spacewardharpy7	2538
6	lordpipe	2459
7	Blaiku	2004
8	HellsSponge	1666
9	Lord_Jord	1652
10	Rocco_Lane	1448
11	sp00ky_ghost977	1439
12	himak1	1263
13	Groundler	1182
14	Merv__	1163
15	EcksDofficial	1084
16	The_slideV3	916
17	Sral7	865
18	_Karmaa	840
19	Freak_Genius	796
20	Incinere	702
21	Akoot_	656
22	AltnumberF4	638
23	m_be9	626
24	lillips	566
25	MakeHistory157	542
26	Werbe	536
27	Deerfoot	498
28	Ezekson	488
29	chipklip	473
30	xxPipperDipperxx	445
31	Xclax101	382
32	SSytex_X	378
33	Inbefour	363
34	kekhon	362
35	EMC_	358
36	KliBeast21	343
37	stahouo	336
38	Cowison	334
39	KarlKaek	322
40	Nicserso	300
41	Nycteus_	296
42	noam464	294
43	Di_infiri	288
44	PlasticOtari	284
45	Lutres_Torane	279
46	EcksD	262
47	fred870d	252
48	Soplight	218
49	paranoid_plant	210
50	MeetTheWollo	202
51	ImpavidArcher	186
52	The_SlideV5	184
53	NameGenerat0r	175
54	pintsizedrogue	168
54	Lez_	168
56	Barlycorn	162
57	Smoke____	158
58	thewindmillman	144
59	Fuad_R	142
60	Wolverine4302	136
61	TooManyDuck	128
61	jnp_gaming	128
63	Hyp3rion_	120
64	trexgb	114
65	Maenara	104
66	Mr_Byzantine	102
67	Jackattack53	99
68	soundad	86
69	Zedducius	80
70	Fullut	76
71	Steelynan	74
72	rarrq	72
72	oxfordschool	72
74	CoffeeNoir	71
75	Deathkob	70
76	r123moore	68
76	FishyBoy3811	68
78	Mewar	66
78	YungMaki	66
80	gabriels543	64
80	tobinwilliams	64
80	Skylord_Luke	64
80	ApophisNova	64
80	Luigipunch989	64
80	MyNamaSheff	64
86	Sky_light_KING	60
87	El_Jalapeno	56
87	SammiWolfGirl	56
89	TheShyPig	55
90	Blackberry1310	54
91	ColeSnyder	52
91	Mahoose	52
93	Snowflowe	50
93	Bumpy419	50
95	eitanzaki	48
95	PegLegPete93	48
95	bloomkieren	48
95	ZeroKraken	48
99	Myszoaz	46
100	KeruNatsema	45
101	ProfessorBee	44
101	Eraxa	44
103	titanlax	36
103	Marbz_	36
103	Rumpletaezer	36
106	fluddd	30
107	Swexti	28
107	Ardennes	28
109	Donutt	26
109	Moofyman	26
111	SaucyDark	24
111	awesomeoneme	24
111	12Magner05	24
111	Billious	24
111	Quotary	24
111	TechnoNinja64	24
117	Jackster03	22
117	MSK__	22
117	corvidpartyfor6	22
120	lcvezra	18
121	wwwwinnebagoooo	17
122	AJplaysMC_	14
123	MunkaKris	12
123	Groovy_MoonBird	12
123	BodaciousCake	12
123	youhjjhhhjj	12
123	shdesolt	12
123	Kamflame10	12
123	NotMeanttoChange	12
123	NotTrixi	12
123	Zaridey	12
123	__Auspicious	12
123	TheEnderman548	12
123	Hermanni__	12
123	FelixPSY375	12
136	theonlymagikarp	8
136	Avrelion	8
136	cedric72	8
136	Jiminie	8
136	SlinkyPinky	8
141	PhantomsGhost_	7
142	Whiterooster001	6
142	Doom_melon	6
144	Bandito_Roamer	4
144	SlowMoNinja1994	4
144	MightyWertu	4
144	Optiprimus	4
148	MrKrabOnCoke	2
148	egglapras	2
148	burbankbuilder28	2
148	Kouridragon	2
148	00000000-0000-0000-0009-01ff0c3e5e4f	2
153	_Virify_	1
153	RebelAndroid	1
153	thescout7	1
153	JESS_THE_RERE	1
153	BumbleBeever	1
