rank	username	minecraft:crafted/minecraft:iron_sword
1	beeperbeeper5	138
2	Smoke____	109
3	thescout7	71
4	pintsizedrogue	56
5	Di_infiri	46
6	Njensen7	45
7	PlasticOtari	42
8	Jiminie	37
9	TheSecondLord	34
9	djancak	34
11	Nach0Bear	31
12	rarrq	29
12	Lord_Jord	29
14	teslawolf38	28
14	500am	28
14	lordpipe	28
17	joethahobo	27
17	Akoot_	27
17	TheSeismicDuck	27
20	Frozil12	24
21	El_Jalapeno	23
22	Nekomin0	22
23	bloodbiter	20
24	soundad	19
24	KarlKaek	19
26	RebelAndroid	18
26	Mahoose	18
26	splatterhawk	18
26	monky_irl	18
26	stahouo	18
31	Harotio	17
31	WarHammer3	17
31	noam464	17
34	RodSerlingCringe	16
35	Fildyr	15
35	Kyrum2169	15
35	__tomato	15
38	sufjanlover	14
38	Razzgriz	14
38	bloomkieren	14
38	TheOnlyRake	14
42	Drlzyy	13
43	M_Patata	12
43	Chuglyfe	12
45	picardred	11
45	himak1	11
45	intropass	11
45	Skylord_Luke	11
45	ComplexSquirrel	11
45	MasterNueve	11
51	RatatJuice	10
51	whoaluv	10
51	ooga47	10
51	Lowjinx	10
55	ImpavidArcher	9
55	openatheclose	9
55	301851	9
55	Blackberry1310	9
55	wobn	9
55	DarkS0L	9
55	DanTheBuilderino	9
55	WyngGoy	9
55	CalebDHawk	9
55	Vellu21	9
65	6king6colt6	8
65	Guillemet	8
65	Kubelz	8
65	ItsAki_	8
65	Kynigito	8
65	Joestra	8
65	fluddd	8
65	wwwwinnebagoooo	8
65	Soplight	8
65	Logain42	8
75	Incinere	7
75	MOSS000	7
75	cowgirlkasia	7
75	12Magner05	7
75	lilsay	7
75	PeteO1995	7
75	Hyp3rion_	7
75	BRRRN179	7
75	420BreadLizard	7
75	Katsuragi0243218	7
75	Meatlaugh	7
75	DarlaMeow	7
75	cytotoxaint	7
75	AvaRosey	7
75	Steelynan	7
75	coobert42	7
75	MelodyGaysharks	7
92	Cowison	6
92	Tolhart	6
92	eitanzaki	6
92	livingdaydreams	6
92	IWorkAtIkea	6
92	m_be9	6
92	Ardennes	6
92	Jokerman369	6
92	AngalexikCZ	6
92	Masssonnn	6
92	Noah_Bez	6
92	Kakolbus	6
92	MyNameIsJobo	6
92	AJplaysMC_	6
92	Rumpletaezer	6
92	Fast_Turtle	6
92	fred870d	6
92	TheShyPig	6
92	Maenara	6
92	wezzzi	6
92	DTwenty	6
92	proxivitoid	6
92	BuildTheGondola	6
92	oxfordschool	6
92	EcksD	6
92	Nicserso	6
92	FallenCorps	6
119	ExtraDumb	5
119	SaucyDark	5
119	Paleshield	5
119	Natty	5
119	lotarp	5
119	CoffeeNoir	5
119	awesomeoneme	5
119	5hit455	5
119	FirsTimeGamingTV	5
119	Euclidoris	5
119	o0z	5
119	set67	5
119	eviltunix	5
119	Paintz	5
119	Bolete	5
119	Ecplosive	5
119	FetteMutter	5
119	Winklepicker279	5
119	mariominejedi	5
119	jedi_george	5
119	Werbe	5
119	DeeDeeThonk	5
119	groofles	5
119	Sky_light_KING	5
119	valkam13	5
119	NYJ	5
119	chipklip	5
119	shrimp_flips	5
119	Dooinfe	5
119	Freak_Genius	5
119	QueenShuvi	5
119	Blaiku	5
119	Warlord324	5
