rank	username	minecraft:crafted/minecraft:terracotta
1	ZoomieZoomie	1777
2	SSytex_X	1499
3	Crowman1	1461
4	Bandito_Roamer	1449
5	Blazebit	1216
6	Arceus1975	1128
7	Dan_Scha	768
8	AdmiralSmoke	677
9	Mr_Byzantine	638
10	thgrocks	628
11	wobn	610
12	TheShyPig	593
13	SaucyDark	533
14	Bumpy419	489
15	bigstankyy	466
16	Tobinator_007	427
17	dopplexd	395
18	NinjaKnifeKill	383
19	master9067	348
20	KarlKaek	341
21	Tommhh	305
22	dedgt	304
23	Blamphe	289
24	RohnJosin	286
25	xxPipperDipperxx	281
26	olliebollie48	280
27	pintsizedrogue	278
28	CarryLine	275
29	CoffeeNoir	264
29	LeauVox4921	264
31	Deerfoot	256
32	TheEnderMan548	254
33	NameGenerat0r	242
34	oscminus	223
34	claivin	223
36	annoyingenderman	222
37	RadarHz	205
38	Toriankel	204
39	xXTheWolfmanXx	200
40	cheerytomato	197
41	Inchef	192
41	_Bguette_	192
41	StinkyDiplomat	192
44	Syropatathe	186
45	Stynxy	184
46	JohnPrice	181
47	Rebytre	160
48	ZigzagLily43042	158
49	mobunni	148
50	SaintJosie	145
51	SyntheticSurgeon	134
51	500am	134
53	beeperbeeper5	131
54	_Huge_Male_	129
54	07shiny	129
56	Paint	128
56	m_be9	128
56	ProfessorBee	128
56	Manaateee	128
56	SwooshBoi	128
61	Jiminbub	124
62	Invisie	120
63	DTwenty	110
64	Ecplosive	107
65	Optiprimus	99
66	luseis	94
67	bloomkieren	80
68	MonitorLizards	76
69	djancak	73
70	Merv__	66
71	monolu	65
72	RoskobiOne	64
72	Azmodan_246	64
72	drompje	64
72	Quincannon	64
76	RebelAndroid	63
77	lcvezra	62
78	_Dean_123	60
78	Snowflowe	60
80	Blackberry1310	57
80	_Karmaa	57
82	Killercatty78	54
82	ratglock	54
84	Prismyst	51
85	lillips	50
86	Ao_Ken	49
87	dendydoom	41
88	WET_WET_WET	40
89	RedcatVII	39
90	Icyyyyy	38
91	Onennon	37
92	Marbz_	35
92	Skylord_Luke	35
94	babyjimmyneutron	32
95	TheSecondLord	30
95	AvaRosey	30
97	GLLogan2	29
98	corvidpartyfor6	27
99	thescout7	26
100	xolstoi	25
101	T045RTY	24
101	SammiWolfGirl	24
103	Lutres_	22
104	Shogunite	21
105	Luigipunch989	19
106	wrinkledpiglet	18
107	sp00ky_ghost977	16
107	TechnoNinja64	16
109	The_Cruncy	15
110	cedric72	13
111	burbankbuilder28	12
112	thewindmillman	11
112	Werbe	11
112	fluddd	11
115	NieToksikpl	9
116	Krowuss	8
116	ooga47	8
116	ReSynced	8
116	SingedBread	8
116	h2p_emrld	8
121	Mahoose	7
122	__Fanda__	6
123	PazinGaming	5
123	eitanzaki	5
125	JohnnyFyes	4
125	mihimihimihi	4
127	ougstur	3
128	ShedJr_	2
128	Notta	2
128	Charmyboi	2
131	Frozil20	1
131	6king6colt6	1
131	TuesdayEpisode	1
131	MrExplorer	1
131	Cortexia	1
131	MyNameIsJobo	1
131	SvenskaSara	1
131	HellsSponge	1
131	FreakGenius	1
131	Groundler	1
131	Racengan	1
131	MakeHistory157	1
131	starbits140	1
