rank	username	minecraft:crafted/minecraft:enchanting_table
1	HellsSponge	122
2	noam464	64
3	beeperbeeper5	13
4	YungMaki	11
5	Snowflowe	8
5	TheShyPig	8
7	500am	7
8	Merv__	5
8	ECstardust	5
8	Frozil20	5
8	TheSecondLord	5
8	Kubeusz2010	5
13	pintsizedrogue	4
13	SmashingPump	4
13	thescout7	4
13	Hyp3rion_	4
13	F_Uhre	4
13	Manaateee	4
13	miramyu	4
20	rarrq	3
20	m_be9	3
20	Smashic	3
20	SellyZ	3
20	TheDankPlatypus	3
20	oscminus	3
20	Skylord_Luke	3
20	Tyrannosplart	3
20	Dakar_	3
20	claivin	3
20	Ezekson	3
31	6king6colt6	2
31	KarlKaek	2
31	lorywithay	2
31	Lez_	2
31	joethahobo	2
31	Euclidoris	2
31	Malorn_Aetherius	2
31	12Magner05	2
31	kekhon	2
31	Inchef	2
31	ROY4LE	2
31	selectrix	2
31	Akoot_	2
31	AlphaWolfPlaysMC	2
31	Lord_Zacler	2
31	Fuhrer_Teemo	2
31	El_Jalapeno	2
31	Xclax101	2
31	Spacewardharpy7	2
31	Sank34	2
31	pixelviolin	2
31	TheKingK_	2
31	starbits140	2
31	Soplight	2
31	SSytex_X	2
31	Steelynan	2
31	Iamthejo	2
31	ConnorDanky_	2
31	Enderxz3	2
31	Jimb0nat0r	2
31	PlasticOtari	2
31	Yamdalorian	2
31	TheWickedBird	2
64	gary_	1
64	j4ck811	1
64	Bruh77	1
64	Mr_Worthless	1
64	RosaDoesMC	1
64	Jovaphobic	1
64	j5ylim	1
64	k_ce	1
64	MuffinManzz	1
64	Matemkas	1
64	Bandito_Roamer	1
64	Mr_Byzantine	1
64	Froste131	1
64	SyK7	1
64	CLG_Kata	1
64	_Huge_Male_	1
64	2xil2	1
64	Apollo_993	1
64	Harotio	1
64	dudcreeper	1
64	RoskobiOne	1
64	Cowison	1
64	Paint	1
64	BPTY4618	1
64	squigglybones	1
64	soundad	1
64	Napoleonpancake	1
64	PazinGaming	1
64	BigBootyHudge	1
64	NotRemets	1
64	Jackywho	1
64	SlowMoNinja1994	1
64	shineh10	1
64	Minehrider	1
64	q_wq	1
64	DepressedCubic	1
64	EMC_	1
64	I_Am_Mushkin	1
64	chimpmunker	1
64	Flex_Tape_Phil	1
64	xXTheWolfmanXx	1
64	Kegradigm	1
64	Ryan_GEMS	1
64	ExtraDumb	1
64	ssleepless	1
64	DinoDoctor_	1
64	ImpavidArcher	1
64	SaucyDark	1
64	hm947	1
64	TooManyDuck	1
64	Killercatty78	1
64	Tolhart	1
64	JokoFiskare	1
64	RatatJuice	1
64	KiRemon77	1
64	tuckerdoodle	1
64	Wooptey	1
64	HollieDaNugget	1
64	RebelAndroid	1
64	Ryker	1
64	baxteerr	1
64	eitanzaki	1
64	ewsophie	1
64	jimintyy	1
64	Natty	1
64	ZaneABrain	1
64	Seyaboy	1
64	Reamdin	1
64	MoistMicrowave	1
64	Julmish	1
64	Sebaschan__	1
64	Morgf	1
64	YairZaki	1
64	Mahoose	1
64	peach0s	1
64	ShedJr_	1
64	MOSS000	1
64	stevewithclout	1
64	MSK__	1
64	skroobiez	1
64	Gregward_Smith	1
64	gaziter10	1
64	IgnoredBee	1
64	IWorkAtIkea	1
64	Dblikstad	1
64	ccwildfire1	1
64	QuiCreans	1
64	uhm__okay	1
64	Ssor69	1
64	TheFlfthHorseman	1
64	Vizzoid	1
64	Stynxy	1
64	Ozixar	1
64	picardred	1
64	dopplexd	1
64	aikabot	1
64	titanlax	1
64	roxycherry	1
64	cheerytomato	1
64	NieToksikpl	1
64	Blackberry1310	1
64	Saucepeh	1
64	SnowyAvi	1
64	Notta	1
64	ratglock	1
64	shdesolt	1
64	Comma__	1
64	Hydro___________	1
64	jacxhadow	1
64	MoistEggo	1
64	ThePoliteG	1
64	Dnulgreb	1
64	MinttyFressh	1
64	Tiberonus	1
64	o0z	1
64	MattieHD	1
64	Megarboh	1
64	SoftSix	1
64	_Nuf	1
64	corvidpartyfor6	1
64	Secret_Canary	1
64	Enigma0251	1
64	wiqor	1
64	Fullut	1
64	BilboBaggins23	1
64	leaf26	1
64	slkiey	1
64	excelsionprime	1
64	Tmb1	1
64	crying_wolf_13	1
64	Kamflame	1
64	MindyDooWho	1
64	GLLogan2	1
64	Gingayy	1
64	UncreativeArtist	1
64	mwrty	1
64	Awyrlas	1
64	fade_emerge78823	1
64	himak1	1
64	KGTV	1
64	PegLegPete93	1
64	Mewar	1
64	Xalithia	1
64	LeauVox4921	1
64	SharpDev	1
64	__TheNorseMan__	1
64	SPUDonSTEROIDS	1
64	2Stout	1
64	xxPipperDipperxx	1
64	Diavri	1
64	theonlymagikarp	1
64	SpicyMeatballs	1
64	imcombxt	1
64	Paintz	1
64	Touched_Bread	1
64	Noah_Bez	1
64	eiC_	1
64	Kubelz	1
64	platinumzero	1
64	Bolete	1
64	XboxPanda	1
64	HoltGrim	1
64	CharlieButt	1
64	M_Patata	1
64	Zaridey	1
64	ZeroAbyssTTV	1
64	RustyKedel	1
64	Kakolbus	1
64	fallingemma	1
64	breadbowlgamer	1
64	Karetoko	1
64	toj__	1
64	Bazongoman	1
64	Winklepicker279	1
64	CollinMH06	1
64	Windo_licker	1
64	Aavermu	1
64	SuperStreetCat	1
64	MyNameIsJobo	1
64	SlayerCrypto	1
64	Di_infiri	1
64	Chromary	1
64	Rumpletaezer	1
64	hanaryheatwave	1
64	thewindmillman	1
64	burbankbuilder28	1
64	2extreeme	1
64	DaviusMaximoose	1
64	killmeiamtraitor	1
64	AnnieBathory	1
64	U_Mos_	1
64	Reneedium	1
64	andy_rex	1
64	SirPiccardo	1
64	Nyxiom_	1
64	Eczbox	1
64	Fast_Turtle	1
64	pappaberg	1
64	WarMachina	1
64	Rocco_Lane	1
64	domagawha	1
64	kars0n	1
64	Azmodan_246	1
64	tobinwilliams	1
64	Donutt	1
64	Bumpy419	1
64	MustardDrinker	1
64	BronkerBrum	1
64	CaptainDeadBread	1
64	Corbsman	1
64	ItsAki_	1
64	DadWorksForSega	1
64	TheWildMateo	1
64	Werbe	1
64	The11thDoctor	1
64	bee_gorl	1
64	Kouridragon	1
64	Onennon	1
64	Mattesco	1
64	Kynigito	1
64	MinerDec	1
64	Moofyman	1
64	wfk7	1
64	Nadhorion	1
64	_Cloverbelle_	1
64	BRRRN179	1
64	PigDab	1
64	Skomo	1
64	Vetral1	1
64	R1CHY2K	1
64	J4k__	1
64	Olib3ar	1
64	CaptainAvenger7	1
64	TeenMomTom	1
64	HeraclesOGU	1
64	Samificator	1
64	PaperCanvas	1
