rank	username	minecraft:crafted/minecraft:dark_oak_trapdoor
1	HellsSponge	8171
2	Spacewardharpy7	3818
3	Mahoose	3182
4	MustaLoordi	1770
5	Hiryu27	1552
6	Jiminie	1458
7	Zythose	1350
8	Smoke____	1118
9	Hoid_the_Roamer	1104
10	beeperbeeper5	1026
11	_TCARREIRA_	999
12	MyNameIsJobo	994
13	Hisiste	968
14	PlasticOtari	956
15	CollinMH06	948
16	500am	922
17	NieToksikpl	906
18	thewindmillman	890
19	djancak	834
20	livingdaydreams	830
21	Ezekson	804
22	Jackattack53	802
23	H72l9w	760
24	__tomato	744
25	TheShyPig	740
26	hollowww	694
27	selectrix	678
28	joethahobo	644
29	Racengan	578
30	set67	548
31	FishyBoy3811	522
31	EveryonesUncle	522
33	XboxPanda	474
34	Werbe	470
35	lcvezra	424
36	Sky_light_KING	420
37	rarrq	378
38	burbankbuilder28	360
39	TheSecondLord	358
39	Enderslayerxz3	358
41	emrekn	340
42	EcksDofficial	336
43	kekhon	328
44	Warlord324	306
45	Onennon	304
46	Kyrum2169	294
47	pintsizedrogue	292
48	Merv__	288
49	Fullut	285
50	SvenskaHugo	268
51	YungJakobo	258
52	peach0s	256
53	Historical_Sand	236
53	jnp_gaming	236
55	Eraxa	234
56	loveseeker	230
57	Cowison	224
58	Di_infiri	218
59	Inchef	212
60	Mattesco	210
61	EMC_	194
62	oxfordschool	190
63	thescout7	186
63	Skippeh	186
65	YoshikageBites	182
66	Winklepicker279	178
67	bigstankyy	170
68	ImpavidArcher	160
69	NameGenerat0r	148
70	Skylord_Luke	146
71	eitanzaki	136
71	fffMike	136
73	6king6colt6	134
74	carpet4_69	132
74	Legendosh	132
76	m_be9	128
76	Airem_Core	128
78	Soplight	126
79	Maenara	124
80	YungMaki	120
81	Russiancat1	119
82	yulgur1	118
83	Akoot_	106
84	Rebytre	102
84	Frozil12	102
86	smogfrog	100
87	benediktine1	98
87	Freak_Genius	98
89	CalebDHawk	96
90	AngalexikCZ	92
90	iHuntWeeaboos	92
90	Jij0	92
93	Kakolbus	86
94	KarlKaek	82
94	Natty	82
94	Ssor69	82
97	stahouo	80
98	Smashic	78
98	CACTUSLAD	78
100	Karetoko	76
100	groofles	76
102	Dedalus36	74
102	xxPipperDipperxx	74
102	SuperPooch06	74
102	anbbang	74
106	noam464	72
106	PortlyPete69	72
108	Snowflowe	70
108	Inbefour	70
108	XxCookiequeenxX	70
111	monky_irl	69
112	RobotMinion101	68
113	lillips	66
113	Blu3beast	66
115	AuroraValkyrie	64
115	LotusProject	64
117	Chromary	62
118	Stiar	60
118	Dusk_95	60
120	Barlycorn	58
121	Rumpletaezer	56
121	Deathkob	56
123	teslawolf38	55
124	LeauVox4921	54
124	Touched_Bread	54
124	Xclax101	54
127	TheDankPlatypus	52
127	dezxalo	52
129	ProfessorBee	50
130	Hyugo	48
130	NomadicRobin_	48
130	Sheldor097	48
133	jacxhadow	46
133	Kynigito	46
133	AlphaWolfPlaysMC	46
133	Meatlaugh	46
137	eviltunix	44
137	Nagasaki_Riku	44
139	cowgirlkasia	42
140	Euclidoris	40
140	SDMNAEK	40
140	KeruNatsema	40
143	FirsTimeGamingTV	38
143	mariominejedi	38
145	Blackberry1310	36
145	UCP_TheKingK	36
147	Prismyst	34
147	gcaisawesome	34
147	M_Patata	34
147	DarkS0L	34
151	RebelAndroid	32
151	youhjjhhhjj	32
151	titanlax	32
154	Groovy_MoonBird	30
154	SaucyDark	30
154	MinttyFressh	30
154	paranoid_plant	30
158	nocturne78	28
158	himak1	28
158	Optiprimus	28
158	pixelviolin	28
158	tsitrawhy	28
158	Sral7	28
164	Incinere	26
164	BobDeBouwer1337	26
164	Armattillo	26
164	dartwaffle	26
168	Alteriity	24
168	ImDisconnected_	24
168	audiocracked	24
168	Hermanni__	24
172	ShedJr_	22
172	Cryptacity	22
172	Megarboh	22
172	PegLegPete93	22
172	r123moore	22
172	Lord_Jord	22
172	The_slideV3	22
179	ProbablyNick	20
179	MattieHD	20
179	_Dean_123	20
179	Motsaro	20
179	DTwenty	20
179	Nycteus_	20
179	GravitySaint	20
179	Conrad139	20
187	Tobinator_007	18
187	RatatJuice	18
187	Zlatovlas	18
187	SellyZ	18
187	Jeteight	18
187	KlausVonStiglitz	18
193	Jovaphobic	16
193	I_Am_Mushkin	16
193	Ozixar	16
193	Nach0Bear	16
193	thgrocks	16
193	MineMaster0012	16
193	EcksD	16
200	Bandito_Roamer	14
200	Ryker	14
200	Myszoaz	14
200	jushykins	14
200	CruncyIsTaken	14
200	MyNameIsDakar	14
200	Shogunite	14
200	fluddd	14
200	MightyWertu	14
200	lordpipe	14
200	Chayula	14
200	EtherealEspresso	14
200	2blox	14
