rank	username	minecraft:crafted/minecraft:leather_boots
1	noam464	979
2	OtariCharlie	104
3	lillips	96
4	Smoke____	95
5	TheShyPig	76
6	teslawolf38	59
7	fluddd	57
8	Fullut	48
9	beeperbeeper5	46
10	kekhon	42
10	500am	42
12	Soplight	40
13	Legendosh	34
14	Akoot_	28
15	Kaf1y	26
15	TheSecondLord	26
17	RebelAndroid	24
17	Mahoose	24
17	rarrq	24
20	Merv__	22
20	Xclax101	22
22	masskedman	21
23	MyNameIsJobo	20
24	pintsizedrogue	18
25	Werbe	16
25	AssEatrAndLicker	16
27	oxfordschool	13
28	Onennon	12
28	geekbird	12
30	m_be9	11
30	himak1	11
32	mwrty	10
32	Arceus1975	10
34	Blackberry1310	9
34	Awyrlas	9
34	eviltunix	9
34	AnnieBathory	9
38	BobDeBouwer1337	8
38	TechnoNinja64	8
40	Dusk_95	7
40	Ezekson	7
40	jnp_gaming	7
43	_Virify_	6
43	ImpavidArcher	6
43	TooManyDuck	6
43	titanlax	6
43	EveryonesUncle	6
43	DASH_X7	6
43	KingMatthew506	6
43	Kubeusz2010	6
51	Sleek_Storm_721	5
51	SaucyDark	5
51	Maenara	5
51	Lord_Jord	5
51	wezzzi	5
51	HellsSponge	5
51	El_Jalapeno	5
51	Kyrum2169	5
51	Lowjinx	5
60	I_Am_Mushkin	4
60	lilsay	4
60	Bumpy419	4
60	ApophisNova	4
60	ooga47	4
60	fred870d	4
60	_naturell	4
60	_Bguette_	4
60	NameGenerat0r	4
60	claivin	4
60	censorsheep	4
60	GravitySaint	4
60	MakeHistory157	4
60	GlitchyPlate810	4
60	MyNamaSheff	4
60	JayToe	4
76	fr0stss	3
76	jacxhadow	3
76	bloodbiter	3
76	Hoid_the_Roamer	3
76	djancak	3
81	Cowison	2
81	_stets	2
81	awesomeoneme	2
81	Myszoaz	2
81	joethahobo	2
81	H72l9w	2
81	dopplexd	2
81	YungJakobo	2
81	MrExplorer	2
81	SPARCO228	2
81	SteveCraftBlocks	2
81	Cambo5000	2
81	platinumzero	2
81	Karetoko	2
81	Winklepicker279	2
81	thewindmillman	2
81	420BreadLizard	2
81	Katsuragi0243218	2
81	Jiminbub	2
81	JESS_THE_RERE	2
81	MangoSalad316	2
81	Blu3beast	2
81	Frozil12	2
81	WyngGoy	2
81	Kowcio_	2
81	stahouo	2
81	lcvezra	2
81	_TCARREIRA_	2
81	obzii	2
81	sebastiensaborio	2
81	Kferno	2
81	Quotary	2
81	RadarHz	2
81	EcksDofficial	2
115	JimmyTISC	1
115	Groovy_MoonBird	1
115	Mr_Byzantine	1
115	SyK7	1
115	NolanGrayson	1
115	ssleepless	1
115	hm947	1
115	Hpdinosaur	1
115	Filborg	1
115	T045RTY	1
115	ShedJr_	1
115	12Magner05	1
115	_Dean_123	1
115	Bobby808	1
115	ketaminmann	1
115	ROY4LE	1
115	Stiar	1
115	XboxPanda	1
115	trixterrx	1
115	TakeThis2UrGrave	1
115	SuperPooch06	1
115	AJplaysMC_	1
115	Rumpletaezer	1
115	Snowflowe	1
115	impossibleteapot	1
115	byFlixxx	1
115	_Boipl_	1
115	Donutt	1
115	TheRedFox_Gaming	1
115	HoldThatPee	1
115	RodSerlingCringe	1
115	St4nLe7	1
115	Deathkob	1
115	AvianGiraffe	1
115	_Karmaa	1
115	Racengan	1
115	SingedBread	1
115	Fildyr	1
115	ProfessorDiaper	1
115	LetsDoItLive	1
115	Nagasaki_Riku	1
115	Eraxa	1
115	pixelviolin	1
115	__tomato	1
115	Njensen7	1
115	Apicomplexa	1
115	Enderslayerxz3	1
115	2blox	1
115	Zoeyfortnite	1
