rank	username	minecraft:crafted/minecraft:black_carpet
1	YungMaki	144909
2	joethahobo	71131
3	thewindmillman	27936
4	noam464	26700
5	kekhon	23978
6	EcksD	17161
7	PigDab	15994
8	Hermanni__	13247
9	jnp_gaming	9397
10	Blaiku	8493
11	Smoke____	8295
12	Rumpletaezer	6880
13	Mahoose	5513
14	eitanzaki	4127
15	Hyp3rion_	4053
16	TheShyPig	2883
17	heckface	2631
18	mwrty	2160
19	Quaintster	2012
20	EMC_	1788
21	beeperbeeper5	1680
22	Spacewardharpy7	1677
23	Freak_Genius	1616
24	HellsSponge	1441
25	Swexti	1152
26	Snowflowe	1101
27	Kowcio_	1080
28	oxfordschool	1071
29	rarrq	1056
30	bigstankyy	960
31	500am	930
32	Lord_Jord	894
33	TheSecondLord	675
34	Racengan	669
35	himak1	384
36	bloodbiter	372
37	RebelAndroid	357
38	titanlax	323
39	PlzNoBM	279
40	thescout7	267
41	Steelynan	249
42	Enderslayerxz3	246
43	burbankbuilder28	237
44	_Karmaa	223
45	Sky_light_KING	219
46	Eraxa	198
46	Kubeusz2010	198
48	emrekn	192
49	__tomato	191
50	Akoot_	186
51	fluddd	144
52	Inbefour	135
53	Wowful	128
54	pintsizedrogue	123
55	El_Jalapeno	105
55	KingMatthew506	105
57	Werbe	99
58	MSK__	96
58	gabriels543	96
58	PlasticOtari	96
61	SaucyDark	87
62	cedric72	81
63	ProfessorBee	78
64	H72l9w	69
65	Factoroni	62
66	NameGenerat0r	60
66	cichy096	60
68	Onennon	54
69	RoskobiOne	51
69	stavgod	51
71	lcvezra	48
71	UrbanPlanner1978	48
71	TechnoNinja64	48
71	Sral7	48
75	Leyna3	45
75	Njensen7	45
77	GlitchyPlate810	42
78	Blackberry1310	39
78	Groundler	39
80	Soplight	36
81	Groovy_MoonBird	33
81	Fullut	33
83	squigglybones	30
83	Merv__	30
83	Dedalus36	30
83	__Fanda__	30
83	Ezekson	30
88	The_slideV3	27
89	m_be9	24
89	420BreadLizard	24
89	Meatlaugh	24
92	SuperPooch06	21
92	MakeHistory157	21
94	ImpavidArcher	18
94	Reamdin	18
96	Kubelz	16
96	KlausVonStiglitz	16
98	dabloons	15
98	Ssor69	15
98	DemTechAlpha	15
101	6king6colt6	12
101	BobDeBouwer1337	12
103	SquadMonster	9
103	TheDiamondCG	9
103	Winklepicker279	9
103	pixelviolin	9
107	AuroraValkyrie	8
108	teslawolf38	6
108	Tolhart	6
108	NinjaKnifeKill	6
108	MinttyFressh	6
108	DarkDescent2392	6
108	Megarboh	6
108	Zaridey	6
108	Bumpy419	6
108	LilLizardWizard	6
108	lillips	6
108	chipklip	6
108	ReyTheLegend	6
108	starbits140	6
108	PortlyPete69	6
108	CalebDHawk	6
108	Winston_Ingram	6
108	Quotary	6
108	FelixPSY375	6
126	RyuTurtle	3
126	HollieDaNugget	3
126	livingdaydreams	3
126	nocturne78	3
126	picardred	3
126	Cryptacity	3
126	NoxxxxiS	3
126	Covalents	3
126	TheDankPlatypus	3
126	Chromary	3
126	KeruNatsema	3
126	gustarbite	3
126	DarlaMeow	3
126	LetsDoItLive	3
126	Ze_BaronKrigler	3
126	LordSpeed37	3
126	djancak	3
126	MilleGrug	3
