rank	username	minecraft:crafted/minecraft:note_block
1	noam464	12719
2	Hyp3rion_	7313
3	Lez_	5401
4	Yamdalorian	3465
5	Jackattack53	2457
6	Spacewardharpy7	2225
7	thewindmillman	1741
8	Di_infiri	731
9	eitanzaki	624
10	skroobiez	584
11	Merv__	502
11	Kowcio_	502
13	PlasticOtari	501
14	crashomon	425
15	TheShyPig	386
16	Historical_Sand	369
17	thescout7	332
18	m_be9	275
19	PigDab	271
20	Soplight	259
21	Bumpy419	236
22	FreakGenius	233
23	EcksD	230
24	500am	217
25	Akoot_	212
26	Inbefour	208
27	pixelviolin	197
28	jnp_gaming	196
29	Steelynan	193
30	YungMaki	192
31	beeperbeeper5	180
32	EMC_	162
33	Hisiste	161
34	FishyBoy3811	152
35	Blu3beast	151
36	mihimihimihi	148
37	Cocoamallows	147
38	HellsSponge	146
39	oscminus	142
40	kekhon	133
41	groofles	129
42	Mahoose	128
42	MattieHD	128
44	Eczbox	126
44	Eczbek	126
46	ConnorDanky_	122
47	TechnoNinja64	114
48	Onennon	112
49	Comma__	98
50	Quaintster	92
51	EdGalbraith	90
51	luseis	90
51	hermmm_	90
54	Blaiku	86
55	Rumpletaezer	82
56	pintsizedrogue	80
57	Awyrlas	71
58	RebelAndroid	69
59	PazinGaming	65
59	AstreaTSS	65
61	j5ylim	64
61	tuckerdoodle	64
61	12Magner05	64
61	F_Uhre	64
61	MightyWertu	64
61	sp00ky_ghost977	64
61	07shiny	64
68	joethahobo	61
68	Fullut	61
70	_Huge_Male_	58
71	pretty_pink_reno	55
72	fluddd	53
73	Smashic	52
74	corvidpartyfor6	50
75	ClemenPine	47
75	WyngGoy	47
75	FishisTTV	47
78	parodypatient	46
79	slkiey	42
80	Hyugo	41
80	Gregward_Smith	41
82	Kakolbus	37
83	Archsam	33
84	emrekn	32
84	XboxPanda	32
84	Werbe	32
84	MilleGrug	32
88	Ezekson	31
89	True_Clipse	26
89	EveryonesUncle	26
91	Rich_Kat	25
91	BlankityMcBlank	25
93	ImpavidArcher	24
93	IamCL4SSY	24
95	Luigipunch989	23
96	MangoTango82	21
96	Arceus1975	21
98	Manaateee	20
99	Cryptacity	19
99	Trever101	19
101	Covalents	18
101	EngagedGrub41	18
103	PhantomsGhost_	17
103	yheece	17
103	Krowuss	17
106	Apollo_993	16
106	hm947	16
106	Winston_Ingram	16
109	T045RTY	15
109	TheSecondLord	15
109	Mewar	15
109	Racengan	15
109	Kubeusz2010	15
114	Mattesco	14
114	__tomato	14
114	Sheldor097	14
117	the_russell1611	13
117	SpacesickPrism	13
119	AuroraValkyrie	12
119	ShedJr_	12
119	rarrq	12
119	Euclidoris	12
119	Zythose	12
119	Tyrannosplart	12
119	JESS_THE_RERE	12
119	miramyu	12
119	Sral7	12
128	Alteriity	11
128	MrShojo	11
130	Tersea_	10
130	Fuad_R	10
130	Nicserso	10
133	SellyZ	9
133	Groundler	9
135	diamondgolem35	8
135	Prismyst	8
135	Crowman1	8
135	RyuNeko932000	8
135	El_Jalapeno	8
135	lordpipe	8
135	skitzxo	8
142	Niklas20114552	7
142	ssleepless	7
142	Secret_Canary	7
142	Inchef	7
142	Moofyman	7
147	Mercadies	6
147	xxPipperDipperxx	6
147	RobotMinion101	6
147	GooseWithin	6
147	Zoeyfortnite	6
147	TheWickedBird	6
153	SaucyDark	5
153	FirsTimeGamingTV	5
153	eiC_	5
153	NameGenerat0r	5
153	Pumpkin_P_Patch	5
153	non089	5
159	IgnoredBee	4
159	Swexti	4
159	Gus2005	4
159	MakeHistory157	4
163	k_ce	3
163	myaccountwasgone	3
163	philandr	3
163	4774	3
163	shadowthemonkey	3
163	MyNameIsJobo	3
163	Nyxiom_	3
163	ApophisNova	3
163	censorsheep	3
163	QuesoCrusaderIII	3
163	Cache3	3
163	StarCookiees_	3
163	SvenskaHugo	3
163	Quotary	3
163	cichy096	3
163	MyNamaSheff	3
163	annebolyn	3
180	Bandito_Roamer	2
180	_Virify_	2
180	Yatitay	2
180	heckface	2
180	Vizzoid	2
180	theonlymagikarp	2
180	gamerlord1324	2
180	bl1ss0	2
180	Bazongoman	2
180	Hiryu27	2
180	selectrix	2
180	MousePlays	2
180	Samificator	2
180	Rasmanden	2
180	TheSeismicDuck	2
180	audiocracked	2
180	Quincannon	2
180	FlashMigma	2
180	Barlycorn	2
180	FiguraDei	2
180	yatsuta	2
180	Kyrum2169	2
180	ediballbearings	2
180	Spenduh	2
180	obzii	2
180	PlzNoBM	2
180	fffMike	2
180	Kferno	2
180	Weepingbiel	2
180	Powowowow	2
180	Jimb0nat0r	2
180	Yahrto	2
212	Groovy_MoonBird	1
212	NatalieTW	1
212	Froste131	1
212	dabloons	1
212	SlowMoNinja1994	1
212	KingFaenor	1
212	DepressedCubic	1
212	Iagoku	1
212	remgrandt	1
212	Huwulling	1
212	MoistMicrowave	1
212	Julmish	1
212	Hormones	1
212	301851	1
212	NanoShot	1
212	Ssor69	1
212	urbeans	1
212	featherflyy	1
212	aikabot	1
212	Blackberry1310	1
212	Frxnkz	1
212	jushykins	1
212	Nicky_H225	1
212	Raspberry_Sodas	1
212	Megarboh	1
212	TheDiamondCG	1
212	Pelbo	1
212	i2f8x4h8ro	1
212	excelsionprime	1
212	AngalexikCZ	1
212	Kamflame	1
212	MindyDooWho	1
212	Scathra	1
212	Nach0Bear	1
212	mwrty	1
212	Motsaro	1
212	himak1	1
212	Irko	1
212	DSYisDizzy	1
212	gcaisawesome	1
212	Paintz	1
212	Noah_Bez	1
212	TheDankPlatypus	1
212	Zaridey	1
212	prizm_	1
212	moist_jellyfish	1
212	BlueZabu	1
212	ImDisconnected_	1
212	Winklepicker279	1
212	SlayerCrypto	1
212	mick407	1
212	WET_WET_WET	1
212	Parcc	1
212	domagawha	1
212	Hoid_the_Roamer	1
212	AlexxO_o	1
212	cedric72	1
212	aec9	1
212	PaperCanvas	1
212	TJawesome09	1
212	wezzzi	1
212	_Crimson_Legate	1
212	NYJ	1
212	rotten_mango	1
212	Captain_Nasty	1
212	1442	1
212	DASH_X7	1
212	claivin	1
212	ReflexCode	1
212	MustaLoordi	1
212	SwooshBoi	1
212	Warlord324	1
212	Airem_Core	1
212	geekbird	1
212	IAmTheWalrus910	1
212	OG_Songsee	1
212	legoclone09	1
212	ElectricDragon81	1
212	stavgod	1
212	Pickel_Lord	1
212	ayamefag	1
212	Soul_Atreus	1
212	Eraxa	1
212	Sank34	1
212	Shin69	1
212	Kijiki	1
212	_TCARREIRA_	1
212	_i_ERROR_i_	1
212	NATE_the_HALO	1
