rank	username	minecraft:crafted/minecraft:firework_rocket
1	joethahobo	231646
2	noam464	124450
3	Di_infiri	115180
4	HellsSponge	97702
5	lordpipe	88117
6	beeperbeeper5	84128
7	Spacewardharpy7	79380
8	Smoke____	76252
9	eitanzaki	60086
10	thescout7	50792
11	MightyWertu	49525
12	PigDab	48726
13	Mahoose	42818
14	fred870d	42636
15	OtariCharlie	35573
16	Spenduh	34867
17	YungMaki	34517
18	KG1999	23355
19	Werbe	23234
20	AssEatrAndLicker	22082
21	Blaiku	21003
22	ayamefag	20682
23	jnp_gaming	20266
24	vandmanden	19578
25	Awyrlas	19119
26	EcksD	18993
27	oxfordschool	18152
28	mwrty	18124
29	Inchef	17697
30	Sral7	16854
31	Blackberry1310	15510
32	Chromary	15192
33	Inbefour	13652
34	500am	13185
35	Hermanni__	12812
36	_Virify_	11794
37	Hyp3rion_	11726
38	Ezekson	11280
39	NomadicRobin_	11137
40	TheSecondLord	11088
41	Deodorante	10920
42	rarrq	9978
43	Racengan	9725
44	6king6colt6	9675
45	stahouo	9633
46	PlzNoBM	9399
47	claivin	9282
48	Lord_Jord	9102
49	sebastiensaborio	8904
50	fluddd	8742
51	chipklip	8632
52	EveryonesUncle	8574
53	lillips	8471
54	ZeroKraken	8436
55	set67	8385
56	SingedBread	8222
57	EMC_	8187
58	Hiryu27	8067
59	MilleGrug	7928
60	Kakolbus	7488
61	KarlKaek	7465
62	MattieHD	7374
63	Kowcio_	7245
64	NameGenerat0r	7234
65	Fullut	7175
66	Kyrum2169	7029
67	Jackattack53	6644
68	AuroraValkyrie	6596
69	fffMike	6528
70	sp00ky_ghost977	6290
71	Winklepicker279	6256
72	emrekn	6144
73	ProfessorBee	6066
74	Eraxa	6033
75	diamondgolem35	5957
76	obzii	5850
77	TheMilkerOfCats	5760
78	Steven1282598	5727
79	Sky_light_KING	5643
80	thewindmillman	5635
81	m_be9	5529
82	masskedman	5205
83	PhantomsGhost_	5202
84	__tomato	4974
85	Historical_Sand	4852
86	MakeHistory157	4800
87	DarlaMeow	4644
88	I_Am_Mushkin	4610
89	SquadMonster	4469
90	Akoot_	4450
91	King_Pancake1	4408
92	Frozil12	4356
93	HesDemonPants	4182
94	Cowison	4077
95	Enderslayerxz3	3990
96	Snowflowe	3951
97	Merv__	3936
98	bloodbiter	3906
99	XboxPanda	3900
100	Zoeyfortnite	3890
101	LexMakesHistory	3858
102	PortlyPete69	3764
103	soundad	3702
104	_Dean_123	3667
105	2blox	3561
106	Soap_Bender	3495
107	Covalents	3486
108	pintsizedrogue	3396
109	T045RTY	3296
110	anbbang	3295
111	r123moore	3283
112	Kubeusz2010	3250
113	MAns_44	3166
114	trexgb	3111
115	Skylord_Luke	3095
116	egglapras	3050
117	Groovy_MoonBird	3026
118	Cocoamallows	3018
119	Incinere	2988
120	gabriels543	2880
120	Shogunite	2880
122	Rasmanden	2853
123	Blu3beast	2823
124	SaucyDark	2821
125	mimbo1211	2814
126	CollinMH06	2789
127	Hisiste	2784
128	ApophisNova	2748
128	MyNamaSheff	2748
130	MangoTheFish	2745
131	Nycteus_	2736
132	Soplight	2670
133	hm947	2583
134	SuperPooch06	2517
135	Freak_Genius	2444
136	MeetTheWollo	2429
137	Truckoss	2417
138	ExtraDumb	2382
139	mariominejedi	2331
140	Nagasaki_Riku	2292
141	sammidk	2175
142	fanofbands101	2169
142	Legendosh	2169
144	RebelAndroid	2142
145	Optiprimus	2079
146	surfinggiraffejp	1920
147	HolyVenom	1917
148	Euclidoris	1905
149	SvenskaHugo	1878
150	_TCARREIRA_	1848
151	Zythose	1794
152	BumbleBeever	1782
152	Nicserso	1782
154	nataliecool	1776
155	SpaceGrenadier	1746
156	Auseawesome	1734
157	FishyBoy3811	1728
158	FishisTTV	1727
159	Rumpletaezer	1659
160	stavgod	1625
161	_Bguette_	1590
162	MSK__	1565
163	kinas45y5	1554
164	lizardfightclub	1547
165	Prodiginus	1536
165	Dogcorn69420	1536
167	Marbz_	1534
168	gaziter10	1527
169	eviltunix	1509
170	Arceus1975	1503
171	himak1	1476
172	RobotMinion101	1440
173	UrbanPlanner1978	1437
174	jcool7	1407
175	Jovaphobic	1395
176	ROY4LE	1374
177	TheDankPlatypus	1352
178	lcvezra	1339
179	_naturell	1269
180	_NieToksikpl_	1251
181	Powowowow	1230
182	Bumpy419	1218
183	Onennon	1209
184	teslawolf38	1203
185	lewieinnit	1152
185	jiggywraps	1152
185	TheThomas69	1152
185	Kkanot	1152
185	Flapjacker687	1152
185	__TheNorseMan__	1152
185	_Boipl_	1152
185	Hoid_the_Roamer	1152
185	Gab4101	1152
194	JohnnyFyes	1151
195	Bandito_Roamer	1148
196	TheShyPig	1137
196	Fizznut909	1137
198	awesomeoneme	1113
199	jushykins	1098
200	laron58	1095
201	EcksDofficial	1068
202	Comma__	1053
203	stellarjay	1052
204	TheTrueClipse	1032
205	12Magner05	1020
206	Njensen7	1005
207	MyNameIsJobo	963
207	TechnoNinja64	963
209	Rocco_Lane	960
210	bigstankyy	953
211	Kferno	921
212	monky_irl	913
213	ElKaySVK	891
214	wezzzi	885
215	livingdaydreams	870
216	djancak	831
217	AltnumberF4	819
218	MrExplorer	804
219	Rich_Kat	792
220	xxPipperDipperxx	774
221	ProbablyNick	768
221	Flores991	768
221	TheSeismicDuck	768
224	Maenara	711
225	Warlord324	699
226	Xalithia	663
227	Zaridey	648
228	titanlax	639
229	fkGrim	627
230	epiksk8erduck	621
231	oreee	615
231	MustaLoordi	615
233	TheEnderman548	612
234	ogoa	585
234	ebanana	585
236	Fildyr	582
237	M_Patata	576
237	Karetoko	576
237	Kokeech	576
237	NYJ	576
237	DarkS0L	576
242	Kubelz	573
243	diggydog67	546
244	Mewar	543
245	RodSerlingCringe	522
246	KnightmareD	519
247	The11thDoctor	501
248	Shiirazuku	492
249	censorsheep	480
250	JESS_THE_RERE	459
251	CruncyIsTaken	456
252	pixelviolin	453
253	Ailmast	441
254	Dusk_95	432
255	TheBiggestFeller	426
256	IdeallyGrey	411
257	burbankbuilder28	395
258	andy_rex	390
259	Jackywho	384
259	KliBeast21	384
259	Skippeh	384
262	ayqq	382
263	kekhon	378
264	Dreamdbr14	372
265	MunkaKris	363
266	ZaneABrain	348
267	heckface	333
268	Drlzyy	327
268	07shiny	327
270	NinjaKnifeKill	326
271	Quotary	324
272	K_a__a_n	288
273	chimpmunker	285
273	_8man	285
275	AssFullaCum	282
276	loveseeker	267
277	Hpdinosaur	261
277	BreadBacon	261
279	rpmm	255
280	peachfuzz1267	252
280	Myszoaz	252
280	PegLegPete93	252
280	Groundler	252
284	Natofthese	249
285	Quaintster	237
286	FirsTimeGamingTV	228
286	ProfessorDiaper	228
288	redikul	210
289	BronkerBrum	207
289	geekbird	207
291	Sleek_Storm_721	204
292	cog	201
292	FelixPSY375	201
294	BodaciousCake	198
295	Crowvens	195
295	pappaberg	195
297	Tolhart	192
297	Z3braYTIL	192
297	MasterNueve	192
297	MissCeleste7	192
