rank	username	minecraft:crafted/minecraft:cherry_sign
1	LuvLuvLove	192
2	Lez_	183
3	Werbe	126
4	cuddlyMonster	66
5	robonya_	45
6	11Brewer	36
7	Mr_Byzantine	33
8	milltesco	30
8	Alex_Hansen	30
8	OreTheBear	30
11	pintsizedrogue	27
11	MattieHD	27
13	Enderxz3	24
14	Mattesco	23
15	luseis	21
16	Cache3	16
17	powercas_gamer	15
17	Alteriity	15
17	Tersea_	15
17	bl1ss0	15
17	StarCookiees_	15
17	Kowcio_	15
17	KamFurnace	15
17	Jimb0nat0r	15
25	mymayowasgone	9
25	oscminus	9
27	beeperbeeper5	6
27	royal_2	6
27	Reneedium	6
27	LovableFemboy	6
27	Moofyman	6
27	lordpipe	6
27	TheWickedBird	6
34	Frigzy_	3
34	Napoleonpancake	3
34	PazinGaming	3
34	Merv__	3
34	ECstardust	3
34	Lazy_geniusig	3
34	Huwulling	3
34	Archsam	3
34	Sleepy_Evelyn	3
34	thewindmillman	3
34	XxCookiequeenxX	3
34	emreknugrlu	3
34	Manaateee	3
34	Synthoum	3
34	FiguraDei	3
34	pixelviolin	3
34	Pumpkin_P_Patch	3
34	DairyNickel756	3
34	Legendosh	3
34	Yamdalorian	3
