rank	username	minecraft:crafted/minecraft:white_banner
1	Eczbek	5759
2	beeperbeeper5	613
3	Legendosh	579
4	oxfordschool	553
5	PlasticOtari	452
6	500am	438
7	Smoke____	352
8	EcksDofficial	297
9	Mahoose	271
10	lordpipe	210
11	TheShyPig	202
12	Huwulling	196
13	pintsizedrogue	187
14	jnp_gaming	183
15	vandmanden	144
16	eitanzaki	138
17	ImpavidArcher	137
18	_Dean_123	115
19	Merv__	106
20	YungMaki	98
21	ZoomieZoomie	89
22	Freak_Genius	82
23	Th6masss	81
24	Smashic	78
25	kekhon	74
26	MattieHD	71
27	ROY4LE	68
28	jacxhadow	67
29	Historical_Sand	64
30	xxPipperDipperxx	54
30	Soplight	54
32	shineh10	49
32	fluddd	49
34	Lord_Jord	47
34	Jiminie	47
36	pixelviolin	44
37	diamondgolem35	42
38	EveryonesUncle	41
38	claivin	41
38	Cocoamallows	41
41	WyngGoy	39
42	hm947	38
43	teslawolf38	37
44	titanlax	36
44	The11thDoctor	36
46	Blackberry1310	35
46	Kakolbus	35
48	Hermanni__	32
49	Winston_Ingram	30
50	Hyp3rion_	28
50	420BreadLizard	28
50	Steelynan	28
53	Drlzyy	27
53	rarrq	27
55	RodSerlingCringe	25
55	StinkyDiplomat	25
57	ShedJr_	24
57	Ssor69	24
59	fkGrim	22
60	AuroraSkies	21
61	noam464	20
61	proxivitoid	20
63	Winklepicker279	19
63	Eraxa	19
65	HellsSponge	18
65	TechnoNinja64	18
67	numbra	17
68	LeauVox4921	16
68	Skylord_Luke	16
68	NameGenerat0r	16
68	MilleGrug	16
68	Enderslayerxz3	16
73	fr0stss	15
73	Nicky_H225	15
73	Werbe	15
76	egglapras	14
76	Frozil12	14
78	Tolhart	13
78	_Karmaa	13
78	Kowcio_	13
78	Kubeusz2010	13
82	_naturell	12
82	Steven1282598	12
82	00000000-0000-0000-0009-01ff0c3e5e4f	12
85	Paint	11
85	dopplexd	11
85	TheSecondLord	11
85	thewindmillman	11
85	MovingFish7	11
85	lcvezra	11
85	alderban107	11
92	Yatitay	10
92	6king6colt6	10
92	MrExplorer	10
92	Arceus1975	10
92	KartivGal	10
92	Blaiku	10
92	Fildyr	10
92	UCP_TheKingK	10
100	Froste131	9
100	KarlKaek	9
100	Akoot_	9
100	__tomato	9
100	VentiHilton	9
105	CyrusIsTired	8
105	rotten_mango	8
105	tsitrawhy	8
105	stahouo	8
109	Cryptacity	7
109	M_Patata	7
109	Chromary	7
109	Snowflowe	7
109	burbankbuilder28	7
109	epiksk8erduck	7
109	KeruNatsema	7
109	MasterNueve	7
109	Razzgriz	7
118	SuperPooch06	6
118	Rebytre	6
118	Bloo2406	6
118	SingedBread	6
118	FelixPSY375	6
118	MelodyGaysharks	6
124	rats_life	5
124	BlancoFlaco	5
124	Awyrlas	5
124	Rocco_Lane	5
124	Leyna3	5
124	Spacewardharpy7	5
124	MakeHistory157	5
124	Ze_BaronKrigler	5
124	starbits140	5
124	cichy096	5
134	2xil2	4
134	CoffeeNoir	4
134	slkiey	4
134	PegLegPete93	4
134	loveseeker	4
134	whoaluv	4
134	RobotMinion101	4
134	Vetral1	4
134	audiocracked	4
134	Nekomin0	4
134	Luigipunch989	4
134	EcksD	4
134	kinas45y5	4
147	Incinere	3
147	YungJakobo	3
147	Megarboh	3
147	Nach0Bear	3
147	DSYisDizzy	3
147	fred870d	3
147	chipklip	3
147	ProfessorDiaper	3
147	SkateboardR6	3
147	SexcMf	3
147	stavgod	3
147	JayToe	3
159	PhantomsGhost_	2
159	Sleek_Storm_721	2
159	SirUnderpants	2
159	ewsophie	2
159	youhjjhhhjj	2
159	KomputerDude	2
159	joethahobo	2
159	m_be9	2
159	Fullut	2
159	himak1	2
159	theonlymagikarp	2
159	TheDankPlatypus	2
159	CarltheCuck	2
159	Zythose	2
159	_Boipl_	2
159	regulator75	2
159	Bumpy419	2
159	Hiryu27	2
159	LexMakesHistory	2
159	Dooinfe	2
159	Quaintster	2
159	El_Jalapeno	2
159	marumochis	2
159	BlankityMcBlank	2
159	SammiWolfGirl	2
159	Dogcorn69420	2
159	anbbang	2
159	xorompole	2
159	AltnumberF4	2
188	Bruh77	1
188	RosaDoesMC	1
188	Jovaphobic	1
188	Bandito_Roamer	1
188	MixerDixer	1
188	strongman951753	1
188	The_Great_Jake	1
188	dabloons	1
188	hollowww	1
188	pZygh0st	1
188	Tommhh	1
188	HollieDaNugget	1
188	T045RTY	1
188	Natty	1
188	Jackster03	1
188	TheMaster972	1
188	tramizu	1
188	FirsTimeGamingTV	1
188	Euclidoris	1
188	Misato_0	1
188	Crowman1	1
188	shdesolt	1
188	eclipseboi	1
188	Inchef	1
188	Covalents	1
188	HypixelForums	1
188	RustyKedel	1
188	Karetoko	1
188	nitram49b	1
188	WET_WET_WET	1
188	ItsAki_	1
188	ApophisNova	1
188	CruncyIsTaken	1
188	Onennon	1
188	Kynigito	1
188	dnlksl	1
188	thgrocks	1
188	Kim_Jong_eel	1
188	YahooScreen9000	1
188	St4nLe7	1
188	Toasty_Tom	1
188	NomadicRobin_	1
188	Deathkob	1
188	Lutres_Torane	1
188	ATurtle4936	1
188	Blu3beast	1
188	Dusk_95	1
188	layabout100	1
188	Nagasaki_Riku	1
188	Optiprimus	1
188	AssFullaCum	1
188	Kyrum2169	1
188	djancak	1
188	PortlyPete69	1
188	Western_1	1
188	SlimeBOI03	1
188	LeeMcGee30	1
188	_3Stump_	1
188	Vellu21	1
188	smogfrog	1
188	MyNamaSheff	1
188	BiggieDawg	1
188	Calbo_	1
