rank	username	minecraft:crafted/minecraft:gray_shulker_box
1	Hyp3rion_	488
2	Jackattack53	210
3	thewindmillman	81
4	Enderxz3	76
5	pintsizedrogue	71
6	oscminus	60
7	TheSecondLord	41
7	Kowcio_	41
9	500am	40
10	Mahoose	34
10	MightyWertu	34
12	Jimb0nat0r	27
13	Deathkob	24
14	mwrty	16
14	luseis	16
16	PlasticOtari	14
17	rarrq	11
18	claivin	9
18	Eraxa	9
20	beeperbeeper5	8
20	ConnorDanky_	8
22	RoskobiOne	7
22	Lez_	7
22	gcaisawesome	7
22	Buuck_	7
22	sp00ky_ghost977	7
27	crashomon	6
27	lordpipe	6
27	pixelviolin	6
30	Merv__	5
30	FirsTimeGamingTV	5
30	kekhon	5
33	Mr_Byzantine	4
33	EMC_	4
33	Inchef	4
33	Kakolbus	4
33	Bumpy419	4
33	_Karmaa	4
33	TheBananaKat	4
40	Apollo_993	3
40	Huwulling	3
40	joethahobo	3
40	QuiCreans	3
40	Auseawesome	3
40	fade_emerge78823	3
40	Rumpletaezer	3
40	hanaryheatwave	3
40	Krowuss	3
40	Akoot_	3
40	NameGenerat0r	3
40	YungMaki	3
40	Ezekson	3
53	dudcreeper	2
53	Alteriity	2
53	Gregward_Smith	2
53	Historical_Sand	2
53	SteveCraftBlocks	2
53	noam464	2
53	TheSeismicDuck	2
53	masskedman	2
53	StinkyDiplomat	2
53	SingedBread	2
53	ZoomieZoomie	2
53	DairyNickel756	2
53	Yamdalorian	2
66	AuroraValkyrie	1
66	teslawolf38	1
66	ExtraDumb	1
66	ssleepless	1
66	ImpavidArcher	1
66	TooManyDuck	1
66	Hpdinosaur	1
66	TAKrules	1
66	Ssor69	1
66	Euclidoris	1
66	titanlax	1
66	jushykins	1
66	poopybh	1
66	Fullut	1
66	Smashic	1
66	Awyrlas	1
66	surfinggiraffejp	1
66	Xalithia	1
66	CollinMH06	1
66	Marbz_	1
66	King_Pancake1	1
66	_8man	1
66	Eczbox	1
66	pappaberg	1
66	Donutt	1
66	Werbe	1
66	RobotMinion101	1
66	Mattesco	1
66	cedric72	1
66	IamCL4SSY	1
66	Inbefour	1
66	Tyrannosplart	1
66	Manaateee	1
66	MAns_44	1
66	pretty_pink_reno	1
66	Groundler	1
66	QuesoCrusaderIII	1
66	Spacewardharpy7	1
66	iSammael	1
66	OG_Songsee	1
66	Razzgriz	1
66	SvenskaHugo	1
66	Soplight	1
66	miramyu	1
66	Dogcorn69420	1
66	Eczbek	1
66	EngagedGrub41	1
66	Skippeh	1
66	taengoos	1
66	Iamthejo	1
66	Nicserso	1
66	jnp_gaming	1
66	Powowowow	1
66	vandmanden	1
66	JayToe	1
