rank	username	minecraft:crafted/minecraft:melon_seeds
1	Di_infiri	3260
2	eitanzaki	1659
3	Hyp3rion_	1341
4	noam464	1230
5	Deathkob	853
6	xxPipperDipperxx	805
7	q_wq	703
8	diggydog67	555
9	YungMaki	443
10	beeperbeeper5	398
11	Majonezzon	349
12	SpacesickPrism	329
13	HellsSponge	309
14	FreakGenius	282
15	PigDab	274
16	Blackberry1310	257
17	Blaiku	256
18	Inbefour	251
19	Fast_Turtle	243
20	Kakolbus	230
21	_stets	225
22	starbits140	220
23	The_slideV3	209
24	THEKINGLyric10	198
25	Lez_	195
26	Dan_Scha	192
27	kekhon	183
28	CoffeeNoir	176
29	slkiey	168
30	SaucyDark	156
31	Pofen	154
32	Fakiuss	144
33	UrbanPlanningEx	139
34	KarlKaek	137
35	m_be9	133
36	Hisiste	131
37	Marbz_	128
37	_8man	128
37	lillips	128
37	El_Jalapeno	128
37	Sral7	128
42	TheSeismicDuck	127
43	AdmiralSmoke	125
44	joethahobo	123
45	Comma__	122
46	luseis	117
47	TheSecondLord	112
48	Karetoko	110
49	Historical_Sand	102
50	OfficerAnvil	101
51	_Tilariel_	99
52	MyNameIsJobo	96
53	Rumpletaezer	92
54	Snowflowe	91
55	JayToe	90
56	Xalithia	86
56	Voxin2K	86
56	Dakar_	86
59	HesDemonPants	84
60	Katsuragi0243218	81
60	TechnoNinja64	81
60	Jimb0nat0r	81
63	nut_e	76
64	IamCL4SSY	71
65	HAruSAme14	70
66	Zoeyfortnite	66
67	MightyWertu	65
67	pixelviolin	65
69	TooManyDuck	64
69	RebelAndroid	64
69	Mahoose	64
69	AuroraSkies	64
69	Spacewardharpy7	64
69	sp00ky_ghost977	64
69	Kowcio_	64
69	TrollerYT	64
77	Eraxa	60
78	Sheldor097	59
79	thescout7	57
79	00000000-0000-0000-0009-01f1577a2913	57
81	pintsizedrogue	56
81	SlayerCrypto	56
81	Arceus1975	56
84	Cortexia	55
84	PegLegPete93	55
86	EngagedGrub41	53
87	PortlyPete69	51
88	Akoot_	50
89	shineh10	47
90	Russiancat1	45
91	theonlymagikarp	44
91	ItsAki_	44
93	Fullut	42
93	LordAurum	42
95	youhjjhhhjj	41
96	Killercatty78	40
97	cedric72	38
98	AuroraValkyrie	36
98	TheShyPig	36
98	Soplight	36
101	TAKrules	35
101	lizardfightclub	35
103	Bandito_Roamer	34
103	bbrothers_5	34
105	ROY4LE	33
106	RoskobiOne	32
106	ImpavidArcher	32
106	lia1337owo	32
106	platinumzero	32
106	seramalen	32
106	F_Uhre	32
106	Leyna3	32
106	ori0le	32
114	Hormones	31
114	thewindmillman	31
114	Klerick	31
114	FishisTTV	31
118	Legendosh	30
119	HollieDaNugget	29
120	Vorlice	28
121	Mr_Byzantine	27
121	StinkyDiplomat	27
123	IceYoung	25
123	Cocoamallows	25
125	BlueZabu	24
125	Warlord324	24
125	PabloGonza02	24
128	rotten_mango	23
128	Xclax101	23
128	Druid95	23
128	lilguppy	23
128	Nekomin0	23
128	Ezekson	23
134	Thaumatarge	22
134	ProfessorBee	22
134	SirPiccardo	22
137	ImNotYuqii	21
137	Incinere	21
137	UncreativeArtist	21
137	MustardDrinker	21
141	Bruh77	20
141	CalebDHawk	20
141	Haadrada	20
144	Maenara	19
144	ReflexCode	19
144	monky_irl	19
147	Ssor69	18
147	leaf26	18
147	Werbe	18
147	MonitorLizards	18
147	djancak	18
147	jnp_gaming	18
153	Tommhh	17
153	Motsaro	17
153	xFaiithyX	17
153	striker90333	17
157	John_Acacia	16
157	grislgrobl	16
157	stuy9	16
157	Joestra	16
157	lcvezra	16
157	RadarHz	16
163	rats_life	15
163	H0UNDFRMH3LL	15
163	DarkFisto	15
163	intropass	15
163	drunkeeez	15
163	HuangMeiHua	15
163	calamariclam_I	15
170	legal_tax_evader	14
170	WyngGoy	14
170	LeeMcGee30	14
173	Studyhallsaver	13
173	ooga47	13
173	KlausVonStiglitz	13
173	cichy096	13
177	Alexanderjac	12
177	Sleek_Storm_721	12
177	TheDankPlatypus	12
177	KillerNekoRain	12
177	Barlycorn	12
177	OkamiITA	12
177	stellarjay	12
184	dudcreeper	11
184	H72l9w	11
184	Koffeeinz	11
184	purpolepickle	11
184	Zythose	11
184	Toiton	11
184	Yoaty	11
184	Pickel_Lord	11
192	Gemstuff	10
192	SquadMonster	10
192	Whiterooster001	10
192	Zaridey	10
192	TheOnlyRake	10
197	KingFaenor	9
197	Hyugo	9
197	T045RTY	9
197	dopplexd	9
197	NarwhalTaco	9
197	oscminus	9
197	Manaateee	9
197	claivin	9
197	MirielThePastor	9
206	eiC_	8
206	nitram49b	8
206	Muffindrake	8
206	groofles	8
206	AlphaWolfPlaysMC	8
206	legoclone09	8
206	VillagerHuh	8
206	Luigipunch989	8
214	6king6colt6	7
214	wiqor	7
214	CrookedKaptain	7
214	corpsecity	7
214	thebaddruid	7
214	Blamphe	7
214	Typadopoulos	7
214	markaus77	7
214	SUN_DREAM	7
214	Quotary	7
224	123louis456	6
224	openatheclose	6
224	livingdaydreams	6
224	cheerytomato	6
224	CollinMH06	6
224	whoaluv	6
224	H_O_M_H	6
224	natajimi	6
224	33sudo	6
224	Jij0	6
224	Deguns123	6
235	The_Thund	5
235	FirsTimeGamingTV	5
235	AlejandroPH1	5
235	jacxhadow	5
235	Lumien_	5
235	BINKENSTOCK	5
235	Chromary	5
235	MadsNT	5
235	pappaberg	5
235	Deadlyy	5
235	EveryonesUncle	5
235	comjosh64	5
235	douwevh	5
235	07shiny	5
235	MrMeisterProper	5
250	funeralhome	4
250	rachcl	4
250	Guillemet	4
250	PlasmaElk	4
250	Kouridragon	4
250	Tyrannosplart	4
250	OffWithTheirHead	4
250	IvarEXE	4
250	bloomkieren	4
250	KingMatthew506	4
250	Skippeh	4
250	h2p_emrld	4
262	dabloons	3
262	Jackster03	3
262	Cryptacity	3
262	AngalexikCZ	3
262	AJplaysMC_	3
262	mobaEnjoyer	3
262	Kynigito	3
262	CarryLine	3
262	masskedman	3
262	aldplaysmc	3
262	fkGrim	3
262	Quaintster	3
262	Crumbls	3
262	halfbakedlasagna	3
262	nonarso	3
262	Rainaldus	3
262	Nicserso	3
262	xolstoi	3
280	Deu_Stew	2
280	jspwn	2
280	Auseawesome	2
280	LitoDelvito	2
280	ese_wn_po	2
280	JESS_THE_RERE	2
280	marumochis	2
280	_TCARREIRA_	2
280	SpaceTurtleOX	2
289	Groovy_MoonBird	1
289	Matemax	1
289	Lukeee33	1
289	NatrixxddxYT	1
289	Base_Tempest	1
289	MoistMicrowave	1
289	Cats_Fly	1
289	heckface	1
289	MattieHD	1
289	TheDiamondCG	1
289	ketaminmann	1
289	PvmkinPi3	1
