rank	username	minecraft:crafted/minecraft:raw_gold_block
1	thewindmillman	356
2	500am	321
3	lordpipe	256
4	TheBananaKat	244
5	TheSecondLord	212
6	luseis	205
7	pintsizedrogue	185
8	EMC_	184
9	corvidpartyfor6	183
10	Ezekson	173
11	gcaisawesome	164
12	PazinGaming	140
13	Kakolbus	130
14	Mahoose	100
15	diamondgolem35	80
15	Enderxz3	80
17	Rocco_Lane	69
17	groofles	69
19	Jimb0nat0r	67
20	_i_ERROR_i_	66
21	EngagedGrub41	64
22	Spacewardharpy7	57
23	royal_2	51
24	MuffinManzz	48
25	hanaryheatwave	47
26	calamariclam_I	46
27	Steelynan	45
28	Mr_Sun15	44
29	Myszoaz	43
30	QuiCreans	38
31	_Huge_Male_	37
31	SingedBread	37
33	DairyNickel756	35
33	Yamdalorian	35
35	Buuck_	32
35	hermmm_	32
37	j5ylim	31
38	Frigzy_	28
38	RebelAndroid	28
40	Kowcio_	27
41	XxCookiequeenxX	25
42	yulgur1	24
43	k_ce	23
43	doublemaki	23
43	SpacesickPrism	23
46	Crowman1	22
46	Manaateee	22
46	TheWickedBird	22
49	TAKrules	21
49	fffMike	21
49	PlasticOtari	21
52	_Nat666	20
52	pixelviolin	20
54	mymayowasgone	18
55	Iamthejo	17
56	Huwulling	16
56	dawerty	16
56	MattieHD	16
56	ZeroAbyssTTV	16
56	SlayerCrypto	16
56	Aakvaa	16
56	sp00ky_ghost977	16
56	AltnumberF4	16
64	Alex_Hansen	15
64	underscore_2	15
66	Sleepy_Evelyn	14
66	ROY4LE	14
66	DJzombiehunter	14
69	shineh10	13
69	Rebytre	13
71	Alteriity	12
71	Tersea_	12
71	prizm_	12
71	ApophisNova	12
71	MyNamaSheff	12
76	Mr_Byzantine	11
76	powercas_gamer	11
76	beeperbeeper5	11
79	12Magner05	10
79	Dakar_	10
79	iSammael	10
82	BPTY4618	9
82	Soplight	9
84	q_wq	8
84	Flores991	8
84	Sleepy_Time_	8
84	Samificator	8
84	Avocadogerms	8
84	es0th	8
90	RatatJuice	7
90	SvenskaHugo	7
90	starbits140	7
90	robonya_	7
94	MAns_44	6
95	hcb238	5
95	craaaash	5
97	Ssor69	4
97	Hetti301	4
97	shadowthemonkey	4
97	Krowuss	4
97	oscminus	4
97	cuddlyMonster	4
97	Cache3	4
97	TheOuterCore	4
105	SpartanNamor	3
105	CLG_Kata	3
105	drunkeeez	3
105	ConJaBz	3
105	ZeaBaron	3
105	brofrickcheaters	3
111	HUNTERmaun	2
111	PaperCanvas	2
111	TJawesome09	2
114	Napoleonpancake	1
114	nattybears	1
114	Rani_R	1
114	fw3xy	1
114	mobunni	1
114	smogfrog	1
114	Legendosh	1
