rank	username	minecraft:crafted/minecraft:deepslate_tile_wall
1	thewindmillman	1029
2	00000000-0000-0000-0009-01ff0c3e5e4f	756
3	Jackattack53	192
4	EMC_	156
5	ImpavidArcher	128
6	Steelynan	80
7	joethahobo	66
8	PigDab	54
9	mihimihimihi	48
10	iSammael	42
11	500am	32
12	Ezekson	28
13	ZoomieZoomie	24
14	Smoke____	22
15	pintsizedrogue	19
16	rarrq	13
17	teslawolf38	12
18	UCP_TheKingK	10
19	SpacesickPrism	6
19	mobunni	6
19	Jimb0nat0r	6
22	Hyp3rion_	4
23	beeperbeeper5	2
23	Soplight	2
25	Mattesco	1
25	fluddd	1
25	CalebDHawk	1
