rank	username	minecraft:crafted/minecraft:dandelion_yellow
1	LilLizardWizard	32
2	sufjanlover	14
2	tompup	14
4	GingerNeutron	13
5	ashetrays	7
6	NormanFetus	3
7	Whalezz	2
