rank	username	minecraft:crafted/minecraft:jack_o_lantern
1	noam464	1237
2	Lord_Jord	512
3	HellsSponge	433
4	Spacewardharpy7	423
5	MyNameIsJobo	383
6	Soplight	291
7	openatheclose	213
8	Deathkob	210
9	XxCookiequeenxX	182
10	Akoot_	175
11	Di_infiri	173
12	ApophisNova	158
12	MyNamaSheff	158
14	CrateOfBoxes	151
15	Jackattack53	141
16	Mewar	134
17	SSytex_X	128
18	mariominejedi	119
19	fluddd	108
20	ComplexSquirrel	95
21	Maenara	75
22	jacxhadow	72
23	eitanzaki	68
24	Lowjinx	66
25	SellyZ	65
26	_Virify_	64
26	Historical_Sand	64
26	thewindmillman	64
26	_Bguette_	64
26	lillips	64
26	fffMike	64
32	KarlKaek	63
33	lordpipe	61
34	Blackberry1310	58
35	djancak	49
36	Ailmast	46
36	The_slideV3	46
38	pintsizedrogue	45
38	burbankbuilder28	45
40	cog	42
40	Smoke____	42
42	beeperbeeper5	41
43	TheSecondLord	40
44	Apicomplexa	39
45	rarrq	38
46	fkGrim	36
47	BumbleBeever	34
48	SammiWolfGirl	33
49	Paintz	32
50	oreee	31
51	500am	30
51	The_SlideV5	30
53	lcvezra	28
54	MyNameIsDakar	27
55	teslawolf38	26
56	Mahoose	23
56	2blox	23
58	TheShyPig	20
58	Nycteus_	20
60	Onennon	19
60	DTwenty	19
62	Zaridey	18
63	jushykins	17
63	kekhon	17
65	slkiey	16
65	Cocoamallows	16
67	stellarjay	15
67	EcksDofficial	15
69	Rumpletaezer	14
70	TechnoNinja64	12
71	diamondgolem35	10
71	NameGenerat0r	10
73	12Magner05	9
73	ItsAki_	9
73	Groundler	9
73	NotMeowMix	9
77	_Dean_123	8
77	Jonte0599	8
79	roxycherry	7
79	CharlieButt	7
79	DarlaMeow	7
79	Jij0	7
83	BlancoFlaco	6
83	lilsay	6
83	MindyDooWho	6
83	RobotMinion101	6
83	07shiny	6
83	PlasticOtari	6
89	Luigipunch989	4
90	Tommhh	3
90	Airem_Core	3
90	Dusk_95	3
90	Kowcio_	3
94	joethahobo	2
94	H72l9w	2
94	heckface	2
94	TinMaster	2
94	bloodbiter	2
94	DermeinUser	2
94	loveseeker	2
94	thgrocks	2
94	Blu3beast	2
94	jnp_gaming	2
104	hollowww	1
104	BigBootyHudge	1
104	Merv__	1
104	RatatJuice	1
104	Incinere	1
104	Swexti	1
104	Ssor69	1
104	Fullut	1
104	2Stout	1
104	UncleDanDan	1
104	Windo_licker	1
104	CarltheCuck	1
104	_Boipl_	1
104	Bumpy419	1
104	Werbe	1
104	claivin	1
104	AssEatrAndLicker	1
104	RedcatVII	1
104	Vorlice	1
104	Spenduh	1
104	Njensen7	1
104	cichy096	1
104	_AAZAR	1
104	HesDemonPants	1
104	Oxygen16	1
