rank	username	minecraft:crafted/minecraft:coal_block
1	Spacewardharpy7	40878
2	thewindmillman	23713
3	pintsizedrogue	11732
4	Blaiku	7514
5	noam464	7475
6	gcaisawesome	5854
7	joethahobo	5420
8	TheShyPig	5066
9	EMC_	4808
10	Enderxz3	4605
11	Werbe	4544
12	EcksD	3800
13	livingdaydreams	3442
14	HellsSponge	3281
15	Frozil20	3039
16	Di_infiri	2946
17	Iamthejo	2546
18	yulgur1	2449
19	Akoot_	1990
20	mwrty	1944
21	Yamdalorian	1898
22	Mewar	1854
23	Snowflowe	1848
24	PhantomsGhost_	1807
25	masskedman	1696
26	vandmanden	1687
27	kekhon	1670
28	Hyp3rion_	1642
29	Zythose	1579
30	Ecplosive	1515
31	12Magner05	1444
32	m_be9	1439
33	Kakolbus	1423
34	T045RTY	1371
35	FreakGenius	1257
36	HelloIamSora	1244
37	TheBananaKat	1224
38	Njensen7	1215
39	q_wq	1200
40	royal_2	1121
41	EveryonesUncle	1108
42	corvidpartyfor6	1097
43	BobDeBouwer1337	1088
44	El_Jalapeno	1080
45	Inbefour	1066
46	ConnorDanky_	1053
47	MyNameIsJobo	1036
48	ROY4LE	995
49	luseis	946
50	TheBiggestFeller	938
51	Cocoamallows	926
52	500am	909
53	Bumpy419	886
54	Legendosh	885
55	Bandito_Roamer	879
56	TheThomas69	874
57	Jimi7hits	829
58	eviltunix	805
59	Malorn_Aetherius	801
60	rarrq	789
61	Ezekson	782
62	PigDab	773
63	Toriankel	764
64	_i_ERROR_i_	762
65	Lutres_	738
66	Xclax101	707
67	Studio4x32	702
68	lordpipe	689
69	SkateboardR6	685
70	sp00ky_ghost977	666
71	Ryan_GEMS	659
72	beeperbeeper5	650
73	Fullut	637
74	G1ldor	632
75	Cowison	628
76	Vizzoid	582
76	MightyWertu	582
78	Mr_Byzantine	575
79	hanaryheatwave	566
80	Z3braYTIL	556
81	slkiey	553
82	Airem_Core	548
83	NoChumpChange	540
84	Rumpletaezer	539
85	Awyrlas	536
86	SSytex_X	535
87	bigstankyy	534
87	Flores991	534
89	WyngGoy	520
90	MattieHD	497
91	_TCARREIRA_	495
91	_3Stump_	495
93	SingedBread	489
94	Vetral1	473
95	Razzgriz	469
96	TheSeismicDuck	468
97	AuroraValkyrie	465
98	Houstonion	452
99	FelixPSY375	447
100	Lukeee33	446
101	yuuxxii	445
102	SvenskaHugo	435
103	doublemaki	434
104	censorsheep	427
105	__Fanda__	424
106	Onennon	423
107	Myszoaz	422
108	Skylord_Luke	413
108	PlasticOtari	413
110	SuperPooch06	412
110	tobinwilliams	412
110	wezzzi	412
113	Groundler	410
114	fffMike	409
115	Nicserso	404
116	Decaying_Lotus	399
117	Soplight	398
117	EngagedGrub41	398
119	IamCL4SSY	396
120	PegLegPete93	394
121	SpacesickPrism	390
122	SammiWolfGirl	388
123	shineh10	385
123	thescout7	385
123	yheece	385
123	jnp_gaming	385
127	ApophisNova	375
127	MyNamaSheff	375
129	MAns_44	371
130	fade_emerge78823	360
131	Blackberry1310	357
132	Factoroni	352
133	ooga47	345
134	F_Uhre	339
135	GoofyBread	337
136	_Nuf	336
136	toj__	336
138	ElectricDragon81	328
139	UncreativeArtist	320
140	Soul_Atreus	319
141	Crowman1	317
141	valkam13	317
143	set67	316
144	Vanni9	315
145	robertsnose	308
146	Fuhrer_Teemo	306
146	underscore_2	306
148	platinumzero	301
149	Tolhart	297
150	Giannism	296
151	Voxin2K	290
152	Valoth	288
153	NotMyLucKMC	287
154	balin55	286
155	Comma__	281
156	TooManyDuck	279
157	Arceus1975	276
158	ShedJr_	272
159	MustaLoordi	271
160	DaviusMaximoose	270
161	Paint	266
161	SlayerCrypto	266
163	starbits140	262
164	Reamdin	261
164	ImDisconnected_	261
164	audiocracked	261
164	DanTheBuilderino	261
168	TheOnlyRake	259
169	teslawolf38	258
169	Maenara	258
169	DemTechAlpha	258
172	MakeHistory157	257
173	Kim_Jong_eel	256
174	4774	254
175	gary_	250
176	lumiscosity	249
177	Quincannon	248
177	RadarHz	248
179	Zedducius	245
179	RefluxRatio	245
181	hcb238	243
182	Sleepy_Evelyn	238
182	Rocco_Lane	238
184	Megarboh	236
185	Soap_Bender	235
186	powercas_gamer	234
186	theonlymagikarp	234
188	301851	230
189	Pofen	229
190	Lord_Jord	228
191	fanofbands101	227
191	07shiny	227
193	Gregward_Smith	224
194	AlphaWolfPlaysMC	213
195	AvaRosey	212
196	CaptainDeadBread	210
197	miramyu	206
198	NatalieTW	204
198	Jonafrog99	204
200	Racengan	203
201	Juansinmiedo18	200
202	fw3xy	199
203	Mahoose	198
204	KGTV	197
205	bloomkieren	192
206	CornOnTheCobalt	189
207	DisgruntledKoala	186
207	Steelynan	186
209	h2p_emrld	185
210	AstreaTSS	184
210	Avocadogerms	184
212	lorywithay	183
212	Afinnity	183
214	CoryJJ	182
215	diamondgolem35	181
215	taengoos	181
217	OverallConcept	180
217	_flud	180
217	CacheOut	180
217	Eraxa	180
221	CLG_Kata	178
222	MilleGrug	175
223	Sleek_Storm_721	174
224	soundad	172
225	King_Pancake1	171
226	Deathkob	167
227	pixelviolin	166
228	Jovaphobic	165
228	BlankityMcBlank	165
230	Smiguli_	161
231	Manaateee	160
232	Shogunite	158
233	MinttyFressh	156
234	dedgt	154
235	Froste131	153
235	ItsJunoIGuess	153
237	OfficerAnvil	152
238	Donutt	151
238	Drewen24	151
240	Kowcio_	150
241	bananowySigma	148
242	bloodbiter	145
243	ssleepless	144
243	Kouridragon	144
243	Powowowow	144
243	Yahrto	144
247	Inchef	142
247	r123moore	142
247	SUN_DREAM	142
247	hermmm_	142
251	CliffEmAll	141
251	Leyna3	141
251	fkGrim	141
254	SpaceGrenadier	139
255	Wooptey	138
255	Rani_R	138
257	Invisie	137
258	AlexxO_o	136
258	smogfrogg	136
260	TheSecondLord	135
261	Euclidoris	134
262	FirsTimeGamingTV	132
263	surfinggiraffejp	131
264	Jackster03	130
264	Hanselhoof	130
266	Groovy_MoonBird	129
266	ClemenPine	129
266	cytotoxaint	129
269	wx4z	126
269	Eczbek	126
271	ori0le	125
272	Kyrum2169	124
273	ReSynced	123
273	Skippeh	123
275	M_Patata	122
275	MasterNueve	122
277	Humpcat	121
278	philandr	120
279	YinToYin	119
280	openatheclose	118
280	fr0stss	118
280	legal_tax_evader	118
280	KliBeast21	118
284	Stynxy	117
284	Gus2005	117
284	mihimihimihi	117
287	kubinek69	115
288	LexMakesHistory	114
289	DennyKai	113
290	Empresario	112
291	Hoid_the_Roamer	111
292	Gab4101	110
292	Dogcorn69420	110
294	poopybh	109
294	lizardfightclub	109
294	wobn	109
297	djancak	108
297	mawileite	108
299	Iagoku	107
299	Hyugo	107
