rank	username	minecraft:crafted/minecraft:slime_ball
1	joethahobo	35928
2	noam464	21219
3	Hyp3rion_	7587
4	TheShyPig	6640
5	Di_infiri	6336
6	HellsSponge	5682
7	Ezekson	5214
8	MightyWertu	4698
9	EcksD	4203
10	Jackattack53	4152
11	Spacewardharpy7	3798
12	Freak_Genius	3549
13	YungMaki	3117
14	gcaisawesome	2876
15	eitanzaki	2313
16	thewindmillman	2206
17	thescout7	2054
18	Njensen7	1881
19	PigDab	1654
20	ZeroKraken	1611
21	Werbe	1233
22	PlasticOtari	1026
23	pintsizedrogue	1017
24	Blaiku	977
25	Smoke____	954
26	Groundler	908
27	Segotep999	882
28	Lord_Jord	847
29	Alteriity	747
30	mwrty	684
31	AuroraValkyrie	666
32	lordpipe	648
33	beeperbeeper5	639
33	gabriels543	639
35	ProfessorBee	630
36	MyNameIsJobo	576
37	Awyrlas	555
38	Mewar	513
39	livingdaydreams	441
40	EMC_	405
40	ApophisNova	405
40	MyNamaSheff	405
43	Eraxa	360
44	eviltunix	333
45	Marbz_	324
46	vandmanden	315
46	FishisTTV	315
48	Sleepy_Time_	306
49	Smashic	297
49	jnp_gaming	297
49	TechnoNinja64	297
52	Prismyst	288
52	Historical_Sand	288
52	TheThomas69	288
52	ToastedGamingYT	288
56	Maenara	225
56	Aangezet	225
58	_Nuf	208
59	Winklepicker279	189
60	MangoTheFish	180
60	FreddyFart	180
60	Eczbek	180
63	Sral7	164
64	tuckerdoodle	153
65	Jackywho	144
65	T045RTY	144
67	500am	137
68	Kakolbus	135
69	Nicky_H225	126
70	_Dean_123	124
71	The11thDoctor	117
71	AlexxO_o	117
73	Fuad_R	108
74	Snowflowe	99
74	KartivGal	99
74	lillips	99
74	PortlyPete69	99
74	Dreamdbr14	99
79	egglapras	91
79	Soplight	91
79	2blox	91
82	Luminad3	90
82	Hisiste	90
82	ediballbearings	90
82	obzii	90
82	KingMatthew506	90
87	TheTrueClipse	81
87	SkateboardR6	81
89	WyngGoy	72
90	LotusProject	63
90	xxPipperDipperxx	63
90	RobotMinion101	63
90	chipklip	63
90	BumbleBeever	63
90	cichy096	63
90	Powowowow	63
97	bloodbiter	54
97	Inchef	54
97	Arceus1975	54
97	DTwenty	54
97	Frozil12	54
97	SvenskaHugo	54
97	non089	54
104	awesomeoneme	45
104	mariominejedi	45
104	claivin	45
107	Drlzyy	36
107	domagawha	36
107	Kouridragon	36
107	Wowful	36
107	Dogcorn69420	36
107	MilleGrug	36
107	oxfordschool	36
107	kinas45y5	36
115	TheSecondLord	27
115	MinttyFressh	27
115	SellyZ	27
115	eiC_	27
115	Solar_Power	27
115	Soap_Bender	27
115	Blu3beast	27
115	fluddd	27
115	djancak	27
115	Quotary	27
125	Mahoose	23
126	Jiminie	19
127	Sleek_Storm_721	18
127	Nesquiczek	18
127	ImpavidArcher	18
127	SaucyDark	18
127	RebelAndroid	18
127	NieToksikpl	18
127	Blackberry1310	18
127	12Magner05	18
127	Ardennes	18
127	Megarboh	18
127	r123moore	18
127	benediktine1	18
127	Zythose	18
127	andy_rex	18
127	SokaOtaku	18
127	Rebytre	18
127	fred870d	18
127	HolyVenom	18
127	godipose	18
127	censorsheep	18
127	starbits140	18
127	GlitchyPlate810	18
127	fffMike	18
127	Kubeusz2010	18
127	Weepingbiel	18
152	ssleepless	10
153	Jovaphobic	9
153	_Virify_	9
153	The_Thund	9
153	soundad	9
153	q_wq	9
153	Houstonion	9
153	MSK__	9
153	H72l9w	9
153	fr0stss	9
153	SquadMonster	9
153	Notta	9
153	xPixelRainx	9
153	Boboczus	9
153	kekhon	9
153	Fullut	9
153	Kkanot	9
153	PegLegPete93	9
153	SharpDev	9
153	Hiryu27	9
153	bee_gorl	9
153	Jimi7hits	9
153	Leyna3	9
153	Sky_light_KING	9
153	ese_wn_po	9
153	Deathkob	9
153	The_slideV3	9
153	DanTheBuilderino	9
153	iHuntWeeaboos	9
153	MustaLoordi	9
153	GravitySaint	9
153	ProfessorDiaper	9
153	Warlord324	9
153	mihimihimihi	9
153	Lord_Doob	9
153	sp00ky_ghost977	9
153	kyouma777	9
153	sadvavilloso	9
153	__tomato	9
153	Luigipunch989	9
153	jcool7	9
153	Nicserso	9
153	FelixPSY375	9
153	little_dUki	9
153	HesDemonPants	9
153	adiccting01	9
153	EcksDofficial	9
153	calamariclam_I	9
153	diggydog67	9
201	sufjanlover	5
