rank	username	minecraft:crafted/minecraft:nether_brick_wall
1	BobDeBouwer1337	1284
2	Kakolbus	354
3	TheBiggestFeller	234
4	PigDab	177
5	HellsSponge	153
6	Kynigito	138
7	DermeinUser	126
8	kekhon	102
9	TheShyPig	96
10	m_be9	84
10	Bumpy419	84
10	yulgur1	84
13	r123moore	66
13	Smoke____	66
15	mwrty	60
15	Eraxa	60
17	Merv__	54
18	burbankbuilder28	48
19	Bandito_Roamer	42
19	eitanzaki	42
19	Maenara	42
19	Biites	42
23	beeperbeeper5	39
24	jacxhadow	30
24	noam464	30
24	FlashMigma	30
24	MrMeisterProper	30
28	Frozil20	24
28	Dooinfe	24
28	FreakGenius	24
28	xolstoi	24
32	Cowison	18
32	joethahobo	18
32	RoofTyler	18
35	pintsizedrogue	16
36	teslawolf38	12
36	Reamdin	12
36	2Stout	12
36	xxPipperDipperxx	12
36	Chromary	12
36	lordpipe	12
36	TheEnderMan548	12
43	PlasticOtari	10
44	luseis	7
45	Mr_Byzantine	6
45	Incinere	6
45	rarrq	6
45	ciemacigans	6
45	MyNameIsJobo	6
45	Felenov	6
45	EngagedGrub41	6
52	Mahoose	3
53	SuperPooch06	2
53	Zythose	2
55	Kowcio_	1
