rank	username	minecraft:crafted/minecraft:stone_slab
1	Frozil20	61445
2	Di_infiri	49548
3	noam464	45717
4	joethahobo	44728
5	Blaiku	38187
6	Spacewardharpy7	32646
7	eitanzaki	27773
8	EcksD	15710
9	ColeSnyder	12570
10	thescout7	10948
11	Werbe	10924
12	Skippeh	9276
13	Miko_Fullbuster	8386
14	gcaisawesome	8248
15	Sheldor097	6908
16	Menthas	6666
17	Hyp3rion_	6500
18	PigDab	5336
19	Blu3beast	4536
20	TheShyPig	4474
21	thewindmillman	4356
22	stavgod	4330
23	PhantomsGhost_	4218
24	Eczbek	4188
25	Dedalus36	3836
26	Historical_Sand	3468
27	PortlyPete69	3276
28	abramgray	3114
29	Eraxa	2796
30	vandmanden	2687
31	m_be9	2360
32	EMC_	2268
33	CoffeeNoir	2170
34	Mahoose	2134
35	Quaintster	2088
36	BumbleBeever	2046
37	MangoTheFish	2018
38	DTwenty	1962
39	Fuad_R	1958
40	fw3xywashere	1920
41	iHuntWeeaboos	1764
42	Jovaphobic	1758
43	2blox	1650
44	mariominejedi	1632
45	KnightmareD	1606
46	jiggywraps	1344
47	YungMaki	1296
48	MustaLoordi	1280
49	Jackattack53	1272
50	jcool7	1232
51	Enderslayerxz3	1212
52	JESS_THE_RERE	1164
53	Rasmanden	1152
54	Swexti	1026
55	ImpavidArcher	1002
56	Jimi7hits	960
57	pintsizedrogue	896
58	Fullut	851
59	emrekn	774
59	CrateOfBoxes	774
61	r123moore	770
62	Racengan	762
63	Soplight	754
64	ApophisNova	738
64	radioactv_jelly	738
64	MyNamaSheff	738
67	Hermanni__	726
68	fluddd	702
69	T045RTY	648
69	Freak_Genius	648
71	theonlymagikarp	618
72	Chromary	600
73	WyngGoy	540
74	__tomato	534
75	Ssor69	522
76	ssleepless	516
77	stellarjay	508
78	SammiWolfGirl	506
79	The_slideV3	474
80	GravitySaint	472
81	kinas45y5	468
82	Merv__	454
83	burbankbuilder28	450
84	EveryonesUncle	438
85	Arceus1975	396
86	XboxPanda	391
87	TooManyDuck	390
87	drunkeeez	390
87	cedric72	390
87	Typadopoulos	390
91	jnp_gaming	386
91	Zoeyfortnite	386
93	mihimihimihi	380
94	I_Am_Mushkin	378
95	Windo_licker	366
96	Bumpy419	360
96	wwwwinnebagoooo	360
98	_stets	332
99	rarrq	330
99	TheTrueClipse	330
99	pipejob	330
102	PlasticOtari	316
103	Kyrum2169	312
104	Smoke____	308
105	Shiirazuku	306
105	wobn	306
107	Kynigito	300
108	CrookedKaptain	288
109	TheSecondLord	276
109	fffMike	276
111	RoskobiOne	270
111	AlazelTheReal	270
113	ItsColin11	258
113	TheWildMateo	258
113	MyNameIsDakar	258
116	selectrix	252
116	FishyBoy3811	252
116	Lord_Jord	252
116	AltnumberF4	252
120	0nly_sn1per	250
121	valiSW	246
122	xxPipperDipperxx	242
123	Skylord_Luke	240
124	kiluaemc	216
124	NameGenerat0r	216
126	500am	206
127	Kakolbus	204
128	Inchef	192
128	eiC_	192
128	avalan64	192
131	4383	186
131	stuy9	186
131	Steelynan	186
134	Covalents	180
134	Winklepicker279	180
136	Kubelz	178
137	Jiminie	176
138	titanlax	174
138	Fildyr	174
140	MilleGrug	168
141	zylanzagreat	162
141	StinkyDiplomat	162
143	RadarHz	158
144	dimondking777	156
144	BlueZabu	156
144	Fuhrer_Teemo	156
147	RebelAndroid	152
148	Incinere	150
148	ivorico	150
150	NieToksikpl	144
150	loveseeker	144
150	andy_rex	144
150	EcksDofficial	144
154	Kubeusz2010	142
155	SaucyDark	138
155	IforgotCS_Source	138
155	fred870d	138
155	Syropatathe	138
155	Deathkob	138
155	Dusk_95	138
155	Winston_Ingram	138
162	Cocoamallows	136
163	Wooptey	132
163	ProfessorBee	132
163	Shogunite	132
163	censorsheep	132
163	Shin69	132
168	_Karmaa	130
169	hollowww	126
169	Prismyst	126
169	jessewegottacook	126
