rank	username	minecraft:crafted/minecraft:warped_pressure_plate
1	thewindmillman	80405
2	EcksD	128
3	noam464	64
3	Hyp3rion_	64
5	beeperbeeper5	42
6	Legendosh	15
7	joethahobo	12
8	Spacewardharpy7	10
9	Apollo_993	8
10	Lez_	7
11	HellsSponge	6
11	Enderxz3	6
11	Smoke____	6
14	Sleepy_Time_	5
15	MyNameIsDakar	4
15	brofrickcheaters	4
17	TheSecondLord	3
18	Merv__	2
18	Jonafrog99	2
18	RoofTyler	2
18	iSammael	2
22	EMC_	1
22	Awyrlas	1
22	gcaisawesome	1
22	Decaying_Lotus	1
22	YungMaki	1
22	Soplight	1
22	ConnorDanky_	1
