rank	username	minecraft:crafted/minecraft:birch_pressure_plate
1	500am	556
2	Hyp3rion_	356
3	Mahoose	95
4	TheKingK_	81
5	joethahobo	76
6	noam464	74
7	TheShyPig	65
8	Werbe	64
8	Kowcio_	64
10	KarlKaek	57
11	beeperbeeper5	44
12	BumbleBeever	36
13	Kakolbus	32
13	Mr_Sun15	32
13	Mr_Teddiursa_K	32
13	MelodyGaysharks	32
17	cichy096	24
18	Lez_	22
18	TheSecondLord	22
20	diamondgolem35	18
21	titanlax	17
21	Fullut	17
21	Inchef	17
24	El_Jalapeno	16
25	TheWickedBird	15
26	mwrty	13
27	Mr_Byzantine	12
28	Cellcorgi649	10
28	MyNameIsJobo	10
28	IAmTheWalrus910	10
31	Ezekson	9
32	pintsizedrogue	8
32	crying_wolf_13	8
32	DermeinUser	8
32	SuperPooch06	8
32	Snowflowe	8
32	Groundler	8
38	thescout7	7
38	Soplight	7
38	AltnumberF4	7
41	Tommhh	6
41	EMC_	6
41	Hydro___________	6
41	EveryonesUncle	6
41	HellsSponge	6
41	FreakGenius	6
41	Optiprimus	6
41	YungMaki	6
41	DkansK	6
50	Niklas20114552	5
50	Blackberry1310	5
50	pixelviolin	5
53	Sleek_Storm_721	4
53	SOA1RR	4
53	CoffeeNoir	4
53	RebytreGT	4
53	Btabtab	4
53	EcksD	4
59	Merv__	3
59	Ryan_GEMS	3
59	ShedJr_	3
59	xPixelRainx	3
59	kekhon	3
59	SteveCraftBlocks	3
59	Dali1465	3
59	thewindmillman	3
59	ADEXTV	3
59	Gryglu583	3
59	KlausVonStiglitz	3
59	CattSoup	3
59	PlasticOtari	3
72	dudcreeper	2
72	PizzaJake	2
72	Yatitay	2
72	jimintyy	2
72	T045RTY	2
72	ryan521	2
72	QuiCreans	2
72	heckface	2
72	SoftSix	2
72	_Dean_123	2
72	Jokerman369	2
72	cyrusisntgay	2
72	stopfive	2
72	ZeroAbyssTTV	2
72	moist_jellyfish	2
72	legal_tax_evader	2
72	Malware_Mara	2
72	LunarRedPanda	2
72	Arceus1975	2
72	Zythose	2
72	The11thDoctor	2
72	F_Uhre	2
72	Mattesco	2
72	spellmre	2
72	Samificator	2
72	Y_A_N_N_I	2
72	IamCL4SSY	2
72	KermitTheKripple	2
72	Fuad_R	2
72	kalzor	2
72	Blu3beast	2
72	SvenskaHugo	2
72	ReyTheLegend	2
72	Pumpkin_P_Patch	2
72	BlankityMcBlank	2
72	djancak	2
72	ediballbearings	2
72	c0la_c0ca	2
72	DennyKai	2
72	Nargotah	2
72	elliebelle107	2
72	taengoos	2
72	Nicserso	2
72	HesDemonPants	2
72	Yamdalorian	2
117	PhantomsGhost_	1
117	EKUG	1
117	myaccountwasgone	1
117	ImpavidArcher	1
117	Wooptey	1
117	livingdaydreams	1
117	VDVKmdr_2k04	1
117	Hormones	1
117	rarrq	1
117	corvidpartyfor6	1
117	TheDiamondCG	1
117	excelsionprime	1
117	UncreativeArtist	1
117	NotMeanttoChange	1
117	Motsaro	1
117	xxPipperDipperxx	1
117	TableTim	1
117	Jackattack53	1
117	Bumpy419	1
117	RobotMinion101	1
117	Cruncy_	1
117	Onennon	1
117	jewbacaman	1
117	KeruNatsema	1
117	Elastiq	1
117	Akoot_	1
117	AlexChristian	1
117	LexMakesHistory	1
117	The_Quack_Dealer	1
117	Manaateee	1
117	fluddd	1
117	Spacewardharpy7	1
117	monky_irl	1
117	radioactv_jelly	1
117	Shin69	1
117	MustardSquid	1
117	ItsJunoIGuess	1
117	KingMatthew506	1
117	ConnorDanky_	1
117	KamFurnace	1
117	skitzxo	1
