rank	username	minecraft:crafted/minecraft:brown_carpet
1	YungMaki	9584
2	noam464	5772
3	bigstankyy	5567
4	CattSoup	2112
5	Lez_	1990
6	crashomon	1878
7	skitzxo	1704
8	Quaintster	1679
9	heckface	1536
10	Rumpletaezer	1401
11	Crowman1	1248
12	joethahobo	1221
13	Huwulling	1197
14	QuiCreans	864
15	ConnorDanky_	706
16	thewindmillman	672
17	Kowcio_	639
18	beeperbeeper5	623
19	kekhon	579
20	KingMatthew506	432
21	Enderxz3	402
22	EMC_	384
23	Groundler	354
24	Spacewardharpy7	342
25	ApophisNova	339
25	MyNamaSheff	339
27	OreTheBear	288
28	HellsSponge	284
29	PlzNoBM	279
30	_Huge_Male_	258
31	ClemenPine	255
32	bl1ss0	252
33	Mahoose	243
34	rarrq	198
35	EcksD	195
36	PazinGaming	192
36	Merv__	192
36	Yamdalorian	192
39	pintsizedrogue	165
40	Buuck_	162
40	PlasticOtari	162
42	oreee	159
43	500am	153
43	fragrantmonke444	153
45	NomadicRobin_	147
46	pretty_pink_reno	146
47	emreknugrlu	144
48	ZoomieZoomie	138
49	Snowflowe	135
50	Gzrdy	129
51	selectrix	108
51	Legendosh	108
53	TheSecondLord	105
53	FreakGenius	105
55	CoffeeNoir	104
56	eitanzaki	96
56	Akoot_	96
56	ogoa	96
56	bpmm	96
60	Ryan_GEMS	93
61	RebelAndroid	84
62	Niklas20114552	81
63	xxPipperDipperxx	80
64	Cocoamallows	66
65	Lord_Jord	63
66	jnp_gaming	54
67	burbankbuilder28	51
68	Di_infiri	48
68	Mattesco	48
68	CalebDHawk	48
68	TechnoNinja64	48
72	Inbefour	45
73	SpaceGrenadier	36
74	Historical_Sand	33
74	BronkerBrum	33
74	Y_A_N_N_I	33
77	SvenskaHugo	30
78	Manaateee	27
79	Wowful	23
80	M_Patata	21
80	prizm_	21
80	Onennon	21
80	MasterNueve	21
84	blackeemperor	18
84	Blaiku	18
86	Mr_Byzantine	15
86	Tersea_	15
86	Fullut	15
86	FishyBoy3811	15
86	Deathkob	15
91	pixelviolin	12
91	Ezekson	12
93	titanlax	11
94	Blackberry1310	9
94	Chromary	9
94	RebytreGT	9
94	IamCL4SSY	9
94	Racengan	9
94	Kubeusz2010	9
100	ImNotYuqii	6
100	imcombxt	6
100	EveryonesUncle	6
100	luseis	6
100	Avocadogerms	6
100	Pumpkin_P_Patch	6
106	MoistMicrowave	5
107	myaccountwasgone	3
107	Cryptacity	3
107	Hyp3rion_	3
107	cedric72	3
107	miramyu	3
107	hermmm_	3
107	TheWickedBird	3
