rank	username	minecraft:crafted/minecraft:blue_dye
1	thewindmillman	253297
2	noam464	29863
3	oxfordschool	19843
4	beeperbeeper5	10221
5	Hyp3rion_	8471
6	YungMaki	7675
7	Marbz_	6079
8	Huwulling	6010
9	PlasticOtari	3719
10	joethahobo	3694
11	lordpipe	3350
12	Spacewardharpy7	3337
13	Inbefour	3057
14	MilleGrug	2777
15	Blu3beast	2444
16	TheSecondLord	2393
17	SteveCraftBlocks	2309
18	Jackattack53	2294
19	pintsizedrogue	2249
20	DarlaMeow	2188
21	Rumpletaezer	1972
22	EMC_	1952
23	ApophisNova	1930
23	MyNamaSheff	1930
25	Steelynan	1800
26	mwrty	1747
27	Merv__	1660
28	Smoke____	1402
29	Zythose	1331
30	Di_infiri	1295
31	kekhon	1254
32	EveryonesUncle	1114
33	Ezekson	1027
34	TheShyPig	1021
35	Frozil20	970
36	_Dean_123	906
37	Snowflowe	888
38	RoboTramp7865	807
39	Njensen7	751
40	xxPipperDipperxx	745
41	Syropatathe	733
42	rarrq	729
43	Jiminie	701
44	PeteO1995	695
45	500am	690
46	WyngGoy	666
47	Hiryu27	626
48	sp00ky_ghost977	625
49	EcksD	621
50	00000000-0000-0000-0009-01ff0c3e5e4f	615
51	NomadicRobin_	585
52	cog	576
53	Awyrlas	559
53	_Karmaa	559
55	HellsSponge	550
56	Mahoose	524
57	AltnumberF4	513
58	lillips	510
59	ssleepless	509
60	TechnoNinja64	463
61	Enderslayerxz3	462
62	Sral7	460
63	audiocracked	459
64	Werbe	451
64	tartanboy	451
66	Franco093	425
66	Fullut	425
68	diamondgolem35	397
69	Groovy_MoonBird	389
70	cedric72	385
71	teslawolf38	384
72	Bandito_Roamer	365
73	Legendosh	358
74	XxCookiequeenxX	344
75	Xclax101	342
76	r123moore	336
77	MakeHistory157	335
78	PhantomsGhost_	328
78	SokaOtaku	328
80	Skippeh	325
81	MousePlays	320
81	EngagedGrub41	320
83	loveseeker	311
84	Blackberry1310	310
85	Kakolbus	306
86	EcksDofficial	293
87	eitanzaki	288
88	egglapras	283
88	__tomato	283
90	SuperPooch06	277
91	Windo_licker	271
92	Jovaphobic	263
93	12Magner05	262
94	Nicserso	242
95	Karbl	237
96	ROY4LE	224
97	bigstankyy	223
97	claivin	223
99	The_slideV3	221
99	Shogunite	221
101	Bumpy419	219
102	mihimihimihi	212
103	stellarjay	211
104	RebelAndroid	205
104	Quotary	205
106	GlitchyPlate810	201
107	Arceus1975	199
108	h2p_emrld	195
109	Comma__	194
110	Lord_Jord	189
111	Spenduh	186
112	Racengan	170
113	Avrelion	169
114	T045RTY	168
114	nocturne78	168
116	Kyrum2169	163
117	KartivGal	162
118	fluddd	160
119	Inchef	156
120	Historical_Sand	155
121	WET_WET_WET	152
122	wezzzi	149
123	CoffeeNoir	147
124	Kowcio_	141
125	MattieHD	140
125	XboxPanda	140
127	Typadopoulos	138
128	Onennon	136
128	Vellu21	136
130	NameGenerat0r	134
131	HyperCave	132
132	Yatitay	130
133	Rasmanden	123
134	Drlzyy	122
134	Kubeusz2010	122
136	SSytex_X	116
137	Notta	111
137	ProfessorBee	111
139	MovingFish7	106
140	Hoid_the_Roamer	105
141	Blaiku	104
142	Motsaro	103
142	jnp_gaming	103
144	ShedJr_	102
145	little_dUki	98
146	KarlKaek	97
147	seramalen	96
148	epiksk8erduck	94
149	NieToksikpl	92
150	hm947	90
150	Euclidoris	90
150	Winklepicker279	90
153	Powowowow	89
154	abramgray	87
155	Froste131	85
156	King_Pancake1	84
157	Tjhodskins19	83
157	Deathkob	83
157	Dusk_95	83
157	CalebDHawk	83
161	Dreamdbr14	81
162	soundad	78
162	ImpavidArcher	78
162	The11thDoctor	78
165	Iagoku	77
165	UrbanPlanner1978	77
167	SellyZ	76
168	titanlax	75
169	Paintz	74
169	MyNameIsJobo	74
169	Hermanni__	74
172	Kubelz	73
172	ItsDeltaMC	73
174	jacxhadow	72
175	HAIRYCLOUD626	70
176	Incinere	69
176	Swexti	69
178	SingedBread	68
179	Tobinator_007	67
179	Ssor69	67
179	KingMatthew506	67
182	ProbablyNick	66
182	IWorkAtIkea	66
182	MustardDrinker	66
182	Cocoamallows	66
186	Maenara	65
187	CliffEmAll	64
187	tobinwilliams	64
187	Sharkbyte0	64
187	Lutres_Torane	64
187	SwooshBoi	64
187	33sudo	64
187	UltraZombie	64
187	monolu	64
195	Chromary	63
195	pappaberg	63
195	Meatlaugh	63
195	ElKaySVK	63
199	Sleek_Storm_721	62
199	livingdaydreams	62
199	Xalithia	62
202	BRRRN179	60
202	gustarbite	60
204	RoskobiOne	59
204	Megarboh	59
206	awesomeoneme	58
206	TheEnderman548	58
208	lcvezra	57
209	groofles	56
210	Auseawesome	55
210	corvidpartyfor6	55
210	Blamphe	55
213	BlancoFlaco	53
214	MAns_44	52
215	Mattesco	51
215	Optiprimus	51
215	Kijiki	51
218	Bloo2406	50
218	yatsuta	50
220	starbits140	49
221	MaGro2010	48
221	Eraxa	48
223	RatatJuice	46
223	theonlymagikarp	46
223	Akoot_	46
223	MinuteMira	46
227	mimbo1211	44
227	Soplight	44
227	mobunni	44
230	SaucyDark	42
230	GLLogan2	42
232	Wooptey	40
232	AdvertisingMerc	40
232	CrateOfBoxes	40
232	Invisie	40
232	FishyBoy3811	40
232	QueenShuvi	40
238	ZoomieZoomie	38
239	q_wq	37
239	TheTrueClipse	37
239	chipklip	37
239	LordSpeed37	37
243	TheBiggestFeller	36
243	AuroraValkyrie	36
243	HollieDaNugget	36
246	Jackster03	35
246	dopplexd	35
248	Tolhart	34
248	m_be9	34
248	Xovalt_	34
251	BasedEphex	33
251	IdeallyGrey	33
251	MeetTheWollo	33
254	monky_irl	32
254	ayamefag	32
254	kinas45y5	32
257	MrExplorer	31
257	SLASHZEERA	31
257	underscore_2	31
260	ibarker21	30
260	_naturell	30
260	Groundler	30
260	SvenskaHugo	30
260	pixelviolin	30
260	tsitrawhy	30
266	surfinggiraffejp	29
266	fred870d	29
266	Fildyr	29
266	jcool7	29
270	Paint	28
271	_Virify_	27
271	Skomo	27
271	Factoroni	27
271	Ze_BaronKrigler	27
271	BlankityMcBlank	27
276	ExtraDumb	25
276	bloodbiter	25
276	Smashic	25
276	RohnJosin	25
276	GravitySaint	25
276	PortlyPete69	25
276	vandmanden	25
283	burbankbuilder28	24
283	StinkyDiplomat	24
283	Miko_Fullbuster	24
286	Lez_	23
286	heckface	23
286	Ecplosive	23
286	Freak_Genius	23
290	Hpdinosaur	22
290	Whiterooster001	22
292	redikul	21
292	_Boipl_	21
292	Jiminbub	21
295	6king6colt6	20
295	whoaluv	20
297	M_Patata	19
297	Parcc	19
297	MasterNueve	19
300	TooManyDuck	18
