rank	username	minecraft:crafted/minecraft:polished_tuff
1	Mr_Byzantine	1808
2	k_ce	928
3	pixelviolin	770
4	InchoateOyster	584
5	GGabrielSauce	160
6	Buuck_	132
7	CLG_Kata	124
8	Umprella	120
9	Steelynan	60
10	lumiscosity	21
11	Merv__	20
12	LeCavalier636	4
13	Soplight	1
