rank	username	minecraft:crafted/minecraft:oak_slab
1	Spacewardharpy7	14537
2	Lez_	9270
3	Mahoose	7460
4	Groovy_MoonBird	5789
5	Jackattack53	5046
6	Mr_Byzantine	4758
6	TheShyPig	4758
8	Frozil20	4696
9	KingMatthew506	4665
10	YungMaki	4342
11	AdmiralSmoke	4272
12	PigDab	3919
13	SteveCraftBlocks	3888
14	CoffeeNoir	3867
15	Hyp3rion_	3734
16	luseis	3540
17	2Stout	3484
18	El_Jalapeno	3180
19	jacxhadow	3066
20	MixerDixer	2826
21	rarrq	2688
22	Onennon	2628
23	EMC_	2376
24	Marbz_	2304
25	Ssor69	2224
26	beeperbeeper5	2146
27	EveryonesUncle	2016
28	eitanzaki	1968
29	seanitoo	1936
30	Touched_Bread	1842
31	PlasticOtari	1830
32	Steelynan	1812
33	_Dean_123	1790
33	Segotep999	1790
35	Di_infiri	1770
36	Matemax	1758
37	Jimi7hits	1716
38	Huwulling	1704
39	MyNameIsJobo	1691
40	Smashic	1656
41	pintsizedrogue	1614
41	Lord_Jord	1614
43	HellsSponge	1608
44	thescout7	1578
45	MightyWertu	1566
46	noam464	1556
47	ItzYaBoiPicard	1456
48	Snowflowe	1438
49	joethahobo	1302
50	ITDV	1266
51	Megarboh	1248
52	Aangezet	1224
52	lordpipe	1224
54	_Karmaa	1190
55	FishyBoy3811	1158
56	mihimihimihi	1120
57	FreakGenius	1110
58	CattSoup	1090
59	KingFaenor	1086
60	anbbang	1046
61	pixelviolin	1020
62	ConnorDanky_	1018
63	Bumpy419	1014
64	Zaridey	954
65	AuroraSkies	924
66	Merv__	918
67	gcaisawesome	912
68	DeeDeeThonk	906
69	Sqwishy	894
70	Akoot_	888
71	diggydog67	840
72	H0UNDFRMH3LL	835
73	SammiWolfGirl	826
74	MAns_44	804
75	Ecplosive	796
76	TheSecondLord	786
77	Kowcio_	774
77	tsitrawhy	774
79	Werbe	762
80	youhjjhhhjj	744
81	SSytex_X	726
82	Racengan	696
83	ImpavidArcher	678
84	prizm_	672
85	Eczbek	660
86	Skylord_Luke	646
87	Awyrlas	642
87	valkam13	642
89	MousePlays	636
89	StinkyDiplomat	636
91	KGTV	630
92	MrExplorer	624
92	Syropatathe	624
94	CharlieButt	612
95	Stiar	600
96	Rumpletaezer	588
97	Rebytre	564
98	Quotary	542
99	mwrty	540
100	AlphaWolfPlaysMC	537
101	Paleshield	534
101	Fildyr	534
101	Ezekson	534
101	Jimb0nat0r	534
105	TheWildMateo	528
106	Cowison	522
106	natajimi	522
108	SaucyDark	516
108	Mimiir345	516
110	kekhon	510
110	xxPipperDipperxx	510
112	Chayula	489
113	Kukkelikuk	486
114	Dan_Scha	482
115	Inchef	480
115	Hermanni__	480
117	fkGrim	474
117	iSammael	474
119	q_wq	468
119	6king6colt6	468
119	Blackberry1310	468
119	The11thDoctor	468
119	laron58	468
119	Legendosh	468
125	fenkuu	462
125	UCP_TheKingK	462
127	TheThomas69	456
127	bruh072	456
129	emrekn	450
130	Pineapplesugr	444
130	Kakolbus	444
132	Ev0luti0nz	438
132	OffWithTheirHead	438
134	Choco_Spy	430
134	ZoomieZoomie	430
136	_Virify_	426
136	jessewegottacook	426
138	SvenskaHugo	420
139	Steve897	414
140	teslawolf38	408
141	The_slideV3	406
142	Avocadogerms	402
143	BlancoFlaco	400
144	excelsionprime	396
144	angeles1234	396
146	CalebDHawk	394
147	Smaldo	392
148	hcb238	390
149	Da_Boss_Rani	384
149	07shiny	384
149	EcksD	384
152	Z3braYTIL	370
153	KarlKaek	366
153	Incinere	366
153	0nly_sn1per	366
153	MangoSalad316	366
153	PortlyPete69	366
158	zToasty69z	364
159	PazinGaming	362
160	500am	360
160	ProfessorDiaper	360
162	ItsDeltaMC	354
163	BodaciousCake	348
163	_Nuf	348
165	ShedJr_	342
165	ogoa	342
167	ClemenPine	336
167	__tomato	336
167	Calbo_	336
170	Winklepicker279	330
170	NoChumpChange	330
172	dopplexd	318
172	adeptius	318
172	Barlycorn	318
172	kyouma777	318
176	DepressedCubic	312
176	Prodiginus	312
176	ratglock	312
176	bluefragmentt	312
180	yaboo88	310
181	fr0stss	306
181	Zoeyfortnite	306
183	DaviusMaximoose	300
183	00000000-0000-0000-0009-01f80c5e9346	300
185	Ozixar	294
185	BreadBacon	294
187	Mowelan	292
187	ROY4LE	292
189	Historical_Sand	288
189	Karetoko	288
189	Nicserso	288
192	stellarjay	286
193	weezygator	282
193	HeraclesOGU	282
193	DarkS0L	282
193	Xclax101	282
197	AltnumberF4	280
198	SDMNAEK	276
199	chlorinex	273
200	Travasaur	270
200	Aatronix	270
200	Hiryu27	270
203	Lord_Zacler	264
204	Yatitay	258
204	RobotMinion101	258
206	Malorn_Aetherius	255
207	Blazebit	252
207	benediktine1	252
207	Fuhrer_Teemo	252
207	Sheldor097	252
211	Gingayy	246
211	LordAurum	246
213	_Huge_Male_	244
214	Sorry_Arey	240
214	SpacesickPrism	240
216	ergoalias	234
216	TheDiamondCG	234
216	Fullut	234
216	thewindmillman	234
216	bpmm	234
221	Donutt	228
221	theofiel	228
221	MovingFish7	228
221	AvaRosey	228
221	ReyTheLegend	228
226	Hyugo	216
226	ProfessorBee	216
226	Northernrabbit	216
229	T045RTY	214
230	m_be9	210
230	NomadicRobin_	210
232	NebulousBadger	208
233	CarryLine	204
233	blimpeey	204
235	TheMaster972	198
235	bloodbiter	198
235	DanTheBuilderino	198
235	TheRoboSock	198
235	Skippeh	198
235	mediumBev	198
241	JMK208	196
242	Nicky_H225	192
242	slkiey	192
242	Dogcorn69420	192
245	Shoutur1	186
245	Darkgon	186
245	Vellu21	186
248	NameGenerat0r	180
248	bndo	180
248	Soul_Atreus	180
251	ECstardust	178
252	PhantomsGhost_	174
252	RebelAndroid	174
252	GingerNeutron	174
252	mimbo1211	174
252	Mattesco	174
252	DC_XII	174
252	WyngGoy	174
252	BlankityMcBlank	174
252	Kateesaur	174
261	Luigipunch989	171
262	ActualPatbaf	168
262	Ravenbie	168
264	BPTY4618	162
264	Raspberry_Sodas	162
264	Arceus1975	162
264	Manaateee	162
268	sammidk	160
269	SmashingPump	156
269	eiC_	156
269	ibarker21	156
269	autisticcupcake	156
269	Catharsist	156
274	funnyblitz123	150
274	whoaluv	150
276	toj__	144
276	Freeman666	144
276	ApophisNova	144
276	LilcoinXX	144
276	jaimshae	144
276	MyNamaSheff	144
282	jjettii	138
282	ARandomHedge	138
282	epiksk8erduck	138
285	Jovaphobic	132
285	SaphLaseer	132
285	NoxxxxiS	132
285	MinerDec	132
285	Drewen24	132
285	Lutres_	132
285	Kubeusz2010	132
292	knzil	129
293	MC_Gamer_Geek	126
293	nocturne78	126
293	ccormacs	126
293	Crowman1	126
293	surfinggiraffejp	126
293	TeenMomTom	126
293	magmaniacmc	126
293	Elastiq	126
