rank	username	minecraft:crafted/minecraft:smooth_quartz_stairs
1	Ezekson	1013
2	ImpavidArcher	986
3	Deerfoot	848
4	r123moore	579
5	joethahobo	368
6	lordpipe	340
7	wwwwinnebagoooo	276
8	Hyp3rion_	232
9	himak1	220
10	AltnumberF4	194
11	Spacewardharpy7	176
12	MakeHistory157	140
13	Rocco_Lane	136
13	Blaiku	136
15	EcksDofficial	130
16	stavgod	124
17	Freak_Genius	122
18	oreee	88
18	Di_infiri	88
20	Merv__	84
20	m_be9	84
22	Mahoose	78
23	NotMeanttoChange	72
23	The_slideV3	72
25	noam464	68
25	KG1999	68
27	EMC_	64
28	ColeSnyder	56
28	Chromary	56
28	mobunni	56
31	Frozil12	48
32	_Dean_123	44
33	Snowflowe	40
33	ApophisNova	40
33	MyNamaSheff	40
36	Spenduh	36
37	pintsizedrogue	35
38	theonlymagikarp	28
38	FishyBoy3811	28
38	lillips	28
41	fluddd	24
42	hm947	23
43	Soplight	22
44	TheSecondLord	20
44	cedric72	20
44	Akoot_	20
47	kekhon	16
47	Smashic	16
47	fffMike	16
50	Cowison	12
50	MAns_44	12
50	Kubeusz2010	12
50	PlasticOtari	12
50	The_SlideV5	12
55	Arceus1975	8
55	EveryonesUncle	8
55	Lutres_Torane	8
55	NameGenerat0r	8
59	RobotMinion101	4
59	TheTommyGun63	4
59	jnp_gaming	4
62	HellsSponge	1
