rank	username	minecraft:crafted/minecraft:white_wool
1	Hyp3rion_	12402
2	Kowcio_	3211
3	noam464	3027
4	mwrty	1526
5	lillips	1032
6	Bumpy419	807
7	Blackberry1310	742
8	Blaiku	684
9	PigDab	674
10	MightyWertu	618
11	MakeHistory157	580
12	07shiny	577
13	mariominejedi	506
14	PeteO1995	485
15	sp00ky_ghost977	482
16	Malorn_Aetherius	440
17	diggydog67	364
18	CharlieButt	361
19	thescout7	322
20	Quincannon	251
21	Steven1282598	218
22	DemTechAlpha	217
23	LexMakesHistory	204
24	HellsSponge	192
24	lcvezra	192
26	Jackattack53	190
27	AuroraValkyrie	176
28	ApophisNova	171
28	MyNamaSheff	171
30	oxfordschool	166
31	El_Jalapeno	155
32	kekhon	145
33	Merv__	144
34	JEWISHBadenBeele	128
35	Di_infiri	116
36	Onennon	108
37	pintsizedrogue	82
38	Ezekson	78
39	ItzYaBoiPicard	76
39	Powowowow	76
41	teslawolf38	74
42	Lutres_Torane	66
43	Ryker	64
44	T045RTY	63
44	ProfessorBee	63
46	00000000-0000-0000-0009-01ff0c3e5e4f	61
47	Leyna3	58
47	Frozil12	58
49	Drlzyy	56
50	Enderslayerxz3	55
51	TheDankPlatypus	53
52	_Bguette_	52
53	RobotMinion101	51
53	Freak_Genius	51
55	MilleGrug	50
56	tartanboy	48
56	PlasticOtari	48
58	Smoke____	47
59	claivin	44
60	rarrq	43
61	Kynigito	40
61	JayToe	40
63	ToastedGamingYT	38
64	SlowMoNinja1994	37
64	DeGodz4life	37
66	EveryonesUncle	35
66	remmisrat	35
68	Hiryu27	34
69	TheEnderman548	32
70	Iagoku	29
71	MineMaster0012	28
72	MattieHD	27
72	NameGenerat0r	27
74	GLLogan2	26
74	Deathkob	26
74	JESS_THE_RERE	26
77	PhantomsGhost_	25
78	jushykins	24
78	IdeallyGrey	24
80	RodSerlingCringe	23
80	Nicserso	23
82	CrateOfBoxes	22
82	Darkgon	22
84	thewindmillman	20
84	_Boipl_	20
84	Vellu21	20
87	Guillemet	19
87	Kamflame10	19
87	burbankbuilder28	19
87	NarwhalTaco	19
87	fred870d	19
87	Skippeh	19
93	Incinere	18
93	SuperPooch06	18
93	AnnieBathory	18
93	Kubeusz2010	18
97	Rocco_Lane	17
97	Groundler	17
97	stellarjay	17
100	_Virify_	16
100	AmbroseForLife	16
100	Inbefour	16
100	EfficientC52	16
100	Soplight	16
105	Ecplosive	15
106	MovingFish7	14
107	q_wq	13
107	FirsTimeGamingTV	13
107	Vizzoid	13
107	surfinggiraffejp	13
107	LordSpeed37	13
107	_3Stump_	13
107	UrbanPlanner1978	13
114	fr0stss	12
114	chlorinex	12
114	chipklip	12
114	censorsheep	12
114	yoyoYoloMonke	12
119	gcaisawesome	11
119	loveseeker	11
119	wwwwinnebagoooo	11
119	Warlord324	11
123	awesomeoneme	10
123	Maenara	10
123	godipose	10
123	WYFYoyo	10
127	Russiancat1	9
127	Sank34	9
127	Luigipunch989	9
127	kinas45y5	9
131	sxc_	8
131	fluddd	8
131	ItsDeltaMC	8
131	YungMaki	8
131	Poppy235	8
136	6king6colt6	7
136	diamondgolem35	7
136	roxycherry	7
136	Rebytre	7
136	MonitorLizards	7
136	yatsuta	7
142	Jovaphobic	6
142	Bandito_Roamer	6
142	Alteriity	6
142	Kakolbus	6
142	Drewen24	6
142	Sky_light_KING	6
142	ADEXTV	6
142	Fuad_R	6
142	pixelviolin	6
151	Froste131	5
151	KingFaenor	5
151	hm947	5
151	HavickMC	5
151	Mahoose	5
151	xPixelRainx	5
151	Cryptacity	5
151	Z3braYTIL	5
151	DaviusMaximoose	5
151	TheShyPig	5
151	Dan_Scha	5
151	dezxalo	5
151	Sheldor097	5
151	cichy096	5
165	hollowww	4
165	KomputerDude	4
