rank	username	minecraft:crafted/minecraft:hopper
1	noam464	30900
2	Hyp3rion_	29134
3	thewindmillman	9934
4	Di_infiri	9658
5	Spacewardharpy7	7777
6	HellsSponge	7617
7	mihimihimihi	7171
8	Jackattack53	4674
9	thescout7	4165
10	PigDab	3208
11	EMC_	2897
12	Marbz_	2863
13	Werbe	2684
14	Elastiq	2385
15	Zythose	2237
16	EcksD	2236
17	Awyrlas	2103
18	eitanzaki	2062
19	Blaiku	2032
20	AdmiralSmoke	1998
21	Historical_Sand	1701
22	beeperbeeper5	1632
23	Lez_	1533
24	Huwulling	1473
25	fffMike	1414
26	Shogunite	1406
27	m_be9	1195
28	Inbefour	1152
29	_Nuf	1128
30	Kakolbus	998
31	Lord_Jord	990
32	Hisiste	925
33	obzii	888
34	MightyWertu	854
35	Manaateee	828
36	TheShyPig	808
37	Sral7	803
38	YungMaki	799
39	Jimi7hits	790
40	Ezekson	778
41	EngagedGrub41	697
42	Frozil20	671
43	sp00ky_ghost977	639
44	gcaisawesome	620
45	non089	617
46	El_Jalapeno	605
46	PlasticOtari	605
48	r123moore	587
49	Snowflowe	578
50	Enderxz3	561
51	Alteriity	527
52	RebelAndroid	521
53	12Magner05	515
54	T045RTY	514
55	Quotary	512
56	ConnorDanky_	509
57	MilleGrug	507
58	MyNameIsJobo	494
59	ProfessorBee	456
60	Malorn_Aetherius	448
61	Soplight	443
62	PhantomsGhost_	433
63	Ryan_GEMS	431
64	TechnoNinja64	407
65	ImpavidArcher	394
65	Groundler	394
67	joethahobo	382
68	pintsizedrogue	373
68	Nicky19	373
70	Kowcio_	364
71	Steelynan	363
72	ssleepless	361
73	WyngGoy	359
74	Smashic	331
75	Eczbek	330
76	Eczbox	329
76	BronkerBrum	329
78	TheThomas69	321
79	Fullut	310
80	Jovaphobic	307
81	_Virify_	306
82	Sheldor097	300
83	Deathkob	294
84	lordpipe	289
85	StinkyDiplomat	284
86	Hoid_the_Roamer	283
87	picardred	280
88	AuroraValkyrie	276
89	BartekB19	275
90	MustaLoordi	268
91	Covalents	260
92	audiocracked	250
93	FreakGenius	238
94	Barlycorn	234
95	_Dean_123	232
95	DanTheBuilderino	232
97	groofles	228
98	mariominejedi	227
99	Warlord324	225
100	ApophisNova	223
100	MyNamaSheff	223
102	Hermanni__	219
103	Racengan	213
104	CattSoup	207
105	Bumpy419	203
105	vandmanden	203
107	SmashingPump	201
108	Akoot_	199
109	Paintz	195
110	yatsuta	194
111	Segotep999	190
112	Lutres_	185
113	tsitrawhy	184
114	Skylord_Luke	181
114	PortlyPete69	181
116	FishisTTV	180
117	eviltunix	175
118	MoistMicrowave	174
119	Mahoose	172
120	GravitySaint	169
121	tuckerdoodle	167
121	Nicserso	167
123	pixelviolin	165
124	M_Patata	162
124	censorsheep	162
124	07shiny	162
127	emrekn	160
128	eiC_	157
129	prizm_	156
130	TheSeismicDuck	151
131	Onennon	148
131	AlexxO_o	148
133	Blackberry1310	144
133	Scathra	144
135	Hiryu27	140
136	Rumpletaezer	139
137	_Mythic____	138
138	mwrty	134
139	SlayerCrypto	133
139	MAns_44	133
141	Leyna3	132
141	IamCL4SSY	132
143	Prodiginus	129
144	Groovy_MoonBird	127
145	Fuhrer_Teemo	124
145	Skippeh	124
147	Darkgon	122
148	Hyugo	121
149	Comma__	119
150	Kyrum2169	115
151	Swexti	114
151	anbbang	114
151	Zoeyfortnite	114
154	PegLegPete93	113
154	yheece	113
156	MasterNueve	112
157	King_Pancake1	109
158	Factoroni	108
159	Blu3beast	106
160	set67	105
161	HolyVenom	104
161	EveryonesUncle	104
163	The_slideV3	102
164	kekhon	100
164	__tomato	100
166	masskedman	98
166	skrongus	98
168	Ryker	97
168	benediktine1	97
170	Megarboh	96
171	TheDankPlatypus	92
172	ivorico	90
172	Giannism	90
174	teslawolf38	89
175	Fildyr	88
176	Shin69	87
177	Winston_Ingram	86
178	CollinMH06	83
178	selectrix	83
178	fluddd	83
181	Arceus1975	81
181	luseis	81
183	Steve897	79
184	500am	78
184	HesDemonPants	78
186	Nyxiom_	75
186	Rebytre	75
186	zToasty69z	75
189	NieToksikpl	74
189	SpacesickPrism	74
191	Da_Boss_Rani	73
191	DTwenty	73
193	jnp_gaming	72
194	Merv__	71
194	Powowowow	71
196	Rich_Kat	70
196	lorpus	70
196	NomadicRobin_	70
199	MinttyFressh	69
200	LexMakesHistory	68
201	abramgray	67
201	silverpopcorn	67
203	CarltheCuck	66
204	FirsTimeGamingTV	65
204	4774	65
204	Inchef	65
204	EfficientC52	65
208	GoofyBread	64
208	PlzNoBM	64
208	UrbanPlanningEx	64
211	q_wq	63
211	Flores991	63
211	ayamefag	63
214	SingedBread	62
214	Majonezzon	62
216	BumbleBeever	61
217	Quincannon	60
217	Nycteus_	60
219	AngalexikCZ	59
219	SellyZ	59
219	xxPipperDipperxx	59
222	TheTrueClipse	58
223	soundad	57
223	Jackster03	57
225	Rasmanden	56
226	ExtraDumb	54
226	Oldham	54
228	radioactv_jelly	53
229	Iamthejo	52
230	Seyaboy	51
230	calamariclam_I	51
232	dimondking777	50
232	Mewar	50
234	wezzzi	49
234	2blox_	49
234	diggydog67	49
237	NatalieTW	48
237	Solar_Power	48
237	TheDumbHuman	48
237	LilcoinXX	48
237	Spenduh	48
242	Dreamdbr14	47
243	fade_emerge78823	45
244	Zaridey	44
244	KSI	44
244	Typadopoulos	44
244	BreadBacon	44
248	TheSecondLord	43
248	Fuad_R	43
250	excelsionprime	42
250	KeruNatsema	42
250	FishyBoy3811	42
250	Jordan_R	42
254	corvidpartyfor6	41
254	legal_tax_evader	41
254	Cocoamallows	41
257	bigstankyy	40
257	Optiprimus	40
257	stavgod	40
257	OfficerAnvil	40
257	MirielThePastor	40
257	Jimb0nat0r	40
263	LeonelSalamanca	39
264	Iagoku	38
264	ibarker21	38
264	ItsAki_	38
264	_Bguette_	38
268	Syropatathe	37
268	JESS_THE_RERE	37
268	iSammael	37
268	starbits140	37
272	H72l9w	36
272	rarrq	36
274	_Huge_Male_	35
274	Raspberry_Sodas	35
274	SaintJosie	35
274	DemTechAlpha	35
278	diamondgolem35	34
278	Jij0	34
280	CoffeeNoir	33
280	Ssor69	33
280	jushykins	33
280	mattybeewrapss	33
280	Enigma0251	33
280	andy_rex	33
280	the_russell1611	33
280	kyouma777	33
288	Frxnkz	32
288	NotMeanttoChange	32
288	OffWithTheirHead	32
291	Cowison	31
291	Chromary	31
291	RobotMinion101	31
291	cedric72	31
291	SexcMf	31
296	Eraza	30
296	ImDisconnected_	30
296	KartivGal	30
296	SammiWolfGirl	30
296	_i_ERROR_i_	30
