rank	username	minecraft:crafted/minecraft:quartz_slab
1	joethahobo	9774
2	Hyp3rion_	7094
3	Lez_	4194
4	Incinere	3832
5	Groundler	3812
6	Spacewardharpy7	3316
7	thescout7	2922
8	Di_infiri	2586
9	EcksD	2334
10	Jackattack53	2220
11	ImpavidArcher	2208
12	MilleGrug	1698
13	Lord_Jord	1656
14	Inbefour	1470
15	Truckoss	1440
16	The_slideV3	1308
17	FreakGenius	1215
18	GooseWithin	1116
19	RealGroot	1110
20	Smoke____	1108
21	hanaryheatwave	984
22	Marbz_	808
23	xxPipperDipperxx	774
24	Xclax101	732
25	Skylord_Luke	676
26	Jovaphobic	636
27	lordpipe	606
28	Comma__	592
29	Frozil20	588
30	CoffeeNoir	564
31	cedric72	558
32	SammiWolfGirl	556
33	Werbe	552
34	HellsSponge	513
35	rarrq	462
36	Fuad_R	456
37	Swexti	450
38	TheWildMateo	420
39	eitanzaki	408
40	Legendosh	398
41	Cocoamallows	384
42	Skippeh	378
43	Yahrto	372
44	nocturne78	360
44	MirielThePastor	360
46	ssleepless	354
46	tobinwilliams	354
48	Crowman1	348
49	Tyrannosplart	341
50	StinkyDiplomat	318
51	ZoomieZoomie	312
52	Akoot_	298
53	noam464	296
54	Mr_Byzantine	288
55	titanlax	276
56	The_SlideV5	264
57	jessewegottacook	258
58	drunkeeez	252
59	Blackberry1310	250
60	Eraxa	240
61	PlasticOtari	230
62	bladeefan2009	228
63	SkateboardR6	222
64	xolstoi	218
65	BumbleBeever	210
66	jedi_george	192
67	Sral7	186
68	SaucyDark	174
69	MakeHistory157	168
70	gabriels543	162
71	Jonafrog99	156
71	RobotMinion101	156
73	gusstationwerker	150
74	Mahoose	144
74	Mewar	144
76	Huwulling	138
76	_Karmaa	138
76	jnp_gaming	138
79	Smashic	134
80	EMC_	132
80	KarlKaek	132
82	PigDab	126
82	IamCL4SSY	126
82	lillips	126
82	RedcatVII	126
82	Blaiku	126
82	EngagedGrub41	126
88	Groovy_MoonBird	124
89	TheSecondLord	120
89	Winklepicker279	120
89	NameGenerat0r	120
89	Deerfoot	120
93	r123moore	114
93	MAns_44	114
95	shineh10	102
96	__tomato	96
96	Fizznut909	96
98	Dusk_95	90
99	luseis	82
100	NinjaKnifeKill	78
100	FelixPSY375	78
102	Merv__	72
102	wobn	72
102	RadarHz	72
105	thewindmillman	68
106	chimpmunker	66
106	Ardennes	66
106	SvenskaSara	66
109	pintsizedrogue	60
109	kekhon	60
109	DebbieBrunswick	60
112	m_be9	54
112	_Boipl_	54
112	mihimihimihi	54
115	dartwaffle	48
115	Ezekson	48
117	Cowison	42
117	AuroraValkyrie	42
117	teslawolf38	42
117	Reamdin	42
117	ProfessorBee	42
117	NotTrixi	42
117	himak1	42
117	Zythose	42
117	Donutt	42
117	Mattesco	42
127	SlowMoNinja1994	36
127	WyngGoy	36
127	Optiprimus	36
130	RebelAndroid	30
130	CliffEmAll	30
130	RoofTyler	30
130	Blu3beast	30
130	Barlycorn	30
130	AssFullaCum	30
130	Nicserso	30
137	Wooptey	24
137	NotMeanttoChange	24
137	xFaiithyX	24
137	Rocco_Lane	24
137	EveryonesUncle	24
137	MyNameIsDakar	24
137	wwwwinnebagoooo	24
137	bloomkieren	24
137	xzvu	24
137	CattSoup	24
147	_Huge_Male_	22
147	Soplight	22
149	Myszoaz	18
149	NieToksikpl	18
149	Billious	18
149	Elastiq	18
149	MightyWertu	18
149	Steelynan	18
149	OfficerAnvil	18
156	NatrixxddxYT	12
156	theonlymagikarp	12
156	Avrelion	12
156	Rumpletaezer	12
156	burbankbuilder28	12
156	obzii	12
156	Serval2000	12
163	soundad	10
164	CrateOfBoxes	8
165	6king6colt6	6
165	Lukeee33	6
165	beeperbeeper5	6
165	ratglock	6
165	shdesolt	6
165	MinttyFressh	6
165	Cortexia	6
165	corvidpartyfor6	6
165	500am	6
165	SuperPooch06	6
165	Arceus1975	6
165	Rebytre	6
165	RohnJosin	6
165	TheShyPig	6
165	ClemenPine	6
165	Leyna3	6
165	parodypatient	6
165	binman420	6
165	SlinkyPinky	6
165	Razzgriz	6
165	tsitrawhy	6
165	Hermanni__	6
165	trexgb	6
188	SingedBread	4
189	SteveCraftBlocks	2
189	Awyrlas	2
189	Xalithia	2
