rank	username	minecraft:crafted/minecraft:pink_shulker_box
1	lordpipe	153
2	Werbe	98
2	AssEatrAndLicker	98
4	jnp_gaming	40
5	pintsizedrogue	17
6	HellsSponge	8
7	Hyp3rion_	7
7	OtariCharlie	7
9	Bumpy419	6
9	sp00ky_ghost977	6
11	kekhon	5
11	mwrty	5
11	lcvezra	5
14	500am	4
14	Fullut	4
14	Xalithia	4
14	oxfordschool	4
18	Mahoose	3
18	surfinggiraffejp	3
18	Chromary	3
18	thewindmillman	3
18	Sky_light_KING	3
18	Inbefour	3
18	chipklip	3
18	Blu3beast	3
18	fluddd	3
18	Spenduh	3
28	ssleepless	2
28	ImpavidArcher	2
28	SaucyDark	2
28	TooManyDuck	2
28	Hpdinosaur	2
28	titanlax	2
28	set67	2
28	Awyrlas	2
28	xxPipperDipperxx	2
28	gabriels543	2
28	SuperPooch06	2
28	KartivGal	2
28	lillips	2
28	Nycteus_	2
28	censorsheep	2
28	Groundler	2
28	OG_Songsee	2
28	Enderslayerxz3	2
28	Smoke____	2
47	PhantomsGhost_	1
47	JEWISHBadenBeele	1
47	Drlzyy	1
47	6king6colt6	1
47	ExtraDumb	1
47	awesomeoneme	1
47	MOSS000	1
47	Myszoaz	1
47	joethahobo	1
47	beeperbeeper5	1
47	Euclidoris	1
47	TheSecondLord	1
47	jushykins	1
47	BobDeBouwer1337	1
47	shyshyannne	1
47	Scathra	1
47	thescout7	1
47	emrekn	1
47	SellyZ	1
47	r123moore	1
47	Zaridey	1
47	Ecplosive	1
47	MyNameIsJobo	1
47	Snowflowe	1
47	MangoTheFish	1
47	pappaberg	1
47	Akoot_	1
47	Jiminbub	1
47	Jiminie	1
47	Deathkob	1
47	YungWali	1
47	1442	1
47	NameGenerat0r	1
47	claivin	1
47	SingedBread	1
47	Spacewardharpy7	1
47	Airem_Core	1
47	monky_irl	1
47	Razzgriz	1
47	Eraxa	1
47	Jij0	1
47	YungMaki	1
47	Fizznut909	1
47	stellarjay	1
47	SammiWolfGirl	1
47	Dogcorn69420	1
47	sebastiensaborio	1
47	Njensen7	1
47	anbbang	1
47	mountaingirl311	1
