rank	username	minecraft:crafted/minecraft:lime_stained_glass_pane
1	Werbe	1376
2	Alteriity	960
3	Hyp3rion_	912
4	beeperbeeper5	256
5	ROY4LE	224
6	DTwenty	192
7	Kowcio_	184
8	_Huge_Male_	168
9	Jackattack53	160
10	Groovy_MoonBird	144
11	pintsizedrogue	136
12	ECstardust	128
12	Lez_	128
12	titanlax	128
12	emreknugrlu	128
16	Fullut	112
16	Groundler	112
18	CattSoup	88
19	tobinwilliams	80
19	El_Jalapeno	80
19	jnp_gaming	80
22	rarrq	64
22	Orcus113	64
22	Rumpletaezer	64
22	Inbefour	64
22	EveryonesUncle	64
27	RoskobiOne	48
27	Manaateee	48
27	Blaiku	48
30	eitanzaki	32
30	TheSecondLord	32
30	ReflexCode	32
30	Druid95	32
34	MrExplorer	24
34	AlexxO_o	24
36	k_ce	16
36	Napoleonpancake	16
36	Merv__	16
36	teslawolf38	16
36	joethahobo	16
36	QuiCreans	16
36	SuperPooch06	16
36	hanaryheatwave	16
36	Snowflowe	16
36	luseis	16
36	HellsSponge	16
36	NameGenerat0r	16
36	Spacewardharpy7	16
36	lordpipe	16
36	_Mythic____	16
36	pixelviolin	16
36	Soplight	16
36	Steelynan	16
36	Jimb0nat0r	16
55	CLG_Kata	8
55	Apollo_993	8
55	SvenskaHugo	8
55	Nicserso	8
55	PlasticOtari	8
