rank	username	minecraft:crafted/minecraft:emerald
1	joethahobo	408975
2	pintsizedrogue	270715
3	Hyp3rion_	269496
4	noam464	257090
5	beeperbeeper5	170798
6	TechnoNinja64	122702
7	Blaiku	111183
8	PigDab	97936
9	Huwulling	95041
10	hanaryheatwave	92187
11	EMC_	60588
12	EcksD	57024
13	Lord_Jord	55885
14	AdmiralSmoke	52457
15	Di_infiri	46469
16	Frozil20	44613
17	Inbefour	42545
18	Mahoose	40501
19	luseis	39111
20	Snowflowe	39027
21	Lez_	38242
22	Spacewardharpy7	36905
23	thescout7	34055
24	ConnorDanky_	32524
25	HellsSponge	32030
26	Smashic	31684
27	RebelAndroid	30939
28	TheSecondLord	30827
29	Zythose	30617
30	YungMaki	29707
31	pixelviolin	29607
32	Merv__	27110
33	sp00ky_ghost977	25953
34	PlasticOtari	25710
35	SmashingPump	25129
36	Sral7	25053
37	Werbe	22886
38	eitanzaki	22279
39	Soplight	21732
40	SpacesickPrism	20390
41	ECstardust	18912
42	EngagedGrub41	18305
43	himak1	16969
44	Kakolbus	16884
45	lordpipe	16834
46	gcaisawesome	15858
47	Apollo_993	15145
48	500am	14656
49	thewindmillman	14627
50	Ezekson	14548
51	fffMike	14331
52	kekhon	14121
53	EveryonesUncle	13269
54	MightyWertu	12714
55	Comma__	12397
56	Historical_Sand	12355
57	FreakGenius	12286
58	IamCL4SSY	11950
59	Dogcorn69420	11479
60	Kowcio_	11209
61	ImpavidArcher	10627
62	fw3xy74	10609
63	Manaateee	10375
64	set67	10046
65	Eraxa	9674
66	excelsionprime	9573
67	_Mythic____	9350
68	Skylord_Luke	9283
69	Lutres_	9034
70	Jackattack53	8889
71	KingMatthew506	8319
72	m_be9	7941
73	Rumpletaezer	7731
74	Spenduh	7634
75	Enderxz3	7622
76	youhjjhhhjj	7430
77	Fullut	7255
78	TheShyPig	6936
79	Hermanni__	6922
80	TheEnderMan548	6850
81	_Virify_	6715
82	Alteriity	6697
83	Marbz_	6689
84	mihimihimihi	6671
85	diamondgolem35	6544
86	FelixPSY375	6296
