rank	username	minecraft:crafted/minecraft:heavy_weighted_pressure_plate
1	YungMaki	2517
2	joethahobo	1354
3	Rumpletaezer	987
4	noam464	651
5	thewindmillman	406
6	Werbe	116
6	AssEatrAndLicker	116
8	TheShyPig	69
9	pintsizedrogue	64
9	Jackattack53	64
11	OtariCharlie	52
11	Groundler	52
13	Smoke____	51
14	Onennon	36
15	thescout7	33
16	fluddd	28
16	oxfordschool	28
18	Mahoose	27
19	Spacewardharpy7	22
20	Hyp3rion_	21
21	lillips	20
22	bloodbiter	18
22	DanTheBuilderino	18
24	Awyrlas	17
24	sebastiensaborio	17
26	hm947	16
27	beeperbeeper5	14
28	EveryonesUncle	13
28	Factoroni	13
28	AssFullaCum	13
31	M_Patata	12
31	HellsSponge	12
31	MasterNueve	12
34	wezzzi	11
35	ogoa	10
35	Jaka_Saurus_715	10
35	__tomato	10
35	AltnumberF4	10
39	kekhon	9
39	censorsheep	9
41	jspwn	8
41	500am	8
41	Winklepicker279	8
41	Hoid_the_Roamer	8
41	fred870d	8
41	BlankityMcBlank	8
47	redikul	7
47	obzii	7
49	AlazelTheReal	6
49	TheThomas69	6
49	aec9	6
49	Sral7	6
49	YoshikageBites	6
54	Mr_Byzantine	5
54	Cryptacity	5
54	Fullut	5
54	RobotMinion101	5
54	KingMatthew506	5
59	Bandito_Roamer	4
59	ThePoliteG	4
59	MattieHD	4
59	PegLegPete93	4
59	eviltunix	4
59	ROY4LE	4
59	DermeinUser	4
59	Arceus1975	4
59	ApophisNova	4
59	TheSeismicDuck	4
59	Inbefour	4
59	Racengan	4
59	Ir0npack	4
59	EcksD	4
59	MyNamaSheff	4
59	Enderslayerxz3	4
75	jimintyy	3
75	Sparky_KT	3
75	gcaisawesome	3
75	r123moore	3
75	benediktine1	3
75	CaptainSteve345	3
75	Di_infiri	3
75	Nyxiom_	3
75	PigDab	3
75	Barlycorn	3
75	WyngGoy	3
75	Soplight	3
75	ProbsNotNova	3
75	jnp_gaming	3
89	ImpavidArcher	2
89	eitanzaki	2
89	T045RTY	2
89	Rox_The_Box	2
89	Ssor69	2
89	Vizzoid	2
89	Blackberry1310	2
89	Frxnkz	2
89	12Magner05	2
89	_Nuf	2
89	Xalithia	2
89	Covalents	2
89	MyNameIsJobo	2
89	AJplaysMC_	2
89	Chromary	2
89	Leyna3	2
89	Maenara	2
89	TheTrueClipse	2
89	Syropatathe	2
89	fkGrim	2
89	chipklip	2
89	Quaintster	2
89	FlashMigma	2
89	Fildyr	2
89	lordpipe	2
89	Shin69	2
89	PlzNoBM	2
89	FelixPSY375	2
89	kinas45y5	2
89	trexgb	2
89	JayToe	2
89	diggydog67	2
121	Froste131	1
121	Merv__	1
121	teslawolf38	1
121	SlowMoNinja1994	1
121	KingFaenor	1
121	DepressedCubic	1
121	Sleek_Storm_721	1
121	EkkoTraveler	1
121	Iagoku	1
121	Hyugo	1
121	ssleepless	1
121	HollieDaNugget	1
121	lazioglug	1
121	H72l9w	1
121	301851	1
121	Historical_Sand	1
121	NanoShot	1
121	FirsTimeGamingTV	1
121	featherflyy	1
121	Comma__	1
121	CarbonatedCola	1
121	boog4loo	1
121	slkiey	1
121	AngalexikCZ	1
121	Kamflame10	1
121	Nach0Bear	1
121	himak1	1
121	Irko	1
121	emrekn	1
121	SellyZ	1
121	xxPipperDipperxx	1
121	theonlymagikarp	1
121	Paintz	1
121	Noah_Bez	1
121	eiC_	1
121	XboxPanda	1
121	Zaridey	1
121	Purplehere	1
121	fr_ser	1
121	gabriels543	1
121	SuperPooch06	1
121	domagawha	1
121	The_Fulgurator	1
121	selectrix	1
121	epiksk8erduck	1
121	cedric72	1
121	Rasmanden	1
121	Akoot_	1
121	Lord_Jord	1
121	RoyalDorrr	1
121	_Crimson_Legate	1
121	Jiminie	1
121	NYJ	1
121	rotten_mango	1
121	balin55	1
121	Captain_Nasty	1
121	JESS_THE_RERE	1
121	Quincannon	1
121	DASH_X7	1
121	claivin	1
121	MustaLoordi	1
121	SwooshBoi	1
121	Blu3beast	1
121	RedcatVII	1
121	Blaiku	1
121	Warlord324	1
121	Airem_Core	1
121	geekbird	1
121	sp00ky_ghost977	1
121	Nagasaki_Riku	1
121	Optiprimus	1
121	legoclone09	1
121	Eraxa	1
121	KG1999	1
121	Kyrum2169	1
121	lcvezra	1
121	GlitchyPlate810	1
121	Nargotah	1
121	jcool7	1
121	mawileite	1
121	Hermanni__	1
121	Skippeh	1
121	Ezekson	1
121	_AAZAR	1
121	Lowjinx	1
121	adiccting01	1
121	TechnoNinja64	1
121	Yahrto	1
121	h2p_emrld	1
