rank	username	minecraft:crafted/minecraft:crimson_sign
1	eitanzaki	342
2	12Magner05	183
3	beeperbeeper5	102
4	Smoke____	84
5	Mahoose	63
6	Syropatathe	60
7	noam464	42
8	500am	30
8	Lord_Jord	30
8	iHuntWeeaboos	30
8	Freak_Genius	30
12	PigDab	27
13	egglapras	24
14	ToastedGamingYT	22
15	CliffEmAll	21
16	Spacewardharpy7	18
17	Mr_Byzantine	15
17	RebelAndroid	15
19	TheSecondLord	12
19	kekhon	12
19	Fullut	12
22	Marbz_	9
22	Hyp3rion_	9
22	Jiminie	9
25	HellsSponge	8
26	pintsizedrogue	6
26	T045RTY	6
26	Blackberry1310	6
26	Winklepicker279	6
26	thewindmillman	6
26	sp00ky_ghost977	6
26	Ze_BaronKrigler	6
26	Legendosh	6
26	BiggieDawg	6
35	Cowison	3
35	Merv__	3
35	rarrq	3
35	regulator75	3
35	Rebytre	3
35	NomadicRobin_	3
35	MyNameIsDakar	3
35	Nycteus_	3
35	SingedBread	3
35	Steelynan	3
35	Kubeusz2010	3
35	Enderslayerxz3	3
35	HesDemonPants	3
35	PlasticOtari	3
