rank	username	minecraft:crafted/minecraft:compass
141	ougstur	16
142	PazinGaming	15
142	Drewen24	15
144	H72l9w	14
144	Crowman1	14
144	gustarlep	14
144	Racengan	14
144	Fildyr	14
149	RebelAndroid	13
149	ZoomieZoomie	13
149	OfficerAnvil	13
152	CharlieButt	12
152	corpsecity	12
152	Inbefour	12
152	mihimihimihi	12
152	MilleGrug	12
157	Groovy_MoonBird	11
157	_Boipl_	11
157	Eczbox	11
157	Strangemonkey71	11
157	Eczbek	11
162	Noah_Bez	10
162	audiocracked	10
162	XxCookiequeenxX	10
162	sufjanlover	10
162	Darkgon	10
167	Jovaphobic	9
167	pappaberg	9
167	epiksk8erduck	9
167	wwwwinnebagoooo	9
167	TheTommyGun63	9
167	iSammael	9
167	33sudo	9
167	SexcMf	9
167	Shin69	9
167	Quotary	9
177	IWorkAtIkea	8
177	Kynigito	8
177	Segotep999	8
177	starbits140	8
181	_Razaria	7
181	QuiCreans	7
181	Winklepicker279	7
181	RobotMinion101	7
181	Moofyman	7
181	Kryktal	7
181	Maenara	7
181	LexMakesHistory	7
181	Druid95	7
181	LetsDoItLive	7
181	sp00ky_ghost977	7
181	obzii	7
181	Wolverine4302	7
181	FishisTTV	7
195	Ssor69	6
195	Fuad_R	6
195	Quaintster	6
195	censorsheep	6
199	Hpdinosaur	5
199	youhjjhhhjj	5
199	legal_tax_evader	5
199	whoaluv	5
199	JESS_THE_RERE	5
199	LordSpeed37	5
205	Frozil20	4
205	ExtraDumb	4
205	Incinere	4
205	Vizzoid	4
205	masskedman	4
205	The_slideV3	4
205	_Karmaa	4
205	UCP_TheKingK	4
205	Vellu21	4
205	diggydog67	4
215	Alexanderjac	3
215	SlowMoNinja1994	3
215	ImpavidArcher	3
215	Ryker	3
215	T045RTY	3
215	Huwulling	3
215	titanlax	3
215	MrExplorer	3
215	slkiey	3
215	RustyKedel	3
215	SamZombie	3
215	Mr_Sun15	3
215	Kim_Jong_eel	3
215	Karbl	3
215	ReflexCode	3
215	stellarjay	3
215	Dogcorn69420	3
215	FelixPSY375	3
233	Batoser	2
233	CLG_Kata	2
233	PizzaJake	2
233	q_wq	2
233	Lukeee33	2
233	RatatJuice	2
233	livingdaydreams	2
233	nattybears	2
233	Natty	2
233	ITDV	2
233	Comma__	2
233	Tiberonus	2
233	DSYisDizzy	2
233	ARandomHedge	2
233	LAVA129	2
233	Donutt	2
233	Felenov	2
233	CaptainDeadBread	2
233	SaintJosie	2
233	ADEXTV	2
233	stuy9	2
233	C0oOK13M0N5T3R	2
233	Skippeh	2
233	HuangMeiHua	2
233	AstroLightz_	2
258	rats_life	1
258	Bandito_Roamer	1
258	Ganongeek	1
258	Mowelan	1
258	TildaAndrea	1
258	Tommhh	1
258	I_Am_Mushkin	1
258	Hyugo	1
258	DinoDoctor_	1
258	SaucyDark	1
258	Tolhart	1
258	Furiuosbeast0404	1
258	RoseLilyTV	1
258	No_u4	1
258	Base_Tempest	1
258	KomputerDude	1
258	Prismyst	1
258	FirsTimeGamingTV	1
258	Ozixar	1
258	cheerytomato	1
258	boysnort	1
258	shdesolt	1
258	Rich_Kat	1
258	Boboczus	1
258	Secret_Canary	1
258	ConcretePirate	1
258	excelsionprime	1
258	lorpus	1
258	PegLegPete93	1
258	Ithaca19	1
258	r123moore	1
258	Kubelz	1
258	platinumzero	1
258	purpolepickle	1
258	TheDankPlatypus	1
258	SHAOBADMAN	1
258	ZeroAbyssTTV	1
258	Windo_licker	1
258	TakeThis2UrGrave	1
258	JitteryJared2	1
258	AnnieBathory	1
258	impossibleteapot	1
258	SirPiccardo	1
