rank	username	minecraft:crafted/minecraft:brewing_stand
190	monky_irl	1
190	Druid95	1
190	MasterNueve	1
190	IAmTheWalrus910	1
190	CheifJumbo	1
190	LetsDoItLive	1
190	WyngGoy	1
190	Cocoamallows	1
190	Shin69	1
190	FadedSpade82	1
