rank	username	minecraft:crafted/minecraft:red_wool
1	Njensen7	1216
2	EveryonesUncle	1188
3	TheShyPig	741
4	Mattesco	734
5	joethahobo	604
6	Lez_	602
7	beeperbeeper5	555
8	Di_infiri	508
9	Kowcio_	436
10	PeteO1995	373
11	Frozil20	367
12	xzvu	359
13	500am	293
14	shineh10	286
15	PlasticOtari	274
16	Inchef	273
17	TheSecondLord	230
18	FreakGenius	226
19	thescout7	212
20	excelsionprime	192
21	pintsizedrogue	159
22	SkateboardR6	149
23	Blackberry1310	131
24	corpsecity	130
25	Kakolbus	128
25	Inbefour	128
25	lillips	128
25	jnp_gaming	128
29	Sral7	125
30	Skylord_Luke	112
31	sufjanlover	103
31	Hermanni__	103
33	fluddd	101
34	PegLegPete93	92
35	thewindmillman	73
36	MAns_44	65
37	Dakar_	64
37	MightyWertu	64
37	Spacewardharpy7	64
37	WyngGoy	64
37	Ezekson	64
42	Chromary	63
42	Soplight	63
44	k_ce	62
44	cedric72	62
46	ImpavidArcher	61
46	Awyrlas	61
46	Werbe	61
49	Bumpy419	59
49	00000000-0000-0000-0009-01ff0c3e5e4f	59
51	Merv__	55
52	dabloons	46
53	luseis	44
54	LeonelSalamanca	42
55	NieToksikpl	40
56	xxPipperDipperxx	39
56	Akoot_	39
58	burbankbuilder28	38
58	AnnieBathory	38
60	Mahoose	36
60	handsome_strong	36
62	Steelynan	35
63	jessewegottacook	34
64	m_be9	33
65	Megarboh	32
66	Winklepicker279	31
66	WYFYoyo	31
68	epiksk8erduck	30
68	MinuteMira	30
70	CLG_Kata	29
70	Shin69	29
72	Quotary	26
72	561cool	26
74	marumochis	25
74	Nekomin0	25
76	audiocracked	24
76	KingMatthew506	24
76	The_SlideV5	24
79	BigMoneyH	23
80	kekhon	22
81	_Boipl_	21
81	DemTechAlpha	21
83	_Dean_123	20
83	Hyp3rion_	20
83	CattSoup	20
86	Blu3beast	19
86	Druid95	19
86	Eraxa	19
86	AdmiralSmoke	19
90	Tolhart	18
90	nattybears	18
90	SuperPooch06	18
90	Snowflowe	18
90	LilLizardWizard	18
90	_Meow_Mix	18
96	RosaDoesMC	17
97	SlowMoNinja1994	16
97	T045RTY	16
97	Stiar	16
97	Rebytre	16
97	Fuad_R	16
97	CheifJumbo	16
103	RobotMinion101	15
103	KermitTheKripple	15
105	SmashingPump	14
105	dopplexd	14
105	Maenara	14
108	Ozixar	13
108	Fullut	13
108	Bazongoman	13
108	_3Stump_	13
112	hm947	12
112	youhjjhhhjj	12
112	set67	12
112	Arceus1975	12
112	ApophisNova	12
112	Onennon	12
112	F_Uhre	12
112	AlphaWolfPlaysMC	12
112	Meatlaugh	12
112	Kijiki	12
112	LeeMcGee30	12
112	MyNamaSheff	12
124	ogoa	11
124	The_slideV3	11
126	MoistMicrowave	10
126	rarrq	10
126	XboxPanda	10
126	_Karmaa	10
130	Froste131	9
130	zorin123	9
130	nut_e	9
133	jspwn	8
133	vampgey	8
133	thgrocks	8
133	Xclax101	8
133	Fildyr	8
138	FadedSpade82	7
138	xorompole	7
140	ECstardust	6
140	RatatJuice	6
140	Reamdin	6
140	Misato_0	6
140	shdesolt	6
140	TheDankPlatypus	6
140	TheWildMateo	6
140	wrinkledpiglet	6
140	Mr_Sun15	6
140	FungalCat	6
140	IamCL4SSY	6
140	TheSeismicDuck	6
140	MilleGrug	6
140	BreadBacon	6
140	skrongus	6
155	WarMachina	5
155	NameGenerat0r	5
155	Jimb0nat0r	5
158	Myszoaz	4
158	titanlax	4
158	Scathra	4
158	pappaberg	4
158	Skomo	4
158	LetsDoItLive	4
158	SSytex_X	4
158	ConnorDanky_	4
158	xolstoi	4
158	JohnPrice	4
168	jjettii	3
168	Argraol	3
168	Hpdinosaur	3
168	ITDV	3
168	TastyPorkchop	3
168	_HoneySlime_	3
168	_lildarki3	3
168	wiqor	3
168	Xalithia	3
168	r123moore	3
168	NLKBuilder	3
168	Norrhede	3
168	ItsAki_	3
168	Chuvacevedo	3
168	skelctal	3
168	Vetral1	3
168	CarryLine	3
168	ReflexCode	3
168	CornOnTheCobalt	3
168	MissCeleste7	3
168	HuangMeiHua	3
168	BiggieDawg	3
190	H72l9w	2
190	nocturne78	2
190	ashetrays	2
190	12Magner05	2
190	eclipseboi	2
190	Covalents	2
190	ZeroAbyssTTV	2
190	fr_ser	2
190	Syropatathe	2
190	Enderxz3	2
190	Legendosh	2
201	dudcreeper	1
201	No_u4	1
201	jacxhadow	1
201	imcombxt	1
201	Zythose	1
201	Luminad3	1
201	Russiancat1	1
201	Vicemaniac	1
201	obzii	1
201	UltraZombie	1
201	Invintic	1
