rank	username	minecraft:crafted/minecraft:detector_rail
1	noam464	1320
2	oxfordschool	768
3	Di_infiri	540
4	Spacewardharpy7	426
5	Jackattack53	390
5	Werbe	390
7	Historical_Sand	384
8	pintsizedrogue	294
9	StinkyDiplomat	258
10	fffMike	192
11	thewindmillman	186
12	HellsSponge	177
13	PigDab	114
14	TheShyPig	102
14	censorsheep	102
16	kekhon	90
16	Smoke____	90
18	thescout7	78
19	joethahobo	72
19	victorLIE	72
21	AuroraValkyrie	66
21	Skylord_Luke	66
23	eitanzaki	60
23	Blaiku	60
23	PlzNoBM	60
26	EMC_	54
26	eviltunix	54
28	Hiryu27	42
28	ProbsNotNova	42
28	vandmanden	42
31	Hyp3rion_	36
31	MAns_44	36
31	07shiny	36
34	Nicky_H225	30
34	HolyVenom	30
34	MilleGrug	30
37	beeperbeeper5	24
37	Snowflowe	24
37	andy_rex	24
37	Rasmanden	24
37	Groundler	24
37	__tomato	24
37	jnp_gaming	24
44	Comma__	18
44	Awyrlas	18
44	SkateboardR6	18
44	ayamefag	18
48	Merv__	12
48	m_be9	12
48	ProfessorBee	12
48	audiocracked	12
48	Darkgon	12
48	Frozil12	12
48	mihimihimihi	12
48	WyngGoy	12
48	ZeroKraken	12
57	Jovaphobic	6
57	Groovy_MoonBird	6
57	_Virify_	6
57	dimondking777	6
57	Drlzyy	6
57	ImpavidArcher	6
57	tuckerdoodle	6
57	ivorico	6
57	carloselpapii	6
57	Malorn_Aetherius	6
57	xPixelRainx	6
57	_Dean_123	6
57	slkiey	6
57	Scathra	6
57	gcaisawesome	6
57	ayqq	6
57	eiC_	6
57	benediktine1	6
57	prizm_	6
57	Winklepicker279	6
57	MyNameIsJobo	6
57	Rumpletaezer	6
57	RyuNeko932000	6
57	domagawha	6
57	Rebytre	6
57	Drewen24	6
57	groofles	6
57	TheTrueClipse	6
57	Lord_Jord	6
57	FreddyFart	6
57	masskedman	6
57	Fuhrer_Teemo	6
57	Meatlaugh	6
57	JESS_THE_RERE	6
57	Fuad_R	6
57	The_slideV3	6
57	_Karmaa	6
57	Quincannon	6
57	Freak_Genius	6
57	Steven1282598	6
57	MightyWertu	6
57	Racengan	6
57	BumbleBeever	6
57	Warlord324	6
57	Hisiste	6
57	Factoroni	6
57	Dusk_95	6
57	Cocoamallows	6
57	SexcMf	6
57	SvenskaHugo	6
57	yatsuta	6
57	UCP_TheKingK	6
57	Soplight	6
57	brofrickcheaters	6
57	PortlyPete69	6
57	NATE_the_HALO	6
57	mawileite	6
57	Steelynan	6
57	Hermanni__	6
57	anbbang	6
57	EcksD	6
57	HesDemonPants	6
57	TechnoNinja64	6
57	The_SlideV5	6
57	FishisTTV	6
