rank	username	minecraft:crafted/minecraft:crossbow
1	Hyp3rion_	1135
2	sp00ky_ghost977	759
3	SmashingPump	248
4	beeperbeeper5	110
5	noam464	106
6	Historical_Sand	92
7	Soplight	74
8	Spacewardharpy7	60
9	TheSecondLord	48
10	teslawolf38	36
11	Apollo_993	35
12	Frozil20	34
12	KingMatthew506	34
14	Legendosh	33
15	mwrty	30
15	pixelviolin	30
17	NameGenerat0r	26
18	rarrq	25
18	Di_infiri	25
20	TheShyPig	24
21	pintsizedrogue	23
21	eitanzaki	23
23	ActualPatbaf	21
24	RebelAndroid	20
25	Enderxz3	19
26	Snowflowe	18
26	luseis	18
28	PigDab	16
28	Racengan	16
30	lorywithay	14
31	_Virify_	13
31	12Magner05	13
33	Smashic	12
33	masskedman	12
33	FelixPSY375	12
33	TechnoNinja64	12
37	PhantomsGhost_	11
38	ApophisNova	10
38	handsome_strong	10
38	MyNamaSheff	10
41	Cryptacity	9
41	ooga47	9
41	Tyrannosplart	9
41	fluddd	9
41	Blaiku	9
41	Ezekson	9
47	Jackattack53	8
48	T045RTY	7
48	Reamdin	7
48	Euclidoris	7
48	excelsionprime	7
48	epiksk8erduck	7
48	Nicky19	7
54	CLG_Kata	6
54	diamondgolem35	6
54	500am	6
54	himak1	6
54	Fast_Turtle	6
54	oscminus	6
54	claivin	6
54	geekbird	6
54	YungMaki	6
63	Mr_Byzantine	5
63	Ryan_GEMS	5
63	Vizzoid	5
63	emrekn	5
63	Werbe	5
63	Onennon	5
63	ConnorDanky_	5
63	h2p_emrld	5
71	Merv__	4
71	Hpdinosaur	4
71	Mahoose	4
71	set67	4
71	valiSW	4
71	StinkyDiplomat	4
71	QueenShuvi	4
71	starbits140	4
71	Skippeh	4
71	TheOnlyRake	4
71	jnp_gaming	4
71	Yamdalorian	4
83	Bandito_Roamer	3
83	chipklip	3
83	Jackster03	3
83	joethahobo	3
83	Valoth	3
83	bloodbiter	3
83	m_be9	3
83	Inchef	3
83	Maenara	3
83	Akoot_	3
83	fw3xy74	3
83	Deathkob	3
83	Luigipunch989	3
83	Jimb0nat0r	3
97	AuroraValkyrie	2
97	Tolhart	2
97	nattybears	2
97	Myszoaz	2
97	Blackberry1310	2
97	jushykins	2
97	jacxhadow	2
97	zorin123	2
97	TheDiamondCG	2
97	UncreativeArtist	2
97	Covalents	2
97	mimbo1211	2
97	ImDisconnected_	2
97	BigMoneyH	2
97	CarltheCuck	2
97	thewindmillman	2
97	_8man	2
97	SirPiccardo	2
97	pappaberg	2
97	Voxin2K	2
97	Btabtab	2
97	selectrix	2
97	IamCL4SSY	2
97	ILoveCarrot	2
97	AuroraSkies	2
97	Hahaa_0	2
97	XxCookiequeenxX	2
97	Fuhrer_Teemo	2
97	GoofyBread	2
97	HellsSponge	2
97	MAns_44	2
97	MustaLoordi	2
97	Blu3beast	2
97	Xclax101	2
97	RedcatVII	2
97	Groundler	2
97	Druid95	2
97	Razzgriz	2
97	Juh1s	2
97	Glumb0	2
97	Njensen7	2
97	Kubeusz2010	2
97	HesDemonPants	2
97	MusicMe1005	2
97	JayToe	2
97	MelodyGaysharks	2
97	diggydog67	2
144	H0UNDFRMH3LL	1
144	Jovaphobic	1
144	Groovy_MoonBird	1
144	k_ce	1
144	CueMix	1
144	dabloons	1
144	ECstardust	1
144	Sleek_Storm_721	1
144	KarlKaek	1
144	gren_ben	1
144	ExtraDumb	1
144	ImpavidArcher	1
144	BlancoFlaco	1
144	Killercatty78	1
144	Jahara	1
144	SOA1RR	1
144	CoffeeNoir	1
144	MoistMicrowave	1
144	Lez_	1
144	Da_Boss_Rani	1
144	Ozixar	1
144	Sparky_KT	1
144	dopplexd	1
144	Saucepeh	1
144	Auseawesome	1
144	xPixelRainx	1
144	ratglock	1
144	gilesmcriles	1
144	_Nat666	1
144	Nicky_H225	1
144	MrExplorer	1
144	Tiberonus	1
144	kekhon	1
144	MattieHD	1
