rank	username	minecraft:crafted/minecraft:yellow_bed
1	4774	474
1	theonlymagikarp	474
3	PigDab	210
4	Segotep999	170
5	LagVibes	139
6	MightyWertu	81
7	pixelviolin	63
8	taengoos	58
9	MattieHD	55
10	pintsizedrogue	34
10	Xclax101	34
12	RebelAndroid	29
13	500am	25
14	bee_gorl	23
15	Jackattack53	21
15	Sheldor097	21
17	Chickenchaser2	17
17	HellsSponge	17
19	Lez_	15
19	Sleepy_Evelyn	15
21	Dakar_	11
21	Soplight	11
23	shineh10	10
23	Spacewardharpy7	10
25	royal_2	9
25	Blackberry1310	9
25	ROY4LE	9
25	IdeallyGrey	9
29	legal_tax_evader	8
29	TheShyPig	8
31	Hoid_the_Roamer	7
32	ConnorDanky_	6
33	Snowflowe	5
33	miramyu	5
33	Yamdalorian	5
36	kekhon	4
36	philandr	4
36	xxPipperDipperxx	4
36	Lord_Jord	4
36	Kowcio_	4
36	PlasticOtari	4
42	SquadMonster	3
42	beeperbeeper5	3
42	Smashic	3
42	Mattesco	3
42	Lutres_	3
42	MAns_44	3
42	Legendosh	3
42	Jimb0nat0r	3
50	Mowelan	2
50	Merv__	2
50	teslawolf38	2
50	TheBlackDeth	2
50	skroobiez	2
50	oscminus	2
50	KeruNatsema	2
50	claivin	2
50	Pumpkin_P_Patch	2
50	djancak	2
50	blimpeey	2
50	EcksD	2
50	TheWickedBird	2
63	Mr_Byzantine	1
63	Jalvajar	1
63	LEJKINS	1
63	EMC_	1
63	bigstankyy	1
63	alcremiie_	1
63	Tolhart	1
63	eitanzaki	1
63	Simon_Lowell	1
63	Dblikstad	1
63	Papudron	1
63	InfernalMound	1
63	Notta	1
63	TheSecondLord	1
63	Tiberonus	1
63	Guillemet	1
63	Scattman_	1
63	TerraVl	1
63	Tmb1	1
63	Scathra	1
63	Awyrlas	1
63	SUSUGAM	1
63	Bolete	1
63	Gamergirl420628	1
63	bl1ss0	1
63	swag_bro2004	1
63	Aavermu	1
63	Freeman666	1
63	nitram49b	1
63	yheece	1
63	AJplaysMC_	1
63	whoaluv	1
63	thewindmillman	1
63	SvenskaSara	1
63	Werbe	1
63	Dragonlfw	1
63	Benjii05	1
63	LilLizardWizard	1
63	Akoot_	1
63	420BreadLizard	1
63	NomadicRobin_	1
63	KevinLikesPie	1
63	audiocracked	1
63	Toowny	1
63	E775	1
63	ReflexCode	1
63	FreakGenius	1
63	OreoPenguin_	1
63	Barlycorn	1
63	Warlord324	1
63	Myntsys	1
63	LordSpeed37	1
63	StarCookiees_	1
63	BlankityMcBlank	1
63	TheKingK_	1
63	Celeste_121	1
63	Dogcorn69420	1
63	Kubeusz2010	1
63	VentiHilton	1
63	Ezekson	1
63	HesDemonPants	1
