rank	username	minecraft:crafted/minecraft:candle
1	thewindmillman	7945
2	Mahoose	1061
3	orxngejuice	310
4	TheSecondLord	286
5	ImpavidArcher	275
6	noam464	226
7	pintsizedrogue	202
8	CheifJumbo	154
9	lordpipe	150
10	Legendosh	126
11	xxPipperDipperxx	86
12	beeperbeeper5	64
13	12Magner05	35
14	Freak_Genius	31
15	Ezekson	26
16	Rebytre	22
17	YungMaki	20
18	Jiminie	17
19	SuperPooch06	14
20	Myszoaz	13
21	Blackberry1310	9
21	WYFYoyo	9
23	KeruNatsema	6
23	Enderslayerxz3	6
25	Merv__	4
25	MAns_44	4
27	AltnumberF4	3
28	Spacewardharpy7	2
