rank	username	minecraft:crafted/minecraft:cyan_stained_glass
1	joethahobo	28600
2	beeperbeeper5	12928
3	Hyp3rion_	12712
4	Jackattack53	9888
5	Frozil20	9144
6	lordpipe	5472
7	Smoke____	4992
8	EngagedGrub41	4776
9	TheSecondLord	1824
10	Zythose	1760
11	hanaryheatwave	1696
12	Enderxz3	1672
13	ImpavidArcher	1616
14	NameGenerat0r	1536
15	Ezekson	1120
16	Crowman1	1104
17	SpacesickPrism	1040
18	Di_infiri	1024
19	pintsizedrogue	1016
20	Quotary	920
21	Fullut	856
22	Awyrlas	776
23	Blackberry1310	576
24	MakeHistory157	512
25	noam464	448
26	r123moore	440
27	Inbefour	368
28	TheShyPig	320
29	DC_XII	280
30	Spacewardharpy7	264
31	eitanzaki	256
32	ConnorDanky_	240
33	stellarjay	216
34	ROY4LE	192
34	The_slideV3	192
34	KingMatthew506	192
37	Merv__	176
38	Xalithia	168
39	rarrq	152
40	jnp_gaming	136
41	abramgray	128
41	Marbz_	128
41	Rumpletaezer	128
41	lillips	128
41	mihimihimihi	128
46	YungMaki	104
47	El_Jalapeno	96
47	TechnoNinja64	96
49	heckface	88
50	RoofTyler	80
51	CoffeeNoir	72
51	fw3xywashere	72
51	Blaiku	72
54	Iagoku	64
54	Hyugo	64
54	Jonafrog99	64
54	fluddd	64
58	Legendosh	48
59	kekhon	40
59	thewindmillman	40
59	Groundler	40
62	RoskobiOne	32
63	HellsSponge	28
64	Lez_	24
64	Dusk_95	24
64	Jimb0nat0r	24
67	AuroraValkyrie	16
67	SuperPooch06	16
67	King_Pancake1	16
67	ApophisNova	16
67	RobotMinion101	16
67	Jiminbub	16
67	Eraxa	16
67	MyNamaSheff	16
75	Mahoose	8
75	mwrty	8
75	xxPipperDipperxx	8
75	Snowflowe	8
75	Werbe	8
75	SaintJosie	8
75	XxCookiequeenxX	8
75	claivin	8
75	Kowcio_	8
