rank	username	minecraft:crafted/minecraft:dispenser
1	thewindmillman	2052
2	Deathkob	1815
3	Awyrlas	665
4	HellsSponge	613
5	Spacewardharpy7	404
6	TheShyPig	344
7	thescout7	343
8	Hyp3rion_	323
9	Blaiku	224
10	oxfordschool	194
10	Smoke____	194
12	PlasticOtari	190
13	Di_infiri	185
14	PigDab	168
15	noam464	139
16	eitanzaki	136
17	El_Jalapeno	134
18	Snowflowe	107
18	sp00ky_ghost977	107
20	pixelviolin	91
21	Inbefour	88
22	Mahoose	85
23	mariominejedi	82
24	07shiny	80
25	Skylord_Luke	78
26	beeperbeeper5	77
26	MightyWertu	77
28	pintsizedrogue	76
29	Historical_Sand	69
30	mwrty	66
30	Lord_Jord	66
32	Dogcorn69420	65
33	Hoid_the_Roamer	64
34	Quincannon	61
35	Fullut	58
35	Werbe	58
37	gabriels543	57
38	Rumpletaezer	55
38	Hiryu27	55
40	Jackattack53	53
41	Malorn_Aetherius	50
42	xxPipperDipperxx	49
42	sebastiensaborio	49
44	jnp_gaming	46
45	Zoeyfortnite	45
46	vandmanden	43
47	joethahobo	42
47	Groundler	42
49	Legendosh	41
50	PhantomsGhost_	40
50	_Nuf	40
50	Akoot_	40
50	EcksD	40
54	Winklepicker279	36
54	cedric72	36
56	Blackberry1310	34
57	RebelAndroid	33
57	MangoTheFish	33
59	m_be9	32
59	Nyxiom_	32
61	Bumpy419	30
62	YungMaki	29
63	Freak_Genius	28
64	500am	26
65	q_wq	25
66	T045RTY	24
66	Kowcio_	24
68	BumbleBeever	23
68	Warlord324	23
68	PortlyPete69	23
68	Quotary	23
72	loveseeker	22
73	Arceus1975	21
74	Steven1282598	19
74	Ezekson	19
76	TheSecondLord	17
76	Covalents	17
76	M_Patata	17
76	EveryonesUncle	17
76	GoofyBread	17
76	MasterNueve	17
82	AngalexikCZ	16
82	obzii	16
82	CalebDHawk	16
85	MinttyFressh	15
85	gcaisawesome	15
85	Frozil12	15
88	ApophisNova	14
88	Soplight	14
88	MyNamaSheff	14
88	AltnumberF4	14
88	TechnoNinja64	14
93	Jovaphobic	13
93	egglapras	13
93	r123moore	13
96	heysushii	12
96	Comma__	12
96	_Dean_123	12
96	Cocoamallows	12
100	Jahara	11
100	jiggywraps	11
100	ProfessorBee	11
100	Inchef	11
100	TheDankPlatypus	11
100	CollinMH06	11
100	Chromary	11
100	_8man	11
100	PlzNoBM	11
109	Ailmast	10
109	IWorkAtIkea	10
109	Rich_Kat	10
109	Scathra	10
109	Tjhodskins19	10
109	Zythose	10
109	KnightmareD	10
109	masskedman	10
109	lcvezra	10
109	_TCARREIRA_	10
109	anbbang	10
120	Crowvens	9
120	CoffeeNoir	9
120	awesomeoneme	9
120	theonlymagikarp	9
120	burbankbuilder28	9
120	KeruNatsema	9
120	The_slideV3	9
120	lordpipe	9
128	tortillatitan	8
128	12Magner05	8
128	CharlieButt	8
128	Kakolbus	8
128	CruncyIsTaken	8
128	Maenara	8
128	TheTrueClipse	8
128	ori0le	8
128	censorsheep	8
128	Hisiste	8
128	Airem_Core	8
139	ImpavidArcher	7
139	SellyZ	7
139	seramalen	7
139	Jij0	7
139	Powowowow	7
139	kinas45y5	7
145	_Virify_	6
145	_NieToksikpl_	6
145	himak1	6
145	MyNameIsJobo	6
145	epiksk8erduck	6
145	MousePlays	6
145	FishyBoy3811	6
