rank	username	minecraft:crafted/minecraft:prismarine_slab
1	gcaisawesome	25680
2	HellsSponge	20280
3	PigDab	4838
4	Jackattack53	3582
5	Frozil20	2178
6	joethahobo	2040
7	Spacewardharpy7	1950
8	Blaiku	1350
9	Ezekson	1200
10	EcksD	1015
11	noam464	996
12	LittleBug562	810
13	NatalieTW	384
13	Kakolbus	384
13	Chromary	384
16	Hyp3rion_	354
17	Legendosh	348
18	Hiryu27	276
19	Enderxz3	210
20	KarlKaek	192
21	Bumpy419	162
22	Manaateee	160
23	eitanzaki	150
23	Eraxa	150
25	MightyWertu	144
26	AdmiralSmoke	132
27	Soplight	126
28	2blox_	124
29	TheShyPig	102
30	ImpavidArcher	96
30	TheSecondLord	96
32	Steelynan	84
33	Vellu21	72
34	EMC_	60
34	GooseWithin	60
36	hm947	44
37	RebelAndroid	32
38	EngagedGrub41	26
39	Snowflowe	24
40	FreakGenius	20
41	jcool7	18
42	PortlyPete69	12
43	Mr_Byzantine	6
43	CliffEmAll	6
43	Tyrannosplart	6
43	The_slideV3	6
43	Blu3beast	6
43	MilleGrug	6
43	FelixPSY375	6
50	beeperbeeper5	2
50	Kowcio_	2
