rank	username	minecraft:crafted/minecraft:deepslate_tile_stairs
1	Hyp3rion_	3505
2	mihimihimihi	3264
3	Gzrdy	1424
4	Jackattack53	989
5	00000000-0000-0000-0009-01ff0c3e5e4f	840
6	iSammael	680
7	Winklepicker279	660
8	Tersea_	588
9	hanaryheatwave	424
10	thebaddruid	314
11	Sleepy_Time_	272
12	PigDab	268
13	Mattesco	203
14	Fuad_R	200
15	Manaateee	192
16	hm947	180
16	ZoomieZoomie	180
18	ImpavidArcher	140
19	milltesco	124
20	Sleepy_Evelyn	121
21	EMC_	96
22	Lord_Doob	91
23	12Magner05	86
24	joethahobo	84
25	Blackberry1310	79
26	Nicserso	70
27	LeEricc	64
28	ScootOfBoot	62
29	_flud	58
30	Yamdalorian	54
31	PazinGaming	52
32	Huwulling	46
33	11Brewer	44
34	thewindmillman	42
35	k_ce	40
35	QuiCreans	40
37	_witch_craft_	34
38	U_Mos_	33
39	Boipl	32
39	MAns_44	32
39	LuvLuvLove	32
42	skroobiez	24
43	sp00ky_ghost977	23
44	Ezekson	22
44	TheWickedBird	22
46	rarrq	20
46	Spankathor	20
48	KarlKaek	16
48	gabukun_	16
48	bl1ss0	16
48	PaperCanvas	16
48	PlasticOtari	16
53	JETrotter	14
53	The_Fulgurator	14
55	_Huge_Male_	13
56	beeperbeeper5	12
56	StinkyDiplomat	12
56	Steelynan	12
59	mymayowasgone	10
60	Mr_Byzantine	9
60	TheSecondLord	9
62	lpinfinity	8
62	thatbeanyboi	8
62	Olib3ar	8
62	non089	8
62	BeardBois	8
62	RadarHz	8
62	DairyNickel756	8
69	MattieHD	7
70	Soplight	6
70	Enderxz3	6
72	Smashic	5
73	EdaterPure	4
73	Ryker	4
73	Inchef	4
73	CalebDHawk	4
73	mobunni	4
78	pintsizedrogue	3
79	Dblikstad	2
79	luseis	2
79	pixelviolin	2
82	Groovy_MoonBird	1
82	Apollo_993	1
82	lorywithay	1
82	_i_ERROR_i_	1
