rank	username	minecraft:crafted/minecraft:end_stone_bricks
1	12Magner05	34292
2	Ezekson	15684
3	mwrty	14356
4	Yamdalorian	10080
5	MilleGrug	8440
6	PigDab	3760
7	r123moore	3136
8	joethahobo	2860
9	Blu3beast	2764
10	m_be9	2368
11	El_Jalapeno	1788
11	YungMaki	1788
13	Mahoose	1728
14	MinttyFressh	1644
15	Tyrannosplart	1584
16	beeperbeeper5	1548
17	mihimihimihi	1536
18	avalan64	1472
19	ProbablyNick	1340
20	Mewar	988
21	diamondgolem35	892
22	Spacewardharpy7	888
23	Ender_Souls	868
24	Myszoaz	848
25	TheShyPig	832
26	elicobnoah	720
27	Racengan	704
28	WET_WET_WET	628
29	SuperPooch06	588
30	ImpavidArcher	576
31	bigstankyy	544
32	Hpdinosaur	536
33	Nicserso	512
34	TheEnderMan548	504
35	Jackattack53	460
36	AlexxO_o	452
37	PhantomsGhost_	412
38	thewindmillman	396
39	eitanzaki	392
40	SmashingPump	384
41	Merv__	376
42	pintsizedrogue	352
43	Blackberry1310	344
44	fffMike	340
45	set67	332
46	iSammael	264
47	IamCL4SSY	260
48	Huwulling	256
48	SwooshBoi	256
50	ConnorDanky_	220
51	Cellcorgi649	192
52	diggydog67	180
53	501g	148
54	txxskx	136
55	bl1ss0	132
56	Alteriity	128
56	Elastiq	128
56	Kowcio_	128
56	00000000-0000-0000-0009-01ff0c3e5e4f	128
60	Legendosh	112
61	ECstardust	92
62	Onennon	88
63	miramyu	84
63	Steelynan	84
65	jnp_gaming	80
66	MyNameIsJobo	76
66	MissCeleste7	76
68	Incinere	64
68	DanTheBuilderino	64
68	djancak	64
71	500am	60
71	Arceus1975	60
71	Akoot_	60
74	6king6colt6	48
75	Bumpy419	44
75	Druid95	44
77	Mr_Byzantine	28
78	dabloons	20
78	HesDemonPants	20
80	catandmoose	16
81	Bandito_Roamer	8
82	TheDankPlatypus	4
82	JESS_THE_RERE	4
82	HellsSponge	4
82	FreakGenius	4
82	MangoSalad316	4
82	_Meow_Mix	4
