rank	username	minecraft:crafted/minecraft:packed_mud
1	MineMaster0012	5760
2	pixelviolin	2112
3	EMC_	1728
4	thewindmillman	1211
5	Lez_	1152
6	Manaateee	1107
7	Kowcio_	730
8	Mr_Byzantine	668
9	SpacesickPrism	634
10	Dakar_	633
11	GooseWithin	576
12	Soplight	512
13	12Magner05	422
14	Merv__	421
15	YungMaki	411
16	luseis	330
17	Mahoose	320
18	Mattesco	272
19	Steelynan	256
20	PlasticOtari	192
21	Iamthejo	126
22	SvenskaHugo	67
23	Fuad_R	64
23	Nicserso	64
25	mihimihimihi	62
26	Jimb0nat0r	32
27	EngagedGrub41	28
28	pintsizedrogue	5
