rank	username	minecraft:crafted/minecraft:leather_helmet
1	gcaisawesome	204
2	Smoke____	92
3	PlasticOtari	60
4	oxfordschool	57
5	teslawolf38	54
6	m_be9	51
7	TheShyPig	49
8	TheSecondLord	44
9	beeperbeeper5	39
10	Legendosh	36
11	masskedman	33
12	500am	32
13	rarrq	29
14	Soplight	28
15	Merv__	25
16	Xclax101	22
17	EveryonesUncle	20
18	mwrty	18
19	pintsizedrogue	17
20	kekhon	14
21	__tomato	13
22	geekbird	12
23	I_Am_Mushkin	10
23	Kubeusz2010	10
25	titanlax	9
25	BobDeBouwer1337	9
25	bloodbiter	9
25	Awyrlas	9
25	eviltunix	9
25	KingMatthew506	9
31	himak1	8
31	Ezekson	8
33	Dusk_95	7
34	_Virify_	6
34	ImpavidArcher	6
34	TooManyDuck	6
34	fr0stss	6
34	Hoid_the_Roamer	6
34	El_Jalapeno	6
34	GlitchyPlate810	6
41	Blackberry1310	5
41	Maenara	5
41	Katsuragi0243218	5
41	HellsSponge	5
41	Kyrum2169	5
46	Whalezz	4
46	T045RTY	4
46	MrExplorer	4
46	Werbe	4
46	fred870d	4
46	NameGenerat0r	4
46	claivin	4
46	fluddd	4
46	MakeHistory157	4
46	jnp_gaming	4
56	Valoth	3
56	AnnieBathory	3
56	Onennon	3
56	Akoot_	3
56	Lord_Jord	3
56	sebastiensaborio	3
56	mawileite	3
56	RadarHz	3
64	Mahoose	2
64	Swexti	2
64	_Dean_123	2
64	Fullut	2
64	Stiar	2
64	platinumzero	2
64	Winklepicker279	2
64	Rumpletaezer	2
64	Rebytre	2
64	ApophisNova	2
64	420BreadLizard	2
64	Jiminbub	2
64	Deathkob	2
64	_Bguette_	2
64	MustaLoordi	2
64	Frozil12	2
64	SSytex_X	2
64	stahouo	2
64	lcvezra	2
64	Kferno	2
64	Quotary	2
64	MyNamaSheff	2
64	TechnoNinja64	2
64	00000000-0000-0000-0009-01f898304150	2
88	JimmyTISC	1
88	Groovy_MoonBird	1
88	Mr_Byzantine	1
88	KarlKaek	1
88	Hpdinosaur	1
88	ivorico	1
88	Jackster03	1
88	Shazzyling	1
88	dopplexd	1
88	StanceTB	1
88	Cambo5000	1
88	Torza	1
88	ROY4LE	1
88	__TheNorseMan__	1
88	Bolete	1
88	XboxPanda	1
88	Karetoko	1
88	AJplaysMC_	1
88	mvrty	1
88	Snowflowe	1
88	calajimi	1
88	kevinpamberg	1
88	_Boipl_	1
88	kars0n	1
88	CasperHxly	1
88	Skylord_Luke	1
88	ooga47	1
88	_Cloverbelle_	1
88	Project_MKBRD	1
88	RodSerlingCringe	1
88	St4nLe7	1
88	wezzzi	1
88	Russiancat1	1
88	Snart_Sniffler	1
88	_Karmaa	1
88	MangoSalad316	1
88	_zzoe	1
88	C0oOK13M0N5T3R	1
88	Blu3beast	1
88	CurvedCubes	1
88	GravitySaint	1
88	Keeogwi	1
88	Fildyr	1
88	ProfessorDiaper	1
88	Typadopoulos	1
88	sp00ky_ghost977	1
88	Nagasaki_Riku	1
88	Kowcio_	1
88	YungMaki	1
88	djancak	1
88	NeoJordache	1
88	Aryamanee	1
88	Sral7	1
88	EcksDofficial	1
88	zmpeg	1
