rank	username	minecraft:crafted/minecraft:dark_prismarine
1	Blaiku	61115
2	Jimb0nat0r	16641
3	12Magner05	14488
4	beeperbeeper5	13686
5	EcksD	12835
6	Hyp3rion_	12224
7	gcaisawesome	11162
8	noam464	11053
9	Frozil20	10911
10	TheShyPig	10842
11	Yamdalorian	6425
12	PigDab	5474
13	eitanzaki	4560
14	Snowflowe	4545
15	EveryonesUncle	3675
16	Marbz_	2976
17	Ezekson	2853
18	skitzxo	2416
19	CliffEmAll	2279
20	Enderxz3	2278
21	PazinGaming	2112
22	SingedBread	1856
23	Spacewardharpy7	1823
24	Buuck_	1478
25	Zythose	1408
26	joethahobo	1152
27	PlasticOtari	1128
28	Biites	1120
29	pintsizedrogue	1061
30	ImpavidArcher	733
31	m_be9	704
32	PortlyPete69	646
33	weabis	592
34	Mr_Byzantine	487
35	Rocco_Lane	480
36	ConnorDanky_	351
37	Mahoose	329
38	Arceus1975	309
39	MightyWertu	282
40	groofles	270
41	Druid95	249
42	Racengan	232
43	Skippeh	226
44	Fullut	225
45	NameGenerat0r	217
46	Chromary	200
47	Lord_Jord	190
48	Groundler	180
49	Legendosh	145
50	SvenskaHugo	138
51	Soplight	137
52	M_Patata	128
52	MasterNueve	128
54	Steelynan	120
55	HellsSponge	113
56	lordpipe	111
57	Bumpy419	108
58	YungMaki	99
59	thewindmillman	96
59	oscminus	96
61	Xalithia	79
62	luseis	76
63	rarrq	64
63	Kakolbus	64
63	Jackattack53	64
66	Eraxa	57
67	SammiWolfGirl	48
68	MAns_44	41
69	audiocracked	40
69	Kowcio_	40
71	Merv__	30
72	Winklepicker279	19
73	goldyx	18
74	tuckerdoodle	16
74	blackeemperor	16
76	Azmodan_246	12
77	poopybh	8
77	stellarjay	8
79	RebelAndroid	7
80	TheSecondLord	5
81	Smashic	3
81	Barlycorn	3
83	Paintz	1
83	Di_infiri	1
