rank	username	minecraft:crafted/minecraft:red_nether_brick_stairs
1	k_ce	768
2	FreakGenius	158
3	kekhon	137
4	thewindmillman	121
5	Yamdalorian	112
6	himak1	69
7	Legendosh	64
8	shineh10	56
9	ApophisNova	52
9	MyNamaSheff	52
11	The_slideV3	44
11	h2p_emrld	44
13	Lez_	40
13	_Dean_123	40
15	milltesco	24
15	Vorlice	24
17	HellsSponge	21
18	TheShyPig	20
18	master9067	20
20	Bandito_Roamer	16
20	Spaghettatron	16
22	Mr_Byzantine	11
23	Manaateee	8
23	stavgod	8
25	joethahobo	4
25	AnnieBathory	4
25	Billious	4
25	Eraxa	4
29	beeperbeeper5	2
29	pixelviolin	2
31	TheSecondLord	1
31	Zythose	1
