rank	username	minecraft:crafted/minecraft:tinted_glass
1	Smoke____	3586
2	PlasticOtari	2572
3	Hyp3rion_	2552
4	thewindmillman	2232
5	pintsizedrogue	1642
6	beeperbeeper5	1312
7	ImpavidArcher	670
8	Kakolbus	642
9	Ezekson	608
10	iHuntWeeaboos	480
11	tsitrawhy	476
12	RebelAndroid	470
13	Mahoose	430
14	500am	346
15	Ryker	324
16	Enderslayerxz3	300
17	Rebytre	256
18	PigDab	216
19	Fuad_R	202
20	KeruNatsema	196
21	SingedBread	128
21	YungMaki	128
23	Flores991	100
24	Alteriity	96
25	corvidpartyfor6	86
26	joethahobo	74
27	diamondgolem35	70
28	00000000-0000-0000-0009-01ff0c3e5e4f	68
29	Marbz_	64
29	Jackattack53	64
31	Winklepicker279	50
32	TheWildMateo	46
33	iSammael	44
34	noam464	42
35	lordpipe	38
36	Steelynan	32
37	Prismyst	30
38	CharlieButt	16
39	_stets	8
40	WYFYoyo	4
41	Da_Boss_Rani	2
41	SquadMonster	2
41	TheDankPlatypus	2
41	The_Fulgurator	2
